icd10
A41.9
A49.9
B34.9
C80.9
D64.9
E11.9
E14.9
F03.9
F09
F19.9
G20.9
G30.9
G40.9
G93.9
I10
I21.9
I25.9
I26.9
I27.9
I28.9
I46.9
I50.9
I63.9
I64
I67.9
I69.9
I70.9
I74.9
I82.9
J18.9
J22
J44.9
J45.9
J69.9
J80
J84.9
J90
J96.9
K29.9
K35.9
K52.9
K55.9
K57.9
K65.9
K72.9
K74.6
K76.9
K80.9
K92.2
L98.9
M79.9
N17.9
N18.9
N19
N39.9
N40.9
N49.9
N73.9
N74
O99.8
P07.3
P22.9
P28.9
P36.9
P52.9
P59.9
P77
P83.9
Q24.9
Q28.9
Q89.9
R09.2
R09.89
R13.10
R18.8
R21
R26.9
R27.9
R29.8
R40.2
R41.82
R42
R50.9
R53.1
R53.2
R53.81
R54
R55
R56.9
R58
R63.4
R64
R68.8
R99
S09.9
S19.9
S29.9
S39.9
S49.9
S59.9
S69.9
S79.9
S89.9
S99.9
T14.8
T14.9
T39.9
T40.2
T40.4
T40.6
T40.9
T42.8
T42.9
T43.6
T45.1X5
T46.7X5
T50.90
T51.9
T52.9
T53.9
T54.9
T58.9
T59.9
T60.9
T62.9
T63.9
T64.9
T65.9
T66
T67.9
T68
T69.9
T70.9
T71
T73.9
T74.9
T75.9
T78.9
T79.9
T80.9
T81.9
T82.9
T83.9
T84.9
T85.9
T86.9
T87.9
T88.9
T90.9
T91.9
T92.9
T93.9
T94.9
T95.9
T96
T97
T98.3
T98.8
T98.9
V89.2
V99
W19
W49
W59.9
W64
W74
W80
W84
W87
W90
W94
W99
X09
X19
X29
X39
X49
X59
X69
X79
X89
X99
Y09
Y19
Y29
Y34
Y39
Y49
Y59
Y69
Y79
Y84.9
Y89.9
Z03.89
Z04.9
Z09
Z13.9
Z20.9
Z22.9
Z32.9
Z33.1
Z34.9
Z36.9
Z38.9
Z39.2
Z46.9
Z51.9
Z52.9
Z53.9
Z56.9
Z59.9
Z63.9
Z64.9
Z71.9
Z72.9
Z73.9
Z74.9
Z76.9
Z79.899
Z80.9
Z81.9
Z82.9
Z83.9
Z84.9
Z85.9
Z86.9
Z87.9
Z88.9
Z89.9
Z90.9
Z91.9
Z92.9
Z93.9
Z94.9
Z95.9
Z96.9
Z97.9
Z98.9
Z99.9
