ucr39,n_deaths,prop_zero
37,516747,0.19154828184779013
21,364437,0.15751144916679702
22,222613,0.28812782721584096
15,165775,0.3807087920374001
28,154717,0.13256461797992464
8,149074,0.24589130230623718
24,142417,0.2737313663396926
39,124979,1.6002688451659877e-5
17,116137,0.3928894323083944
16,80144,0.05725943302056299
