term,estimate,std.error,statistic,p.value,conf.low,conf.high,metric
(Intercept),58.31146702707318,1.636671176364085,35.62808942271097,2.031167289954156e-252,55.10300463345161,61.519929420694744,detail_mcod_root3_cstd
age65p,-0.3862054029536732,2.010947490118765,-0.19205146074245044,0.8477083808940242,-4.328383581912725,3.5559727760053788,detail_mcod_root3_cstd
age0_14,-9.049888223679218,7.031642905901517,-1.2870232952364273,0.19813570979755118,-22.834429770430425,4.73465332307199,detail_mcod_root3_cstd
age15_44,-8.438296235398754,3.5399746352307244,-2.3837165813050443,0.01716964471343372,-15.377915907044635,-1.4986765637528725,detail_mcod_root3_cstd
period2006_2012,-0.4052482102345516,0.08112933131332582,-4.995088751187426,6.04696275008464e-7,-0.5642907914796957,-0.24620562898940745,detail_mcod_root3_cstd
period2013_2019,-0.604738759371165,0.08618554028360827,-7.016707876764114,2.521230789242659e-12,-0.7736933232855967,-0.43578419545673325,detail_mcod_root3_cstd
period2020_2022,0.1450678841527352,0.0937797746090474,1.5468994754732517,0.12194011331237005,-0.038774102228346735,0.32890987053381715,detail_mcod_root3_cstd
