draw,err,p_garb,p_light,p_over,p_acc,prop_garbage,prop_light,pct_overd_miss,pct_acc_miss
1,0,0.12067921215232374,0.09532522604047484,0.2962820117423913,0.1874091303397667,0.4160756501182033,0.30969267139479906,0.002364066193853428,0.06619385342789598
2,0,0.07805469418768222,0.26816382230680325,0.09669016453240864,0.03897058454013467,0.3877068557919622,0.44680851063829785,0,0.06619385342789598
3,0,0.15372040373595527,0.05785527325558869,0.17910148418813684,0.14835150066230265,0.425531914893617,0.2789598108747045,0,0.06619385342789598
4,0,0.1354837760749798,0.10189598617012732,0.3391674441627293,0.3936423248326415,0.4066193853427896,0.3262411347517731,0.014184397163120567,0.06619385342789598
5,0,0.01726508713121017,0.3075166684490319,0.30926693927671844,0.37930464672282493,0.3191489361702128,0.4326241134751773,0.0070921985815602835,0.06619385342789598
6,0,0.19720263909971086,0.022750030907803784,0.11923928484361881,0.16985752511079547,0.46808510638297873,0.24349881796690306,0.002364066193853428,0.06619385342789598
7,0,0.13387295749168268,0.38833001960829,0.050042953064882725,0.21548310788825306,0.42789598108747046,0.5153664302600472,0.002364066193853428,0.06619385342789598
8,0,0.11936402857017657,0.37508592894716963,0.16540466500543302,0.3864058002765306,0.3735224586288416,0.5224586288416075,0.0070921985815602835,0.06619385342789598
9,0,0.1701784593046456,0.4803681297731984,0.24770262481694716,0.22291072932198452,0.4491725768321513,0.6052009456264775,0.009456264775413711,0.06619385342789598
10,0,0.06134153990052648,0.3675870888303301,0.09244675581085618,0.2980128984867323,0.36879432624113473,0.4657210401891253,0.004728132387706856,0.06619385342789598
11,0,0.15408901680505732,0.11876443871366868,0.3727722104491247,0.07309501906944532,0.39952718676122934,0.31678486997635935,0.0070921985815602835,0.06619385342789598
12,0,0.007143260186025436,0.2835135280552353,0.020395810865407968,0.3247649228086472,0.3215130023640662,0.43498817966903075,0,0.06619385342789598
13,0,0.19726707167726731,0.34392038489120086,0.18821410274797434,0.3684164077580471,0.44208037825059104,0.508274231678487,0.002364066193853428,0.06619385342789598
14,0,0.06622529071170383,0.16725085531086148,0.19264269724248004,0.3681618682522487,0.3806146572104019,0.35224586288416077,0.004728132387706856,0.06619385342789598
15,0,0.1617921468458992,0.43990690843217006,0.3325534287772871,0.17265361415034902,0.42080378250591016,0.5484633569739953,0.004728132387706856,0.06619385342789598
16,0,0.11633123597057936,0.41814183466450816,0.21630398058128267,0.2809574348011861,0.3829787234042553,0.5933806146572104,0.0070921985815602835,0.06619385342789598
17,0,0.1330205168268335,0.47990565416877534,0.1302147401228235,0.06555631459590827,0.40425531914893614,0.5531914893617021,0,0.06619385342789598
18,0,0.040461214588939365,0.007582681155111101,0.25250217330652575,0.22372628239334255,0.34515366430260047,0.22695035460992907,0.002364066193853428,0.06619385342789598
19,0,0.0065705957744931626,0.08666054369541656,0.08391557099633823,0.350571564705783,0.32387706855791965,0.2718676122931442,0.002364066193853428,0.06619385342789598
20,0,0.09374479239315653,0.18016036017177509,0.12685601506057456,0.20758936535068512,0.3900709219858156,0.34515366430260047,0.004728132387706856,0.06619385342789598
21,0,0.16010952007555876,0.09583182747778952,0.09165195987178193,0.30751323782902995,0.43498817966903075,0.3191489361702128,0,0.06619385342789598
22,0,0.19556934639774826,0.22425234763521898,0.14717574981333595,0.227622433226897,0.46335697399527187,0.38534278959810875,0.009456264775413711,0.06619385342789598
23,0,0.1853504389880438,0.2889089008311395,0.3443668068452496,0.0877492931326509,0.45390070921985815,0.4326241134751773,0.009456264775413711,0.06619385342789598
24,0,0.13186388919774653,0.26508621176190955,0.36630510170745234,0.03860932188824261,0.41371158392434987,0.408983451536643,0.01182033096926714,0.06619385342789598
25,0,0.19946172216162977,0.060004080641281043,0.19084629251063545,0.10192915257095914,0.4657210401891253,0.27423167848699764,0.002364066193853428,0.06619385342789598
26,0,0.06961970577968722,0.48403795242307107,0.23744971039461438,0.22779041747106402,0.3546099290780142,0.5933806146572104,0,0.06619385342789598
27,0,0.08223543677129105,0.1460567302722018,0.11433599995958806,0.2851802737725659,0.3664302600472813,0.34988179669030733,0.004728132387706856,0.06619385342789598
28,0,0.14037819947085006,0.2591998938968354,0.11178736166371295,0.38896069901618774,0.3900709219858156,0.44208037825059104,0.004728132387706856,0.06619385342789598
29,0,0.033376808777073455,0.36898232350319704,0.1581513764559027,0.1167150149766177,0.34278959810874704,0.475177304964539,0.009456264775413711,0.06619385342789598
30,0,0.13511063095717954,0.173769866033488,0.3452385710109079,0.36545728585103426,0.40425531914893614,0.37115839243498816,0.009456264775413711,0.06619385342789598
31,0,0.02737336384450544,0.21237570819774348,0.3200116865715084,0.32476223557036027,0.3404255319148936,0.3947990543735225,0.0070921985815602835,0.06619385342789598
32,0,0.14018125896288594,0.04753653411464745,0.16693435672725232,0.2851086663321133,0.41843971631205673,0.2647754137115839,0.002364066193853428,0.06619385342789598
33,0,0.0732664556334314,0.017614714024555993,0.1074830478887246,0.2847547646679429,0.3640661938534279,0.23404255319148937,0,0.06619385342789598
34,0,0.1392682916875474,0.20890494854008532,0.3779178167243735,0.3229140547956628,0.39952718676122934,0.39243498817966904,0.018912529550827423,0.06619385342789598
35,0,0.09459390804998878,0.2940141555515454,0.07296128048932794,0.06524518969724874,0.3735224586288416,0.47754137115839246,0.0070921985815602835,0.06619385342789598
36,0,0.11855390161723167,0.14172452489815215,0.23487878675916882,0.3555884797969842,0.425531914893617,0.30260047281323876,0.009456264775413711,0.06619385342789598
37,0,0.033674888453534065,0.12133545061521553,0.28633578400077375,0.024645018839781156,0.3380614657210402,0.30260047281323876,0.0070921985815602835,0.06619385342789598
38,0,0.034552410660987125,0.34832487021376685,0.016289786758896814,0.39441915164682634,0.3380614657210402,0.491725768321513,0,0.06619385342789598
39,0,0.026795882306421066,0.19021499833667643,0.02236484108769497,0.17510796562360065,0.33569739952718675,0.3829787234042553,0,0.06619385342789598
40,0,0.15462370830628358,0.3285017815251767,0.19757436213443694,0.23368190289610902,0.4373522458628842,0.508274231678487,0.009456264775413711,0.06619385342789598
41,0,0.1651405725975612,0.03412326928173193,0.04730788372457955,0.04917375357545464,0.4515366430260047,0.25059101654846333,0.002364066193853428,0.06619385342789598
42,0,0.06439719297797795,0.3051819038758604,0.38665769864451177,0.11108408298005568,0.3546099290780142,0.4657210401891253,0.004728132387706856,0.06619385342789598
43,0,0.10398432329034882,0.29501864869703515,0.07101062973267656,0.345052164553397,0.3877068557919622,0.4397163120567376,0.002364066193853428,0.06619385342789598
44,0,0.19793311584975762,0.25380198210263916,0.16503568764948826,0.39846643462800857,0.4302600472813239,0.408983451536643,0,0.06619385342789598
45,0,0.0223078905698008,0.2464198435785546,0.18807462368149352,0.18123879602590334,0.33569739952718675,0.41371158392434987,0.002364066193853428,0.06619385342789598
