period,cluster,sum_garb_k,sum_n_cert,sum_N_garbage,num_RI_weighted,prop_garbage,RI_cluster,w,num,den,philips_cstd,z_philips_cstd,z_RI_cluster,z_prop_garbage,direction_score
1999_2005,01CS002,3037,10125,1119,1136.3450044173335,0.2999506172839506,1.0155004507750969,NA,51.37711293817326,1,51.37711293817326,-0.6759320238180525,-0.6085494901084265,-0.42106010181187814,-0.5685138719127858
1999_2005,01CS004,1328,3513,595,329.7339679059389,0.3780244805009963,0.5541747359763679,NA,49.126690182294375,1,49.126690182294375,-1.8074772420838034,-1.6053343236758988,-2.1356484991094717,-1.8494866882897245
1999_2005,01CS006,7881,22477,3503,2094.391651676305,0.3506250834186057,0.597885141785985,NA,50.814428676646976,1,50.814428676646976,-0.9588578358061224,-1.5108894050805526,-1.5339274314608082,-1.3345582241158276
1999_2005,01CS014,1413,4340,547,404.95517675413714,0.32557603686635944,0.7403202500075633,NA,48.28919211078309,1,48.28919211078309,-2.22858342564409,-1.2031303726044336,-0.9838226612837405,-1.4718454865107546
1999_2005,01CS015,3949,10664,1630,972.8823255203558,0.37031132783195797,0.5968603224051263,NA,49.898483984979805,1,49.898483984979805,-1.4194081183449752,-1.5131037286771283,-1.9662591346283924,-1.6329236605501654
1999_2005,01CS018,1552,4069,752,366.7744785395139,0.38142049643647086,0.48773201933446,NA,49.671919906209695,1,49.671919906209695,-1.5333278248949476,-1.7488968655527803,-2.210228765540186,-1.8308178186626378
1999_2005,01CS019,3277,9237,1473,853.5985884871177,0.35476886434989713,0.5794966656395911,NA,49.02816987605112,1,49.02816987605112,-1.8570146817228241,-1.550621320183398,-1.6249294443365345,-1.6775218154142522
1999_2005,01CS022,1529,4068,734,349.0917564536851,0.37586037364798425,0.47560184802954375,NA,50.202415173745294,1,50.202415173745294,-1.2665871061902603,-1.775106483611013,-2.0881223188003033,-1.7099386362005256
1999_2005,01CS023,20169,55439,8172,5371.0607567239895,0.3638052634427028,0.6572516833974534,NA,51.66341605203189,1,51.66341605203189,-0.5319746635331826,-1.382616329460908,-1.8233787639866017,-1.245989918993564
1999_2005,01CS024,2393,6398,1049,600.2388934678921,0.3740231322288215,0.5722010423907455,NA,50.33379095926372,1,50.33379095926372,-1.2005294547952323,-1.566384947426775,-2.0477744649791894,-1.6048962890670655
1999_2005,01CS026,2015,5467,900,485.00365824085026,0.36857508688494606,0.5388929536009447,NA,49.0653840158221,1,49.0653840158221,-1.8383028722196033,-1.63835361658123,-1.928129362896927,-1.8015952838992533
1999_2005,01CS027,1779,4038,949,352.40659581304783,0.44056463595839523,0.3713452010674898,NA,50.50587590001762,1,50.50587590001762,-1.1140026494041402,-2.0003734504344717,-3.5090994914645237,-2.207825197101045
1999_2005,01CS029,5971,15556,2676,1416.9244799974101,0.38383903317048085,0.5294934529138304,NA,50.45789662971009,1,50.45789662971009,-1.1381273227574191,-1.658663084333554,-2.2633425074725335,-1.686710971521169
1999_2005,01CS030,2576,6592,1332,569.9970091626512,0.3907766990291262,0.427925682554543,NA,49.76715410670978,1,49.76715410670978,-1.4854426869093296,-1.8781202050309593,-2.4157013237961493,-1.9264214052454793
1999_2005,01CS031,17307,53263,6650,5591.463827901089,0.32493475771173236,0.8408216282558029,NA,52.29838047632934,1,52.29838047632934,-0.21270533682303563,-0.9859774015540779,-0.9697394617000884,-0.722807400025734
1999_2005,01CS032,2543,7591,1025,777.8689028878928,0.33500197602423926,0.7588964906223344,NA,50.7602994836513,1,50.7602994836513,-0.9860747795305109,-1.1629927554816106,-1.1908267116508198,-1.1132980822209804
1999_2005,01CS033,1667,4562,757,423.35665163620064,0.3654099079351162,0.5592558145788648,NA,49.1270780879797,1,49.1270780879797,-1.807282197476199,-1.594355655184933,-1.8586185320102593,-1.7534187948904638
1999_2005,01CS034,6987,17151,3176,1620.0263416327975,0.4073814937904495,0.5100838607156164,NA,50.91685440156789,1,50.91685440156789,-0.9073566949831847,-1.700601321263074,-2.780360984073559,-1.7961063334399394
1999_2005,02CS001,2827,10649,664,1197.1149162989377,0.26547093623814444,1.8028839100887617,NA,51.651260240493386,1,51.651260240493386,-0.5380867819716418,1.092747154038483,0.33615183349752814,0.29693740185478973
1999_2005,02CS003,1769,7073,456,709.3742997718642,0.2501060370422734,1.5556453942365445,NA,51.39311380266351,1,51.39311380266351,-0.6678865569586563,0.5585397709041141,0.6735820156527242,0.1880784098660607
1999_2005,04CS001,1202,3416,260,329.9874217416776,0.3518735362997658,1.2691823913141447,NA,51.23275086014059,1,51.23275086014059,-0.7485193715375169,-0.06041982213704377,-1.5613448377016015,-0.7900946771253873
1999_2005,04CS003,1289,4066,285,420.03819795554114,0.3170191834727004,1.4738182384404952,NA,52.19671788752992,1,52.19671788752992,-0.263822761729973,0.38173612598471046,-0.7959046956342437,-0.22599711045983542
