icd10_code
A01.0
A01.1
A01.2
A01.3
A01.4
A02
A02.0
A02.1
A02.2
A02.8
A03
A04
A05
A06
A07
A07.0
A07.1
A07.2
A07.3
A07.4
A07.8
A07.9
A08
A09
A09.9
A10
A11
A12
A13
A14
A15
A16
A17
A18
A19
A19.9
A20
A21
A22
A23
A24
A25
A26
A27
A28.9
A30
A30.9
A32
A32.9
A33
A34
A35
A35.0
A36
A36.9
A37
A37.9
A38
A38.9
A39
A39.9
A46
A46.0
A48.1
A48.2
A48.4
A48.5
A50
A51
A52
A53
A53.9
A54
A54.9
A55
A56
A56.8
A57
A58
A60
A60.9
A63
A63.8
A65
A65.0
A66
A67.9
A68
A68.9
A69
A69.1
A69.2
A69.3
A69.4
A69.5
A69.6
A69.7
A69.8
A69.9
A70
A74
A74.8
A74.9
A75
A75.9
A77
A78
A79
A79.9
A80
A80.9
A81
A81.9
A82
A82.9
A83
A84
A85
A86
A86.4
A87
A87.9
A88
A89
A89.9
A90
A91
A91.9
A92
A93
A94
A94.0
A95
A95.9
A96
A96.9
A98
A98.3
A98.4
A98.5
A98.6
A98.7
A98.8
B00
B00.9
B01
B02
B02.9
B03
B04
B05
B05.9
B06
B06.9
B10
B10.8
B15
B15.9
B16
B16.2
B17.0
B17.2
B18
B18.9
B19.1
B20
B20.0
B20.1
B21
B22
B23
B24
B24.9
B25
B26
B27.9
B29.4
B33
B33.0
B33.1
B33.2
B33.3
B33.4
B33.5
B33.6
B33.7
B33.8
B47
B48.8
B50
B51
B52
B53
B54.0
B55.0
B56
B56.9
B57
B57.5
B60
B60.8
B63
B65
B65.9
B66
B67
B67.4
B67.5
B67.6
B67.7
B67.8
B67.9
B69
B69.9
B70
B71
B71.9
B72.0
B74.3
B75
B77
B77.9
B83
B83.8
B86
B90
B90.9
B91
B94.1
B95
B95.5
B97.4
B97.5
B97.6
C00
C01
C02
C03
C04
C05
C06
C07
C08
C08.9
C09
C10
C10.9
C11
C11.9
C12
C13.9
C15
C15.9
C16
C16.9
C17
C17.9
C18
C19
C20
C21
C21.9
C22
C22.2
C22.8
C23
C24
C24.9
C25
C25.9
C30
C31
C31.9
C32
C32.9
C33
C34.9
C37
C38.8
C40
C41.9
C43
C43.9
C44
C44.9
C45
C45.9
C47
C47.9
C48
C48.9
C49
C49.9
C50
C50.9
C51
C52
C52.9
C53
C53.9
C54
C54.9
C56
C56.9
C57
C57.8
C58
C58.0
C60
C60.9
C61
C61.9
C62
C62.9
C63
C63.8
C64
C65
C65.9
C66
C66.9
C67
C67.9
C68.0
C68.1
C68.2
C68.3
C68.4
C68.5
C68.6
C68.7
C68.8
C69.0
C69.1
C69.2
C69.3
C69.4
C69.5
C69.6
C69.7
C69.8
C70
C71
C72
C72.9
C73
C73.9
C75
C75.8
C81
C81.9
C82
C83
C83.6
C83.7
C83.8
C83.9
C84
C85
C86.6
C88
C89
C90
C90.9
C91
C91.0
C91.2
C91.3
C91.6
C92
C92.0
C92.1
C92.2
C92.3
C92.4
C92.5
C92.6
C93
C93.0
C93.1
C93.3
C93.8
C94
C94.0
C94.1
C94.2
C94.3
C94.4
C94.5
C94.6
C95
C95.9
C96
C96.9
C4A
D00.1
D00.2
D01.0
D01.1
D01.2
D01.3
D02.0
D02.1
D02.2
D02.3
D03
D03.9
D04
D04.9
D05
D05.9
D06
D06.9
D07.0
D07.1
D07.2
D07.4
D07.5
D09.0
D09.2
D09.3
D09.8
D10.0
D10.1
D10.2
D10.3
D10.4
D10.5
D10.6
D10.7
D11
D11.9
D12
D12.9
D13.0
D13.1
D13.2
D13.3
D13.4
D13.5
D13.6
D13.7
D14.0
D14.1
D14.2
D14.3
D15
D16.9
D22
D23
D23.9
D24
D24.9
D25
D26
D26.0
D26.1
D26.2
D26.3
D26.4
D26.5
D26.6
D26.7
D26.8
D26.9
D27
D27.9
D28.0
D28.1
D28.2
D28.3
D28.4
D28.5
D28.6
D28.7
D29.0
D29.1
D29.2
D29.3
D29.4
D29.5
D29.6
D29.7
D29.8
D30.0
D30.1
D30.2
D30.3
D30.4
D30.5
D30.6
D30.7
D30.8
D31
