county_ihme,cluster,period
28087,1999-2004_C1,1999-2004
55105,1999-2004_C1,1999-2004
13253,1999-2004_C1,1999-2004
48439,1999-2004_C1,1999-2004
24003,1999-2004_C1,1999-2004
47007,1999-2004_C1,1999-2004
28097,1999-2004_C1,1999-2004
17021,1999-2004_C1,1999-2004
51810,1999-2004_C1,1999-2004
06067,1999-2004_C1,1999-2004
56001,1999-2004_C1,1999-2004
05125,1999-2004_C1,1999-2004
42079,1999-2004_C1,1999-2004
36071,1999-2004_C1,1999-2004
26139,1999-2004_C1,1999-2004
55111,1999-2004_C1,1999-2004
48029,1999-2004_C1,1999-2004
45069,1999-2004_C1,1999-2004
32019,1999-2004_C1,1999-2004
08077,1999-2004_C1,1999-2004
19163,1999-2004_C1,1999-2004
05069,1999-2004_C1,1999-2004
18023,1999-2004_C1,1999-2004
42077,1999-2004_C1,1999-2004
33011,1999-2004_C1,1999-2004
08041,1999-2004_C1,1999-2004
05007,1999-2004_C1,1999-2004
39113,1999-2004_C1,1999-2004
42017,1999-2004_C1,1999-2004
06023,1999-2004_C1,1999-2004
13189,1999-2004_C1,1999-2004
51035,1999-2004_C1,1999-2004
25011,1999-2004_C1,1999-2004
48485,1999-2004_C1,1999-2004
17089,1999-2004_C1,1999-2004
12061,1999-2004_C1,1999-2004
21227,1999-2004_C1,1999-2004
06079,1999-2004_C1,1999-2004
35047,1999-2004_C1,1999-2004
36091,1999-2004_C1,1999-2004
06095,1999-2004_C1,1999-2004
48141,1999-2004_C1,1999-2004
06073,1999-2004_C1,1999-2004
12099,1999-2004_C1,1999-2004
48453,1999-2004_C1,1999-2004
13299,1999-2004_C1,1999-2004
13055,1999-2004_C1,1999-2004
20177,1999-2004_C1,1999-2004
12115,1999-2004_C1,1999-2004
42029,1999-2004_C1,1999-2004
01049,1999-2004_C1,1999-2004
51159,1999-2004_C1,1999-2004
12109,1999-2004_C1,1999-2004
21231,1999-2004_C1,1999-2004
20087,1999-2004_C1,1999-2004
45051,1999-2004_C1,1999-2004
36103,1999-2004_C1,1999-2004
17149,1999-2004_C1,1999-2004
21145,1999-2004_C1,1999-2004
39089,1999-2004_C1,1999-2004
11001,1999-2004_C1,1999-2004
01097,1999-2004_C1,1999-2004
42071,1999-2004_C1,1999-2004
42107,1999-2004_C1,1999-2004
29095,1999-2004_C1,1999-2004
39083,1999-2004_C1,1999-2004
47187,1999-2004_C1,1999-2004
48183,1999-2004_C1,1999-2004
06013,1999-2004_C1,1999-2004
54049,1999-2004_C1,1999-2004
01121,1999-2004_C1,1999-2004
45075,1999-2004_C1,1999-2004
13057,1999-2004_C1,1999-2004
42069,1999-2004_C1,1999-2004
39045,1999-2004_C1,1999-2004
25027,1999-2004_C1,1999-2004
28031,1999-2004_C1,1999-2004
35013,1999-2004_C1,1999-2004
42011,1999-2004_C1,1999-2004
28035,1999-2004_C1,1999-2004
37101,1999-2004_C1,1999-2004
37061,1999-2004_C1,1999-2004
18097,1999-2004_C1,1999-2004
13025,1999-2004_C1,1999-2004
53009,1999-2004_C1,1999-2004
06087,1999-2004_C1,1999-2004
30013,1999-2004_C1,1999-2004
19015,1999-2004_C1,1999-2004
13235,1999-2004_C1,1999-2004
08069,1999-2004_C1,1999-2004
27053,1999-2004_C1,1999-2004
17105,1999-2004_C1,1999-2004
39139,1999-2004_C1,1999-2004
53027,1999-2004_C1,1999-2004
20061,1999-2004_C1,1999-2004
18151,1999-2004_C1,1999-2004
06057,1999-2004_C1,1999-2004
51173,1999-2004_C1,1999-2004
13115,1999-2004_C1,1999-2004
06059,1999-2004_C1,1999-2004
53067,1999-2004_C1,1999-2004
17197,1999-2004_C1,1999-2004
45003,1999-2004_C1,1999-2004
47157,1999-2004_C1,1999-2004
55101,1999-2004_C1,1999-2004
40021,1999-2004_C1,1999-2004
48209,1999-2004_C1,1999-2004
47075,1999-2004_C1,1999-2004
31179,1999-2004_C1,1999-2004
12009,1999-2004_C1,1999-2004
51153,1999-2004_C1,1999-2004
51570,1999-2004_C1,1999-2004
20209,1999-2004_C1,1999-2004
17167,1999-2004_C1,1999-2004
19031,1999-2004_C1,1999-2004
48149,1999-2004_C1,1999-2004
23021,1999-2004_C1,1999-2004
13073,1999-2004_C1,1999-2004
01043,1999-2004_C1,1999-2004
12007,1999-2004_C1,1999-2004
06089,1999-2004_C1,1999-2004
19147,1999-2004_C1,1999-2004
21089,1999-2004_C1,1999-2004
27083,1999-2004_C1,1999-2004
51680,1999-2004_C1,1999-2004
21067,1999-2004_C1,1999-2004
17063,1999-2004_C1,1999-2004
41011,1999-2004_C1,1999-2004
48037,1999-2004_C1,1999-2004
22051,1999-2004_C1,1999-2004
17119,1999-2004_C1,1999-2004
36077,1999-2004_C1,1999-2004
01077,1999-2004_C1,1999-2004
39145,1999-2004_C1,1999-2004
34021,1999-2004_C1,1999-2004
13275,1999-2004_C1,1999-2004
37135,1999-2004_C1,1999-2004
17161,1999-2004_C1,1999-2004
18149,1999-2004_C1,1999-2004
12085,1999-2004_C1,1999-2004
18039,1999-2004_C1,1999-2004
51143,1999-2004_C1,1999-2004
42043,1999-2004_C1,1999-2004
29187,1999-2004_C1,1999-2004
39075,1999-2004_C1,1999-2004
39023,1999-2004_C1,1999-2004
48061,1999-2004_C1,1999-2004
42035,1999-2004_C1,1999-2004
28009,1999-2004_C1,1999-2004
08037,1999-2004_C1,1999-2004
55017,1999-2004_C1,1999-2004
27017,1999-2004_C1,1999-2004
13063,1999-2004_C1,1999-2004
27135,1999-2004_C1,1999-2004
18017,1999-2004_C1,1999-2004
09001,1999-2004_C1,1999-2004
18035,1999-2004_C1,1999-2004
21109,1999-2004_C1,1999-2004
55003,1999-2004_C1,1999-2004
36057,1999-2004_C1,1999-2004
18163,1999-2004_C1,1999-2004
19151,1999-2004_C1,1999-2004
40013,1999-2004_C1,1999-2004
41051,1999-2004_C1,1999-2004
39131,1999-2004_C1,1999-2004
48355,1999-2004_C1,1999-2004
21195,1999-2004_C1,1999-2004
37119,1999-2004_C1,1999-2004
22033,1999-2004_C1,1999-2004
54019,1999-2004_C1,1999-2004
29133,1999-2004_C1,1999-2004
16081,1999-2004_C1,1999-2004
19167,1999-2004_C1,1999-2004
47039,1999-2004_C1,1999-2004
17081,1999-2004_C1,1999-2004
24510,1999-2004_C1,1999-2004
22045,1999-2004_C1,1999-2004
45013,1999-2004_C1,1999-2004
37017,1999-2004_C1,1999-2004
16083,1999-2004_C1,1999-2004
37189,1999-2004_C1,1999-2004
34027,1999-2004_C1,1999-2004
26147,1999-2004_C1,1999-2004
17185,1999-2004_C1,1999-2004
06107,1999-2004_C1,1999-2004
32003,1999-2004_C1,1999-2004
39085,1999-2004_C1,1999-2004
42127,1999-2004_C1,1999-2004
48441,1999-2004_C1,1999-2004
05079,1999-2004_C1,1999-2004
24001,1999-2004_C1,1999-2004
12079,1999-2004_C1,1999-2004
32005,1999-2004_C1,1999-2004
39057,1999-2004_C1,1999-2004
50001,1999-2004_C1,1999-2004
48165,1999-2004_C1,1999-2004
40143,1999-2004_C1,1999-2004
24047,1999-2004_C1,1999-2004
22123,1999-2004_C1,1999-2004
51019,1999-2004_C1,1999-2004
42045,1999-2004_C1,1999-2004
16075,1999-2004_C1,1999-2004
01015,1999-2004_C1,1999-2004
37057,1999-2004_C1,1999-2004
23015,1999-2004_C1,1999-2004
23025,1999-2004_C1,1999-2004
36081,1999-2004_C1,1999-2004
41003,1999-2004_C1,1999-2004
36093,1999-2004_C1,1999-2004
08015,1999-2004_C1,1999-2004
42097,1999-2004_C1,1999-2004
37139,1999-2004_C1,1999-2004
19077,1999-2004_C1,1999-2004
12001,1999-2004_C1,1999-2004
48053,1999-2004_C1,1999-2004
04019,1999-2004_C1,1999-2004
39157,1999-2004_C1,1999-2004
46047,1999-2004_C1,1999-2004
25001,1999-2004_C1,1999-2004
45079,1999-2004_C1,1999-2004
06075,1999-2004_C1,1999-2004
26027,1999-2004_C1,1999-2004
05019,1999-2004_C1,1999-2004
01117,1999-2004_C1,1999-2004
35006,1999-2004_C1,1999-2004
40041,1999-2004_C1,1999-2004
06111,1999-2004_C1,1999-2004
17011,1999-2004_C1,1999-2004
05051,1999-2004_C1,1999-2004
13003,1999-2004_C1,1999-2004
48479,1999-2004_C1,1999-2004
39159,1999-2004_C1,1999-2004
37059,1999-2004_C1,1999-2004
42129,1999-2004_C1,1999-2004
41035,1999-2004_C1,1999-2004
53035,1999-2004_C1,1999-2004
22009,1999-2004_C1,1999-2004
17093,1999-2004_C1,1999-2004
28109,1999-2004_C1,1999-2004
12023,1999-2004_C1,1999-2004
51121,1999-2004_C1,1999-2004
18157,1999-2004_C1,1999-2004
41059,1999-2004_C1,1999-2004
39151,1999-2004_C1,1999-2004
34029,1999-2004_C1,1999-2004
26015,1999-2004_C1,1999-2004
09003,1999-2004_C1,1999-2004
17043,1999-2004_C1,1999-2004
05005,1999-2004_C1,1999-2004
48469,1999-2004_C1,1999-2004
17001,1999-2004_C1,1999-2004
22049,1999-2004_C1,1999-2004
45045,1999-2004_C1,1999-2004
39153,1999-2004_C1,1999-2004
29039,1999-2004_C1,1999-2004
53063,1999-2004_C1,1999-2004
22057,1999-2004_C1,1999-2004
55059,1999-2004_C1,1999-2004
42063,1999-2004_C1,1999-2004
21069,1999-2004_C1,1999-2004
33013,1999-2004_C1,1999-2004
18019,1999-2004_C1,1999-2004
28041,1999-2004_C1,1999-2004
26099,1999-2004_C1,1999-2004
48003,1999-2004_C1,1999-2004
01125,1999-2004_C1,1999-2004
54003,1999-2004_C1,1999-2004
18081,1999-2004_C1,1999-2004
25013,1999-2004_C1,1999-2004
18061,1999-2004_C1,1999-2004
48451,1999-2004_C1,1999-2004
13021,1999-2004_C1,1999-2004
51840,1999-2004_C1,1999-2004
33015,1999-2004_C1,1999-2004
34003,1999-2004_C1,1999-2004
21113,1999-2004_C1,1999-2004
42021,1999-2004_C1,1999-2004
34039,1999-2004_C1,1999-2004
48245,1999-2004_C1,1999-2004
12081,1999-2004_C1,1999-2004
29047,1999-2004_C1,1999-2004
27035,1999-2004_C1,1999-2004
12029,1999-2004_C1,1999-2004
06113,1999-2004_C1,1999-2004
01071,1999-2004_C1,1999-2004
30003,1999-2004_C1,1999-2004
17179,1999-2004_C1,1999-2004
28149,1999-2004_C1,1999-2004
36087,1999-2004_C1,1999-2004
48419,1999-2004_C1,1999-2004
29153,1999-2004_C1,1999-2004
29013,1999-2004_C1,1999-2004
51013,1999-2004_C1,1999-2004
20003,1999-2004_C1,1999-2004
17113,1999-2004_C1,1999-2004
55009,1999-2004_C1,1999-2004
42081,1999-2004_C1,1999-2004
23029,1999-2004_C1,1999-2004
18177,1999-2004_C1,1999-2004
36119,1999-2004_C1,1999-2004
45023,1999-2004_C1,1999-2004
36053,1999-2004_C1,1999-2004
37151,1999-2004_C1,1999-2004
33007,1999-2004_C1,1999-2004
12053,1999-2004_C1,1999-2004
17189,1999-2004_C1,1999-2004
47017,1999-2004_C1,1999-2004
40109,1999-2004_C1,1999-2004
01099,1999-2004_C1,1999-2004
42065,1999-2004_C1,1999-2004
26125,1999-2004_C1,1999-2004
51145,1999-2004_C1,1999-2004
39141,1999-2004_C1,1999-2004
46041,1999-2004_C1,1999-2004
34013,1999-2004_C1,1999-2004
28085,1999-2004_C1,1999-2004
36075,1999-2004_C1,1999-2004
30063,1999-2004_C1,1999-2004
13255,1999-2004_C1,1999-2004
34005,1999-2004_C1,1999-2004
26157,1999-2004_C1,1999-2004
54039,1999-2004_C1,1999-2004
47037,1999-2004_C1,1999-2004
17111,1999-2004_C1,1999-2004
42019,1999-2004_C1,1999-2004
51033,1999-2004_C1,1999-2004
55027,1999-2004_C1,1999-2004
37127,1999-2004_C1,1999-2004
55031,1999-2004_C1,1999-2004
36065,1999-2004_C1,1999-2004
55063,1999-2004_C1,1999-2004
37001,1999-2004_C1,1999-2004
32007,1999-2004_C1,1999-2004
37071,1999-2004_C1,1999-2004
18145,1999-2004_C1,1999-2004
27133,1999-2004_C1,1999-2004
39155,1999-2004_C1,1999-2004
47065,1999-2004_C1,1999-2004
20111,1999-2004_C1,1999-2004
53057,1999-2004_C1,1999-2004
18109,1999-2004_C1,1999-2004
47043,1999-2004_C1,1999-2004
51770,1999-2004_C1,1999-2004
13131,1999-2004_C1,1999-2004
21093,1999-2004_C1,1999-2004
18133,1999-2004_C1,1999-2004
12031,1999-2004_C1,1999-2004
54065,1999-2004_C1,1999-2004
53061,1999-2004_C1,1999-2004
51059,1999-2004_C1,1999-2004
20117,1999-2004_C1,1999-2004
50019,1999-2004_C1,1999-2004
42125,1999-2004_C1,1999-2004
34007,1999-2004_C1,1999-2004
27005,1999-2004_C1,1999-2004
37015,1999-2004_C1,1999-2004
55057,1999-2004_C1,1999-2004
31141,1999-2004_C1,1999-2004
20059,1999-2004_C1,1999-2004
13067,1999-2004_C1,1999-2004
39081,1999-2004_C1,1999-2004
16055,1999-2004_C1,1999-2004
42001,1999-2004_C1,1999-2004
17073,1999-2004_C1,1999-2004
12015,1999-2004_C1,1999-2004
37053,1999-2004_C1,1999-2004
51650,1999-2004_C1,1999-2004
51067,1999-2004_C1,1999-2004
47123,1999-2004_C1,1999-2004
13001,1999-2004_C1,1999-2004
26133,1999-2004_C1,1999-2004
47093,1999-2004_C1,1999-2004
42089,1999-2004_C1,1999-2004
41061,1999-2004_C1,1999-2004
19069,1999-2004_C1,1999-2004
55025,1999-2004_C1,1999-2004
54023,1999-2004_C1,1999-2004
47141,1999-2004_C1,1999-2004
42073,1999-2004_C1,1999-2004
29185,1999-2004_C1,1999-2004
48101,1999-2004_C1,1999-2004
54107,1999-2004_C1,1999-2004
34033,1999-2004_C1,1999-2004
17123,1999-2004_C1,1999-2004
21005,1999-2004_C1,1999-2004
39095,1999-2004_C1,1999-2004
06077,1999-2004_C1,1999-2004
47047,1999-2004_C1,1999-2004
40079,1999-2004_C1,1999-2004
05103,1999-2004_C1,1999-2004
51015,1999-2004_C1,1999-2004
51690,1999-2004_C1,1999-2004
26077,1999-2004_C1,1999-2004
23017,1999-2004_C1,1999-2004
40001,1999-2004_C1,1999-2004
04007,1999-2004_C1,1999-2004
17163,1999-2004_C1,1999-2004
51117,1999-2004_C1,1999-2004
39031,1999-2004_C1,1999-2004
39063,1999-2004_C1,1999-2004
22115,1999-2004_C1,1999-2004
48381,1999-2004_C1,1999-2004
47189,1999-2004_C1,1999-2004
31107,1999-2004_C1,1999-2004
48257,1999-2004_C1,1999-2004
42083,1999-2004_C1,1999-2004
47009,1999-2004_C1,1999-2004
47045,1999-2004_C1,1999-2004
37025,1999-2004_C1,1999-2004
39093,1999-2004_C1,1999-2004
