cluster,period,z_overd,z_RI,z_garb,z_phil,has_dq,has_ph,ready,reason
C1069,2006_2012,NA,NA,NA,-0.8996879453138853,0,1,0,missing_dq
C107,2006_2012,NA,NA,NA,-0.29806210849504244,0,1,0,missing_dq
C1070,2006_2012,NA,NA,NA,-1.8618533612217703,0,1,0,missing_dq
C1071,2006_2012,NA,NA,NA,-3.571186917943041,0,1,0,missing_dq
C1072,2006_2012,NA,NA,NA,-0.38706111499438917,0,1,0,missing_dq
C1073,2006_2012,NA,NA,NA,-1.371452246368953,0,1,0,missing_dq
C1074,2006_2012,NA,NA,NA,-1.9769189352518404,0,1,0,missing_dq
C1075,2006_2012,NA,NA,NA,0.15341967015537522,0,1,0,missing_dq
C1076,2006_2012,NA,NA,NA,-0.3540181285534504,0,1,0,missing_dq
C1077,2006_2012,NA,NA,NA,-1.6696987660541238,0,1,0,missing_dq
C1078,2006_2012,NA,NA,NA,0.4797964217651976,0,1,0,missing_dq
C1079,2006_2012,NA,NA,NA,-2.213367815232779,0,1,0,missing_dq
C108,2006_2012,NA,NA,NA,-0.03505985008074926,0,1,0,missing_dq
C1080,2006_2012,NA,NA,NA,0.028238900115709134,0,1,0,missing_dq
C1081,2006_2012,NA,NA,NA,-0.688679098170033,0,1,0,missing_dq
C1082,2006_2012,NA,NA,NA,0.6695816546008029,0,1,0,missing_dq
C1083,2006_2012,NA,NA,NA,-0.06716996746657102,0,1,0,missing_dq
C1084,2006_2012,NA,NA,NA,-0.8216882704716603,0,1,0,missing_dq
C1085,2006_2012,NA,NA,NA,-0.15069492104138055,0,1,0,missing_dq
C1086,2006_2012,NA,NA,NA,-0.26000156152993054,0,1,0,missing_dq
C1087,2006_2012,NA,NA,NA,-1.6753343908387068,0,1,0,missing_dq
C1088,2006_2012,NA,NA,NA,-0.4958350626954122,0,1,0,missing_dq
C1089,2006_2012,NA,NA,NA,-0.6318948330023549,0,1,0,missing_dq
C109,2006_2012,NA,NA,NA,1.1592725825554235,0,1,0,missing_dq
C1090,2006_2012,NA,NA,NA,-0.011126618813953564,0,1,0,missing_dq
C1091,2006_2012,NA,NA,NA,-1.2014383394317791,0,1,0,missing_dq
C1092,2006_2012,NA,NA,NA,-0.9042998170138292,0,1,0,missing_dq
C1093,2006_2012,NA,NA,NA,0.9490407004790743,0,1,0,missing_dq
C1094,2006_2012,NA,NA,NA,0.19415418136570525,0,1,0,missing_dq
