garbage,n_tr,n_te,k_cand,dims_in,rs_min,rs_max,frac_rows_ne1e6,nz_feat,glmnet_grouped,lambda_1se,reshape_note
g1,39634,646,19,646×19,0.9999999999999997,1.0000000000000004,0,52,TRUE,0.011577166396670703,ok
g2,26148,1153,8,1153×8,0.9999999999999998,1.0000000000000004,0,51,TRUE,0.021435992621728465,ok
g3,11097,673,6,673×6,0.9999999999999997,1.0000000000000002,0,46,TRUE,0.09303898460518728,ok
g4,41591,192,22,192×22,0.9999999999999997,1.0000000000000004,0,52,TRUE,0.01385142901547186,ok
g5,45136,1012,24,1012×24,0.9999999999999997,1.0000000000000004,0,52,TRUE,0.013270430346895765,ok
g6,29063,1091,12,1091×12,0.9999999999999997,1.0000000000000004,0,51,TRUE,0.019567915340616485,ok
g8,2915,87,4,87×4,0.9999999999999998,1.0000000000000002,0,48,TRUE,0.14947910133886877,ok
g9,2389,5,5,5×5,1,1,0,50,TRUE,0.05395498161329015,ok
