variable,level,autopsy_flag,deaths,prop,description
edu_final,Some HS,Unknown,6,0.0026513477684489617,NA
edu_final,Some HS,Yes,199,0.08793636765355722,NA
edu_final,Some college,No,292136,0.8645251024665966,NA
edu_final,Some college,Unknown,12385,0.036651228859328526,NA
edu_final,Some college,Yes,33394,0.09882366867407484,NA
edu_final,≤8 grade,No,257386,0.885580492772871,NA
edu_final,≤8 grade,Unknown,13201,0.04542029514074064,NA
edu_final,≤8 grade,Yes,20054,0.06899921208638836,NA
edu_final,≥5 yrs college,No,747,0.9589216944801027,NA
edu_final,≥5 yrs college,Unknown,2,0.0025673940949935813,NA
edu_final,≥5 yrs college,Yes,30,0.038510911424903725,NA
marital,Divorced,No,373156,0.8561156856042269,NA
marital,Divorced,Unknown,16755,0.03844027246593602,NA
marital,Divorced,Yes,45960,0.10544404192983704,NA
marital,MS unk,No,16333,0.7491514539950463,NA
marital,MS unk,Unknown,675,0.03096046234290432,NA
marital,MS unk,Yes,4794,0.21988808366204934,NA
marital,Married,No,905882,0.8971091694321233,NA
marital,Married,Unknown,42307,0.04189728643594291,NA
marital,Married,Yes,61590,0.06099354413193382,NA
marital,Single,No,260453,0.7014189802409223,NA
marital,Single,Unknown,11631,0.03132313376763626,NA
marital,Single,Yes,99239,0.2672578859914414,NA
marital,Widowed,No,856722,0.94032745428822,NA
marital,Widowed,Unknown,39555,0.04341507800006366,NA
marital,Widowed,Yes,14812,0.01625746771171642,NA
inj_work,No,No,110636,0.46075295685490586,NA
inj_work,No,Unknown,2586,0.010769615192403797,NA
inj_work,No,Yes,126898,0.5284774279526904,NA
inj_work,Unknown,No,2300331,0.9182657493846509,NA
inj_work,Unknown,Unknown,108310,0.04323610963633127,NA
inj_work,Unknown,Yes,96441,0.03849814097901785,NA
inj_work,Yes,No,1579,0.3386958386958387,NA
inj_work,Yes,Unknown,27,0.005791505791505791,NA
inj_work,Yes,Yes,3056,0.6555126555126555,NA
cause113,1,No,29,0.7837837837837838,NA
cause113,1,Unknown,5,0.13513513513513514,NA
cause113,1,Yes,3,0.08108108108108109,NA
cause113,2,No,5,0.625,NA
cause113,2,Yes,3,0.375,NA
cause113,3,No,8625,0.9238431876606684,NA
cause113,3,Unknown,487,0.052163667523564695,NA
cause113,3,Yes,224,0.023993144815766924,NA
cause113,5,No,355,0.9056122448979592,NA
cause113,5,Unknown,17,0.04336734693877551,NA
cause113,5,Yes,20,0.05102040816326531,NA
cause113,6,No,126,0.8936170212765957,NA
cause113,6,Unknown,3,0.02127659574468085,NA
cause113,6,Yes,12,0.0851063829787234,NA
cause113,7,No,10,0.9090909090909091,NA
cause113,7,Yes,1,0.09090909090909091,NA
cause113,8,Unknown,1,0.5,NA
cause113,8,Yes,1,0.5,NA
cause113,9,No,19,0.5135135135135135,NA
cause113,9,Yes,18,0.4864864864864865,NA
cause113,10,No,37216,0.9142857142857143,NA
cause113,10,Unknown,2434,0.05979609384596487,NA
cause113,10,Yes,1055,0.025918191868320846,NA
cause113,11,No,37,0.9024390243902439,NA
cause113,11,Unknown,2,0.04878048780487805,NA
cause113,11,Yes,2,0.04878048780487805,NA
cause113,13,No,2,1,NA
cause113,15,No,5942,0.9223843526855015,NA
cause113,15,Unknown,248,0.03849736106799131,NA
cause113,15,Yes,252,0.039118286246507296,NA
cause113,16,No,5676,0.9159270614813619,NA
cause113,16,Unknown,290,0.0467968371792803,NA
cause113,16,Yes,231,0.037276101339357756,NA
cause113,17,No,4,0.6666666666666666,NA
cause113,17,Yes,2,0.3333333333333333,NA
cause113,18,No,6048,0.8776665215498476,NA
cause113,18,Unknown,311,0.04513133072123059,NA
cause113,18,Yes,532,0.07720214772892178,NA
cause113,20,No,9656,0.9480608738340697,NA
cause113,20,Unknown,438,0.04300441826215022,NA
cause113,20,Yes,91,0.008934707903780068,NA
cause113,21,No,14664,0.9478378902462672,NA
cause113,21,Unknown,662,0.042789735634412775,NA
cause113,21,Yes,145,0.009372374119320018,NA
cause113,22,No,10918,0.9531209079004801,NA
cause113,22,Unknown,450,0.0392841553906591,NA
cause113,22,Yes,87,0.007594936708860759,NA
cause113,23,No,50573,0.9503523442638354,NA
cause113,23,Unknown,2242,0.04213097810767641,NA
cause113,23,Yes,400,0.007516677628488208,NA
cause113,24,No,25253,0.9485763654120652,NA
cause113,24,Unknown,1119,0.04203290511606941,NA
cause113,24,Yes,250,0.009390729471865375,NA
cause113,25,No,40736,0.951331153666511,NA
cause113,25,Unknown,1832,0.042783745913124706,NA
cause113,25,Yes,252,0.005885100420364316,NA
cause113,26,No,3646,0.9413891040537051,NA
cause113,26,Unknown,168,0.043377226955848176,NA
cause113,26,Yes,59,0.015233668990446682,NA
cause113,27,No,140994,0.9457987308316675,NA
cause113,27,Unknown,7215,0.04839878181305929,NA
cause113,27,Yes,865,0.00580248735527322,NA
cause113,28,No,7786,0.950207468879668,NA
cause113,28,Unknown,356,0.04344642421283866,NA
cause113,28,Yes,52,0.006346106907493288,NA
cause113,29,No,39945,0.9508676712133114,NA
cause113,29,Unknown,1838,0.04375252921992906,NA
cause113,29,Yes,226,0.005379799566759504,NA
cause113,30,No,4004,0.9535603715170279,NA
cause113,30,Unknown,174,0.04143843772326745,NA
cause113,30,Yes,21,0.0050011907597046915,NA
cause113,31,No,10243,0.9531918853526894,NA
cause113,31,Unknown,418,0.03889819467708915,NA
cause113,31,Yes,85,0.007909919970221477,NA
cause113,32,No,13549,0.9513411037775593,NA
cause113,32,Unknown,604,0.04240977390815897,NA
cause113,32,Yes,89,0.006249122314281702,NA
cause113,33,No,28999,0.9540400052638505,NA
cause113,33,Unknown,1251,0.041156731148835377,NA
cause113,33,Yes,146,0.00480326358731412,NA
cause113,34,No,13203,0.9532851985559567,NA
cause113,34,Unknown,560,0.04043321299638989,NA
cause113,34,Yes,87,0.006281588447653429,NA
cause113,35,No,15896,0.9537981519260771,NA
cause113,35,Unknown,682,0.04092163686547462,NA
cause113,35,Yes,88,0.0052802112084483375,NA
cause113,36,No,16025,0.950587258275003,NA
cause113,36,Unknown,671,0.039803060861312134,NA
cause113,36,Yes,162,0.009609680863684897,NA
cause113,38,No,942,0.9410589410589411,NA
cause113,38,Unknown,36,0.03596403596403597,NA
cause113,38,Yes,23,0.022977022977022976,NA
cause113,39,No,19124,0.9420225604650018,NA
cause113,39,Unknown,905,0.044579084774149055,NA
cause113,39,Yes,272,0.01339835476084922,NA
cause113,40,No,21788,0.9396239434190098,NA
cause113,40,Unknown,988,0.04260824564429878,NA
cause113,40,Yes,412,0.017767810936691393,NA
cause113,41,No,12116,0.9498275321417372,NA
cause113,41,Unknown,532,0.04170586390718094,NA
cause113,41,Yes,108,0.008466603951081843,NA
cause113,42,No,96,0.96,NA
cause113,42,Unknown,1,0.01,NA
cause113,42,Yes,3,0.03,NA
cause113,43,No,67487,0.9426085256159562,NA
cause113,43,Unknown,3185,0.04448572545952288,NA
cause113,43,Yes,924,0.012905748924520923,NA
cause113,44,No,14833,0.9374920996081406,NA
cause113,44,Unknown,648,0.040955631399317405,NA
cause113,44,Yes,341,0.02155226899254203,NA
cause113,45,No,4902,0.9148936170212766,NA
cause113,45,Unknown,250,0.04665920119447555,NA
cause113,45,Yes,206,0.03844718178424785,NA
cause113,46,No,74580,0.9305749650628868,NA
cause113,46,Unknown,3130,0.03905470153723298,NA
cause113,46,Yes,2434,0.030370333399880215,NA
cause113,48,No,5717,0.9324743108791388,NA
cause113,48,Unknown,327,0.0533355080737237,NA
cause113,48,Yes,87,0.014190181047137498,NA
cause113,49,No,191,0.9455445544554455,NA
cause113,49,Unknown,4,0.019801980198019802,NA
cause113,49,Yes,7,0.034653465346534656,NA
cause113,50,No,413,0.7348754448398577,NA
cause113,50,Unknown,23,0.04092526690391459,NA
cause113,50,Yes,126,0.22419928825622776,NA
cause113,51,No,28448,0.9576838916007406,NA
cause113,51,Unknown,1140,0.0383773775458677,NA
cause113,51,Yes,117,0.003938730853391685,NA
cause113,52,No,111415,0.9593411229840619,NA
cause113,52,Unknown,4452,0.03833403652582726,NA
cause113,52,Yes,270,0.0023248404901108173,NA
cause113,55,No,3289,0.9233576642335767,NA
cause113,55,Unknown,149,0.04183043234138124,NA
cause113,55,Yes,124,0.03481190342504211,NA
cause113,56,No,34557,0.7872112624720944,NA
cause113,56,Unknown,1011,0.02303066198915668,NA
cause113,56,Yes,8330,0.1897580755387489,NA
cause113,57,No,5357,0.9300347222222223,NA
cause113,57,Unknown,167,0.028993055555555557,NA
cause113,57,Yes,236,0.04097222222222222,NA
