period,cluster,issue,z_sum
1999_2005,C1150,geom_without_data,NA
1999_2005,C1151,geom_without_data,NA
1999_2005,C1152,geom_without_data,NA
1999_2005,C1153,geom_without_data,NA
1999_2005,C1154,geom_without_data,NA
1999_2005,C1155,geom_without_data,NA
1999_2005,C1156,geom_without_data,NA
1999_2005,C1157,geom_without_data,NA
1999_2005,C1158,geom_without_data,NA
1999_2005,C1159,geom_without_data,NA
1999_2005,C116,geom_without_data,NA
1999_2005,C1160,geom_without_data,NA
1999_2005,C1162,geom_without_data,NA
1999_2005,C1163,geom_without_data,NA
1999_2005,C1164,geom_without_data,NA
1999_2005,C1165,geom_without_data,NA
1999_2005,C1166,geom_without_data,NA
1999_2005,C1167,geom_without_data,NA
1999_2005,C1168,geom_without_data,NA
1999_2005,C1169,geom_without_data,NA
1999_2005,C117,geom_without_data,NA
1999_2005,C1170,geom_without_data,NA
1999_2005,C1171,geom_without_data,NA
1999_2005,C1172,geom_without_data,NA
1999_2005,C1173,geom_without_data,NA
1999_2005,C1174,geom_without_data,NA
1999_2005,C1175,geom_without_data,NA
1999_2005,C1176,geom_without_data,NA
1999_2005,C1178,geom_without_data,NA
1999_2005,C1179,geom_without_data,NA
1999_2005,C118,geom_without_data,NA
1999_2005,C1180,geom_without_data,NA
1999_2005,C1181,geom_without_data,NA
1999_2005,C1182,geom_without_data,NA
1999_2005,C1183,geom_without_data,NA
1999_2005,C1184,geom_without_data,NA
1999_2005,C1185,geom_without_data,NA
1999_2005,C1187,geom_without_data,NA
1999_2005,C1188,geom_without_data,NA
1999_2005,C1189,geom_without_data,NA
1999_2005,C119,geom_without_data,NA
1999_2005,C1190,geom_without_data,NA
1999_2005,C1191,geom_without_data,NA
1999_2005,C1192,geom_without_data,NA
1999_2005,C1193,geom_without_data,NA
1999_2005,C1194,geom_without_data,NA
1999_2005,C1195,geom_without_data,NA
1999_2005,C1196,geom_without_data,NA
1999_2005,C1197,geom_without_data,NA
1999_2005,C1198,geom_without_data,NA
1999_2005,C1199,geom_without_data,NA
1999_2005,C12,geom_without_data,NA
1999_2005,C120,geom_without_data,NA
1999_2005,C1200,geom_without_data,NA
1999_2005,C1203,geom_without_data,NA
1999_2005,C1205,geom_without_data,NA
1999_2005,C1206,geom_without_data,NA
1999_2005,C1207,geom_without_data,NA
1999_2005,C1208,geom_without_data,NA
1999_2005,C1209,geom_without_data,NA
1999_2005,C121,geom_without_data,NA
1999_2005,C1210,geom_without_data,NA
1999_2005,C1211,geom_without_data,NA
1999_2005,C1212,geom_without_data,NA
1999_2005,C1213,geom_without_data,NA
1999_2005,C1214,geom_without_data,NA
1999_2005,C1215,geom_without_data,NA
1999_2005,C1216,geom_without_data,NA
1999_2005,C1217,geom_without_data,NA
1999_2005,C1218,geom_without_data,NA
1999_2005,C1219,geom_without_data,NA
1999_2005,C122,geom_without_data,NA
1999_2005,C1221,geom_without_data,NA
1999_2005,C1222,geom_without_data,NA
