period,cluster
1999_2005,C778
1999_2005,C1287
1999_2005,C633
1999_2005,C355
1999_2005,C390
1999_2005,C612
1999_2005,C835
1999_2005,C981
1999_2005,C868
1999_2005,C992
1999_2005,C972
1999_2005,C680
1999_2005,C978
1999_2005,C760
1999_2005,C993
1999_2005,C1356
1999_2005,C987
1999_2005,C154
1999_2005,C506
1999_2005,C16
1999_2005,C44
1999_2005,C749
1999_2005,C1001
1999_2005,C308
1999_2005,C353
1999_2005,C86
1999_2005,C80
1999_2005,C136
1999_2005,C1019
1999_2005,C618
1999_2005,C40
1999_2005,C648
1999_2005,C463
1999_2005,C297
1999_2005,C89
1999_2005,C872
1999_2005,C1054
1999_2005,C202
1999_2005,C245
1999_2005,C642
1999_2005,C119
1999_2005,C850
1999_2005,C345
1999_2005,C676
1999_2005,C531
1999_2005,C553
1999_2005,C699
1999_2005,C997
1999_2005,C285
1999_2005,C483
1999_2005,C516
1999_2005,C1030
1999_2005,C131
1999_2005,C897
1999_2005,C627
1999_2005,C181
1999_2005,C657
1999_2005,C538
1999_2005,C168
1999_2005,C636
1999_2005,C555
1999_2005,C836
1999_2005,C724
1999_2005,C813
1999_2005,C380
1999_2005,C829
1999_2005,C414
1999_2005,C669
1999_2005,C763
1999_2005,C709
1999_2005,C965
2006_2012,C1609
2006_2012,C1671
2006_2012,C1659
2006_2012,C1099
2006_2012,C54
2006_2012,C180
2006_2012,C389
2006_2012,C1493
2006_2012,C413
2006_2012,C1790
2006_2012,C1494
2006_2012,C1246
2006_2012,C1597
2006_2012,C1121
2006_2012,C1337
2006_2012,C1421
2006_2012,C484
2006_2012,C565
2006_2012,C1300
2006_2012,C1512
2006_2012,C1340
2006_2012,C272
2006_2012,C1207
2006_2012,C793
2006_2012,C223
2006_2012,C815
2006_2012,C262
2006_2012,C1217
2006_2012,C638
2006_2012,C678
2006_2012,C1518
2006_2012,C13
2006_2012,C249
2006_2012,C236
2006_2012,C58
2006_2012,C1379
2006_2012,C445
2006_2012,C419
2006_2012,C117
2006_2012,C267
2006_2012,C1716
2006_2012,C64
2006_2012,C725
2006_2012,C189
2006_2012,C165
2006_2012,C256
2006_2012,C480
2006_2012,C358
2006_2012,C1108
2006_2012,C477
2006_2012,C1423
2006_2012,C1569
2006_2012,C911
2006_2012,C1576
2006_2012,C386
2006_2012,C1710
2006_2012,C726
2006_2012,C750
2006_2012,C770
2006_2012,C1389
2006_2012,C1708
2006_2012,C1315
2006_2012,C732
2006_2012,C861
2006_2012,C1198
2006_2012,C1455
2006_2012,C1437
2006_2012,C1431
2006_2012,C1295
2006_2012,C491
2006_2012,C1456
2006_2012,C38
2006_2012,C1118
2006_2012,C1615
2006_2012,C1048
2006_2012,C661
2006_2012,C1289
2006_2012,C347
2006_2012,C333
2006_2012,C795
2006_2012,C552
2006_2012,C526
2006_2012,C435
2006_2012,C322
2006_2012,C1342
2006_2012,C760
2006_2012,C1317
2006_2012,C519
2006_2012,C1662
2006_2012,C755
2006_2012,C1077
2006_2012,C720
2006_2012,C363
2006_2012,C728
2006_2012,C616
2006_2012,C912
2006_2012,C1424
2006_2012,C978
2006_2012,C456
2006_2012,C1422
2006_2012,C290
2006_2012,C675
2006_2012,C1613
2006_2012,C1365
2006_2012,C1195
2006_2012,C765
2006_2012,C1361
2006_2012,C570
2006_2012,C1722
2006_2012,C1698
2006_2012,C1820
2006_2012,C1442
2006_2012,C1157
2006_2012,C268
2006_2012,C1226
2006_2012,C1572
2006_2012,C1700
2006_2012,C1253
2006_2012,C1522
2006_2012,C372
2006_2012,C845
2006_2012,C717
2006_2012,C954
2006_2012,C1507
2006_2012,C1146
2006_2012,C932
2006_2012,C450
2006_2012,C1255
2006_2012,C383
2006_2012,C1550
2006_2012,C1206
2006_2012,C1287
2006_2012,C1568
2006_2012,C1846
2006_2012,C1547
2006_2012,C614
2006_2012,C1224
2006_2012,C292
2006_2012,C1199
2006_2012,C284
2006_2012,C1334
2006_2012,C1804
2006_2012,C326
2006_2012,C1527
2006_2012,C1290
2006_2012,C1467
2006_2012,C1445
2006_2012,C1283
2006_2012,C1483
2006_2012,C1495
2006_2012,C1213
2006_2012,C1502
2006_2012,C221
2006_2012,C1715
2006_2012,C1248
2006_2012,C1154
2006_2012,C1041
2006_2012,C868
2006_2012,C70
2006_2012,C307
2006_2012,C826
2006_2012,C303
2006_2012,C263
2006_2012,C1051
2006_2012,C198
2006_2012,C962
2006_2012,C1384
2006_2012,C1291
2006_2012,C1194
2006_2012,C1153
2006_2012,C418
2006_2012,C1322
2006_2012,C1363
2006_2012,C1471
2006_2012,C1299
2006_2012,C1701
2006_2012,C218
2006_2012,C1050
2006_2012,C1624
2006_2012,C921
2006_2012,C323
2006_2012,C581
2006_2012,C312
2006_2012,C502
2006_2012,C798
2006_2012,C48
2006_2012,C1200
2006_2012,C355
2006_2012,C1019
2006_2012,C88
2006_2012,C343
2006_2012,C84
2006_2012,C133
2006_2012,C1559
2006_2012,C585
2006_2012,C754
2006_2012,C943
2006_2012,C52
2006_2012,C680
2006_2012,C1082
2006_2012,C397
2006_2012,C774
2006_2012,C776
2006_2012,C1049
2006_2012,C305
2006_2012,C622
2006_2012,C81
2006_2012,C558
2006_2012,C653
2006_2012,C1795
2006_2012,C166
2006_2012,C1366
2006_2012,C494
2006_2012,C1357
2006_2012,C429
2006_2012,C543
2006_2012,C972
2006_2012,C662
2006_2012,C1148
2006_2012,C192
2006_2012,C862
2006_2012,C94
2006_2012,C108
2006_2012,C1606
2006_2012,C264
2006_2012,C86
2006_2012,C727
2006_2012,C43
2006_2012,C1362
2006_2012,C927
2006_2012,C981
2006_2012,C686
2006_2012,C304
2006_2012,C1280
2006_2012,C352
2006_2012,C254
2006_2012,C1645
2006_2012,C387
2006_2012,C642
2006_2012,C586
2006_2012,C1197
2006_2012,C989
2006_2012,C630
2006_2012,C1231
2006_2012,C515
2006_2012,C1068
2006_2012,C1172
2006_2012,C1333
2006_2012,C563
2006_2012,C1344
2006_2012,C1388
2006_2012,C1158
2006_2012,C1596
2006_2012,C1684
2006_2012,C1446
2006_2012,C1737
2006_2012,C1668
2006_2012,C1766
2006_2012,C1531
2006_2012,C1307
2006_2012,C1706
2006_2012,C603
2006_2012,C1378
2006_2012,C1163
2006_2012,C982
2006_2012,C916
2006_2012,C392
2006_2012,C1604
2006_2012,C969
2006_2012,C318
2006_2012,C1387
2006_2012,C1689
2006_2012,C550
2006_2012,C1487
2006_2012,C952
2006_2012,C1520
2006_2012,C1192
2006_2012,C1367
2006_2012,C1302
2006_2012,C1727
2006_2012,C369
2006_2012,C824
2006_2012,C1535
2006_2012,C1370
2006_2012,C1580
2006_2012,C1828
2006_2012,C1106
2006_2012,C1162
2006_2012,C1354
2006_2012,C498
2006_2012,C160
2006_2012,C1579
2006_2012,C1583
2006_2012,C1166
2006_2012,C145
2006_2012,C1100
2006_2012,C909
2006_2012,C1190
2006_2012,C1391
2006_2012,C1731
2006_2012,C122
2006_2012,C1179
2006_2012,C567
2006_2012,C56
2006_2012,C711
2006_2012,C890
2006_2012,C516
2006_2012,C82
2006_2012,C124
2006_2012,C16
2006_2012,C656
2006_2012,C1267
2006_2012,C814
2006_2012,C551
2006_2012,C617
2006_2012,C1638
2006_2012,C469
2006_2012,C1481
2006_2012,C481
2006_2012,C270
2006_2012,C167
2006_2012,C238
2006_2012,C850
2006_2012,C39
2006_2012,C676
2006_2012,C1381
2006_2012,C1491
2006_2012,C310
2006_2012,C1486
2006_2012,C644
2006_2012,C545
2006_2012,C1539
2006_2012,C1335
2006_2012,C742
2006_2012,C140
2006_2012,C366
2006_2012,C1309
2006_2012,C85
2006_2012,C1219
2006_2012,C503
2006_2012,C767
2006_2012,C125
2006_2012,C211
2006_2012,C1005
2006_2012,C79
2006_2012,C464
2006_2012,C146
2006_2012,C1396
2006_2012,C1463
2006_2012,C1709
2006_2012,C574
2006_2012,C1262
2006_2012,C1544
2006_2012,C1294
2006_2012,C535
2006_2012,C1436
2006_2012,C46
2006_2012,C1297
2006_2012,C212
2006_2012,C1620
2006_2012,C1667
2006_2012,C204
2006_2012,C980
2006_2012,C1238
2006_2012,C127
2006_2012,C465
2006_2012,C768
2006_2012,C696
2006_2012,C791
2006_2012,C1133
2006_2012,C1313
2006_2012,C1160
2006_2012,C842
2006_2012,C536
2006_2012,C328
2006_2012,C1264
2006_2012,C839
2006_2012,C1510
2006_2012,C764
2006_2012,C138
2006_2012,C1338
2006_2012,C1201
2006_2012,C235
2006_2012,C1393
2006_2012,C1654
2006_2012,C1091
2006_2012,C1822
2006_2012,C1551
2006_2012,C1628
2006_2012,C668
2006_2012,C1204
2006_2012,C1537
2006_2012,C1102
2006_2012,C1513
2006_2012,C1492
2006_2012,C896
2006_2012,C979
2006_2012,C1244
2006_2012,C1169
2006_2012,C1610
2006_2012,C659
2006_2012,C409
2006_2012,C1497
2006_2012,C384
2006_2012,C186
2006_2012,C1257
2006_2012,C1799
2006_2012,C1298
2006_2012,C1476
2006_2012,C1216
2006_2012,C300
2006_2012,C1452
2006_2012,C1651
2006_2012,C1132
2006_2012,C1277
2006_2012,C1649
2006_2012,C1017
2006_2012,C1533
2006_2012,C1318
2006_2012,C1129
2006_2012,C1582
2006_2012,C1785
2006_2012,C441
2006_2012,C1720
2006_2012,C32
2006_2012,C667
2006_2012,C467
2006_2012,C540
2006_2012,C1427
2006_2012,C1560
2006_2012,C12
2006_2012,C22
2006_2012,C1519
2006_2012,C640
2006_2012,C1266
2006_2012,C1402
2006_2012,C1549
2006_2012,C1009
2006_2012,C330
2006_2012,C1142
2006_2012,C1269
2006_2012,C443
2006_2012,C314
2006_2012,C134
2006_2012,C200
2006_2012,C557
2006_2012,C763
2006_2012,C141
2006_2012,C1482
2006_2012,C831
2006_2012,C1465
2006_2012,C957
2006_2012,C683
2006_2012,C1245
2006_2012,C1406
2006_2012,C406
2006_2012,C673
2006_2012,C150
2006_2012,C299
2006_2012,C19
2006_2012,C913
2006_2012,C345
2006_2012,C381
2006_2012,C538
2006_2012,C194
2006_2012,C407
2006_2012,C1311
2006_2012,C402
2006_2012,C454
2006_2012,C1285
2006_2012,C293
2006_2012,C379
2006_2012,C478
2006_2012,C220
2006_2012,C241
2006_2012,C109
2006_2012,C89
2006_2012,C1067
2006_2012,C1073
2006_2012,C1143
2006_2012,C752
2006_2012,C1557
2006_2012,C1131
2006_2012,C427
2006_2012,C1432
2006_2012,C1360
2006_2012,C1516
2006_2012,C1448
2006_2012,C621
2006_2012,C1586
2006_2012,C522
2006_2012,C1109
2006_2012,C1023
2006_2012,C229
2006_2012,C594
2006_2012,C458
2006_2012,C349
2006_2012,C120
2006_2012,C1145
2006_2012,C1281
2006_2012,C1119
2006_2012,C589
2006_2012,C1321
2006_2012,C1635
2006_2012,C975
2006_2012,C1127
2006_2012,C36
2006_2012,C1270
2006_2012,C794
2006_2012,C126
2006_2012,C382
2006_2012,C1738
2006_2012,C153
2006_2012,C811
2006_2012,C967
2006_2012,C697
2006_2012,C880
2006_2012,C1517
2006_2012,C1308
2006_2012,C364
2006_2012,C1439
2006_2012,C1395
2006_2012,C1630
2006_2012,C1394
2006_2012,C1252
2006_2012,C297
2006_2012,C1704
2006_2012,C1135
2006_2012,C1417
2006_2012,C533
2006_2012,C874
2006_2012,C191
2006_2012,C641
2006_2012,C184
2006_2012,C611
2006_2012,C1186
2006_2012,C1325
2006_2012,C1128
2006_2012,C1196
2006_2012,C514
2006_2012,C1000
2006_2012,C1552
2006_2012,C1140
2006_2012,C1484
2006_2012,C1611
2006_2012,C1607
2006_2012,C1639
2006_2012,C1413
2006_2012,C1747
2006_2012,C1236
2006_2012,C1488
2006_2012,C746
2006_2012,C1500
2006_2012,C1688
2006_2012,C1320
2006_2012,C1178
2006_2012,C1748
2006_2012,C1545
2006_2012,C804
2006_2012,C1496
2006_2012,C1851
2006_2012,C837
2006_2012,C541
2006_2012,C595
2006_2012,C390
2006_2012,C271
2006_2012,C1286
2006_2012,C819
2006_2012,C901
2006_2012,C1350
2006_2012,C771
2006_2012,C1038
2006_2012,C1022
2006_2012,C660
2006_2012,C1617
2006_2012,C1139
2006_2012,C1341
2006_2012,C996
2006_2012,C1323
2006_2012,C1059
2006_2012,C42
2006_2012,C1044
2006_2012,C1641
2006_2012,C132
2006_2012,C24
2006_2012,C154
2006_2012,C100
2006_2012,C311
2006_2012,C790
2006_2012,C1209
2006_2012,C255
2006_2012,C171
2006_2012,C3
2006_2012,C163
2006_2012,C1619
2006_2012,C20
2006_2012,C73
2006_2012,C157
2006_2012,C159
2006_2012,C556
2006_2012,C8
2006_2012,C852
2006_2012,C169
2006_2012,C265
2006_2012,C247
2006_2012,C422
2006_2012,C257
2006_2012,C80
2006_2012,C751
2006_2012,C1540
2006_2012,C1329
2006_2012,C162
2006_2012,C354
2006_2012,C723
2006_2012,C196
2006_2012,C730
2006_2012,C334
2006_2012,C669
2006_2012,C357
2006_2012,C914
2006_2012,C885
2006_2012,C1222
2006_2012,C190
2006_2012,C851
2006_2012,C460
2006_2012,C258
2006_2012,C1332
2006_2012,C388
2006_2012,C883
2006_2012,C758
2006_2012,C990
2006_2012,C1043
2006_2012,C706
2006_2012,C766
2006_2012,C1240
2006_2012,C288
2006_2012,C473
2006_2012,C227
2006_2012,C772
2006_2012,C810
2006_2012,C666
2006_2012,C1147
2006_2012,C1126
2006_2012,C1739
2006_2012,C1324
2006_2012,C1349
2006_2012,C718
2006_2012,C1666
2006_2012,C261
2006_2012,C1472
2006_2012,C1682
2006_2012,C1235
2006_2012,C1542
2006_2012,C1401
2006_2012,C1356
2006_2012,C453
2006_2012,C636
2006_2012,C802
2006_2012,C1336
2006_2012,C1725
2006_2012,C1275
2006_2012,C1652
2006_2012,C1020
2006_2012,C902
2006_2012,C1016
2006_2012,C1074
2006_2012,C1276
2006_2012,C945
2006_2012,C1122
2006_2012,C635
2006_2012,C1272
2006_2012,C1296
2006_2012,C1409
2006_2012,C1380
2006_2012,C1590
2006_2012,C1184
2006_2012,C1855
2006_2012,C1543
2006_2012,C1130
2006_2012,C631
2006_2012,C1288
2006_2012,C685
2006_2012,C1595
2006_2012,C151
2006_2012,C1567
2006_2012,C1696
2006_2012,C1279
2006_2012,C836
2006_2012,C47
2006_2012,C1113
2006_2012,C95
2006_2012,C1534
2006_2012,C1616
2006_2012,C1530
2006_2012,C188
2006_2012,C1676
2006_2012,C1066
2006_2012,C49
2006_2012,C562
2006_2012,C344
2006_2012,C643
2006_2012,C1180
2006_2012,C7
2006_2012,C40
2006_2012,C970
2006_2012,C474
2006_2012,C1193
2006_2012,C598
2006_2012,C893
2006_2012,C434
2006_2012,C773
2006_2012,C78
2006_2012,C93
2006_2012,C115
2006_2012,C564
2006_2012,C1770
2006_2012,C45
2006_2012,C340
2006_2012,C1633
2006_2012,C937
2006_2012,C112
2006_2012,C370
2006_2012,C360
2006_2012,C493
2006_2012,C367
2006_2012,C700
2006_2012,C652
2006_2012,C1524
2006_2012,C974
2006_2012,C634
2006_2012,C1686
2006_2012,C69
2006_2012,C57
2006_2012,C205
2006_2012,C158
2006_2012,C1355
2006_2012,C708
2006_2012,C1464
2006_2012,C309
2006_2012,C838
2006_2012,C183
2006_2012,C828
2006_2012,C1364
2006_2012,C1326
2006_2012,C203
2006_2012,C865
2006_2012,C1462
2006_2012,C1755
2006_2012,C1188
2006_2012,C1564
2006_2012,C23
2006_2012,C872
2006_2012,C98
2006_2012,C785
2006_2012,C416
2006_2012,C179
2006_2012,C1414
2006_2012,C1605
2006_2012,C135
2006_2012,C1134
2006_2012,C222
2006_2012,C895
2006_2012,C1064
2006_2012,C992
2006_2012,C174
2006_2012,C496
2006_2012,C1078
2006_2012,C716
2006_2012,C1648
2006_2012,C687
2006_2012,C447
2006_2012,C1061
2006_2012,C1303
2006_2012,C1573
2006_2012,C1053
2006_2012,C761
2006_2012,C577
2006_2012,C781
2006_2012,C410
2006_2012,C1230
2006_2012,C789
2006_2012,C1661
2006_2012,C245
2006_2012,C1247
2006_2012,C1521
2006_2012,C520
2006_2012,C1418
2006_2012,C1601
2006_2012,C1441
2006_2012,C860
2006_2012,C847
2006_2012,C1173
2006_2012,C822
2006_2012,C1375
2006_2012,C1030
2006_2012,C1636
2006_2012,C1227
2006_2012,C1420
2006_2012,C1692
2006_2012,C702
2006_2012,C1233
2006_2012,C1675
2006_2012,C1013
2006_2012,C1156
2006_2012,C1440
2006_2012,C1250
2006_2012,C177
2006_2012,C1374
2006_2012,C1167
2006_2012,C1007
2006_2012,C1215
2006_2012,C455
2006_2012,C928
2006_2012,C1123
2006_2012,C1218
2006_2012,C1468
2006_2012,C1083
2006_2012,C1558
2006_2012,C884
2006_2012,C412
2006_2012,C143
2006_2012,C9
2006_2012,C856
2006_2012,C291
2006_2012,C351
2006_2012,C487
2006_2012,C178
2006_2012,C858
2006_2012,C87
2006_2012,C37
2006_2012,C97
2006_2012,C199
2006_2012,C414
2006_2012,C1310
2006_2012,C324
2006_2012,C757
2006_2012,C130
2006_2012,C156
2006_2012,C273
2006_2012,C792
2006_2012,C1155
2006_2012,C1383
2006_2012,C817
2006_2012,C713
2006_2012,C495
2006_2012,C393
2006_2012,C626
2006_2012,C933
2006_2012,C843
2006_2012,C66
2006_2012,C1025
2006_2012,C278
2006_2012,C820
2006_2012,C571
2006_2012,C346
2006_2012,C958
2006_2012,C116
2006_2012,C738
2006_2012,C1115
2006_2012,C18
2006_2012,C41
2006_2012,C600
2006_2012,C1589
2006_2012,C1116
2006_2012,C225
2006_2012,C1369
2006_2012,C555
2006_2012,C734
2006_2012,C894
2006_2012,C513
2006_2012,C988
2006_2012,C394
2006_2012,C1331
2006_2012,C930
2006_2012,C1466
2006_2012,C391
2006_2012,C1205
2006_2012,C325
2006_2012,C1088
2006_2012,C274
2006_2012,C704
2006_2012,C753
2006_2012,C1347
2006_2012,C629
2006_2012,C905
2006_2012,C873
2006_2012,C476
2006_2012,C739
2006_2012,C1232
2006_2012,C1598
2006_2012,C1234
2006_2012,C532
2006_2012,C1529
2006_2012,C337
2006_2012,C1170
2006_2012,C1373
2006_2012,C451
2006_2012,C596
2006_2012,C848
2006_2012,C373
2006_2012,C1164
2006_2012,C1563
2006_2012,C1260
2006_2012,C1674
2006_2012,C796
2006_2012,C1508
2006_2012,C1141
2006_2012,C1506
2006_2012,C1473
2006_2012,C1622
2006_2012,C1161
2006_2012,C1584
2006_2012,C529
2006_2012,C280
2006_2012,C230
2006_2012,C466
2006_2012,C433
2006_2012,C1430
2006_2012,C243
2006_2012,C1474
2006_2012,C1538
2006_2012,C946
2006_2012,C857
2006_2012,C612
2006_2012,C572
2006_2012,C812
2006_2012,C712
2006_2012,C266
2006_2012,C1212
2006_2012,C991
2006_2012,C593
2006_2012,C1479
2006_2012,C253
2006_2012,C615
2006_2012,C1312
2006_2012,C175
2006_2012,C338
2006_2012,C76
2006_2012,C14
2006_2012,C17
2006_2012,C583
2006_2012,C101
2006_2012,C633
2006_2012,C362
2006_2012,C276
2006_2012,C709
2006_2012,C331
2006_2012,C1653
2006_2012,C68
2006_2012,C152
2006_2012,C693
2006_2012,C408
2006_2012,C1165
2006_2012,C524
2006_2012,C233
2006_2012,C193
2006_2012,C1371
2006_2012,C859
2006_2012,C929
2006_2012,C1110
2006_2012,C787
2006_2012,C51
2006_2012,C1150
2006_2012,C110
2006_2012,C294
2006_2012,C214
2006_2012,C289
2006_2012,C701
2006_2012,C446
2006_2012,C871
2006_2012,C747
2006_2012,C505
2006_2012,C501
2006_2012,C1566
2006_2012,C1282
2006_2012,C808
2006_2012,C1175
2006_2012,C756
2006_2012,C1258
2006_2012,C947
2006_2012,C341
2006_2012,C350
2006_2012,C483
2006_2012,C672
2006_2012,C1015
2006_2012,C1403
2006_2012,C1144
2006_2012,C1570
2006_2012,C1202
2006_2012,C1182
2006_2012,C1419
2006_2012,C1071
2006_2012,C1428
2006_2012,C1447
2006_2012,C876
2006_2012,C898
2006_2012,C778
2006_2012,C1306
2006_2012,C966
2006_2012,C1239
2006_2012,C549
2006_2012,C1251
2006_2012,C1351
2006_2012,C1612
2006_2012,C1805
2006_2012,C649
2006_2012,C688
2006_2012,C1191
2006_2012,C148
2006_2012,C818
2006_2012,C4
2006_2012,C1743
2006_2012,C1008
2006_2012,C2
2006_2012,C566
2006_2012,C786
2006_2012,C11
2006_2012,C1460
2006_2012,C1314
2006_2012,C719
2006_2012,C119
2006_2012,C1377
2006_2012,C147
2006_2012,C420
2006_2012,C121
2006_2012,C1228
2006_2012,C1339
2006_2012,C426
2006_2012,C317
2006_2012,C248
2006_2012,C208
2006_2012,C283
2006_2012,C1028
2006_2012,C234
2006_2012,C131
2006_2012,C472
2006_2012,C63
2006_2012,C316
2006_2012,C554
2006_2012,C216
2006_2012,C731
2006_2012,C103
2006_2012,C444
2006_2012,C1203
2006_2012,C1348
2006_2012,C182
2006_2012,C1072
2006_2012,C961
2006_2012,C573
2006_2012,C1229
2006_2012,C690
2006_2012,C1451
2006_2012,C411
2006_2012,C1089
2006_2012,C679
2006_2012,C1012
2006_2012,C511
2006_2012,C1242
2006_2012,C692
2006_2012,C1528
2006_2012,C1650
2006_2012,C468
2006_2012,C380
2006_2012,C769
2006_2012,C698
2006_2012,C510
2006_2012,C260
2006_2012,C1284
2006_2012,C489
2006_2012,C987
2006_2012,C956
2006_2012,C1187
2006_2012,C1098
2006_2012,C724
2006_2012,C1670
2006_2012,C926
2006_2012,C488
2006_2012,C34
2006_2012,C542
2006_2012,C655
2006_2012,C910
2006_2012,C605
2006_2012,C1390
2006_2012,C835
2006_2012,C1063
2006_2012,C1034
2006_2012,C1501
2006_2012,C1183
2006_2012,C1435
2006_2012,C1014
2006_2012,C597
2006_2012,C1037
2006_2012,C654
2006_2012,C1319
2006_2012,C1525
2006_2012,C1278
2006_2012,C295
2006_2012,C400
2006_2012,C1316
2006_2012,C948
2006_2012,C1092
2006_2012,C863
2006_2012,C833
2006_2012,C886
2006_2012,C1575
2006_2012,C681
2006_2012,C77
2006_2012,C1052
2006_2012,C618
2006_2012,C209
2006_2012,C31
2006_2012,C853
2006_2012,C65
2006_2012,C1152
2006_2012,C181
2006_2012,C136
2006_2012,C279
2006_2012,C797
2006_2012,C807
2006_2012,C339
2006_2012,C33
2006_2012,C197
2006_2012,C60
2006_2012,C604
2006_2012,C899
2006_2012,C559
2006_2012,C1114
2006_2012,C1274
2006_2012,C1556
2006_2012,C128
2006_2012,C803
2006_2012,C226
2006_2012,C440
2006_2012,C784
2006_2012,C1062
2006_2012,C889
2006_2012,C296
2006_2012,C1532
2006_2012,C1273
2006_2012,C809
2006_2012,C735
2006_2012,C882
2006_2012,C575
2006_2012,C1358
2006_2012,C1055
2006_2012,C242
2006_2012,C424
2006_2012,C775
2006_2012,C832
2006_2012,C984
2006_2012,C647
2006_2012,C546
2006_2012,C507
2006_2012,C457
2006_2012,C587
2006_2012,C877
2006_2012,C639
2006_2012,C1080
2006_2012,C579
2006_2012,C1555
2006_2012,C461
2006_2012,C335
2006_2012,C1176
2006_2012,C1026
2006_2012,C1608
2006_2012,C1069
2006_2012,C934
2006_2012,C782
2006_2012,C1006
2006_2012,C1111
2006_2012,C1345
2006_2012,C788
2006_2012,C1453
2006_2012,C1504
2006_2012,C637
2006_2012,C920
2006_2012,C442
2006_2012,C377
2006_2012,C1644
2006_2012,C1124
2006_2012,C783
2006_2012,C1032
2006_2012,C971
2006_2012,C907
2006_2012,C396
2006_2012,C470
2006_2012,C799
2006_2012,C1210
2006_2012,C1120
2006_2012,C523
2006_2012,C870
2006_2012,C691
2006_2012,C371
2006_2012,C187
2006_2012,C576
2006_2012,C1149
2006_2012,C866
2006_2012,C269
2006_2012,C976
2006_2012,C114
2006_2012,C215
2006_2012,C67
2006_2012,C224
2006_2012,C144
2006_2012,C104
2006_2012,C308
2006_2012,C816
2006_2012,C665
2006_2012,C591
2006_2012,C428
2006_2012,C431
2006_2012,C319
2006_2012,C624
2006_2012,C1254
2006_2012,C1075
2006_2012,C959
2006_2012,C1021
2006_2012,C206
2006_2012,C1220
2006_2012,C736
2006_2012,C705
2006_2012,C627
2006_2012,C944
2006_2012,C365
2006_2012,C964
2006_2012,C332
2006_2012,C479
2006_2012,C286
2006_2012,C762
2006_2012,C670
2006_2012,C356
2006_2012,C942
2006_2012,C998
2006_2012,C695
2006_2012,C749
2006_2012,C361
2006_2012,C999
2006_2012,C1004
2006_2012,C259
2006_2012,C779
2006_2012,C1081
2006_2012,C963
2006_2012,C1249
2006_2012,C610
2006_2012,C1003
2006_2012,C904
2006_2012,C1159
2006_2012,C1042
2006_2012,C113
2006_2012,C1304
2006_2012,C1385
2006_2012,C628
2006_2012,C1292
2006_2012,C985
2006_2012,C404
2006_2012,C940
2006_2012,C417
2006_2012,C1151
2006_2012,C646
2006_2012,C931
2006_2012,C83
2006_2012,C619
2006_2012,C1577
2006_2012,C906
2006_2012,C1499
2006_2012,C584
2006_2012,C601
2006_2012,C951
2006_2012,C560
2006_2012,C423
2006_2012,C75
2006_2012,C497
2006_2012,C336
2006_2012,C359
2006_2012,C29
2006_2012,C1112
2006_2012,C102
2006_2012,C485
2006_2012,C521
2006_2012,C986
2006_2012,C425
2006_2012,C827
2006_2012,C923
2006_2012,C950
2006_2012,C1027
2006_2012,C953
2006_2012,C231
2006_2012,C677
2006_2012,C1094
2006_2012,C118
2006_2012,C72
2006_2012,C459
2006_2012,C645
2006_2012,C840
2006_2012,C1505
2006_2012,C878
2006_2012,C780
2006_2012,C439
2006_2012,C504
2006_2012,C925
2006_2012,C462
2006_2012,C908
2006_2012,C213
2006_2012,C897
2006_2012,C246
2006_2012,C1086
2006_2012,C490
2006_2012,C168
2006_2012,C806
2006_2012,C492
2006_2012,C149
2006_2012,C534
2006_2012,C699
2006_2012,C919
2006_2012,C185
2006_2012,C938
2006_2012,C855
2006_2012,C1490
2006_2012,C1469
2006_2012,C1018
2006_2012,C625
2006_2012,C1256
2006_2012,C1353
2006_2012,C1687
2006_2012,C939
2006_2012,C1168
2006_2012,C1171
2006_2012,C1259
2006_2012,C1343
2006_2012,C1221
2006_2012,C813
2006_2012,C44
2006_2012,C129
2006_2012,C1177
2006_2012,C965
2006_2012,C1105
2006_2012,C671
2006_2012,C486
2006_2012,C59
2006_2012,C50
2006_2012,C1293
2006_2012,C743
2006_2012,C398
2006_2012,C1103
2006_2012,C606
2006_2012,C613
2006_2012,C823
2006_2012,C1241
2006_2012,C846
2006_2012,C99
2006_2012,C353
2006_2012,C1024
2006_2012,C651
2006_2012,C684
2006_2012,C401
2006_2012,C721
2006_2012,C1093
2006_2012,C1368
2006_2012,C237
2006_2012,C715
2006_2012,C320
2006_2012,C155
2006_2012,C430
2006_2012,C399
2006_2012,C915
2006_2012,C1211
2006_2012,C448
2006_2012,C891
2006_2012,C568
2006_2012,C277
2006_2012,C275
2006_2012,C368
2006_2012,C648
2006_2012,C1039
2006_2012,C607
2006_2012,C602
2006_2012,C342
2006_2012,C844
2006_2012,C1085
2006_2012,C960
2006_2012,C968
2006_2012,C1763
2006_2012,C1243
2006_2012,C888
2006_2012,C994
2006_2012,C841
2006_2012,C1125
2006_2012,C437
2006_2012,C285
2006_2012,C21
2006_2012,C374
2006_2012,C173
2006_2012,C955
2006_2012,C1526
2006_2012,C1137
2006_2012,C415
2006_2012,C854
2006_2012,C321
2006_2012,C500
2006_2012,C161
2006_2012,C1397
2006_2012,C62
2006_2012,C436
2006_2012,C632
2006_2012,C403
2006_2012,C378
2006_2012,C875
2006_2012,C61
2006_2012,C375
2006_2012,C232
2006_2012,C195
2006_2012,C30
2006_2012,C298
2006_2012,C315
2006_2012,C1181
2006_2012,C142
2006_2012,C1035
2006_2012,C302
2006_2012,C821
