period,cluster
1999_2005,C533
1999_2005,C759
1999_2005,C1657
1999_2005,C1087
1999_2005,C1128
1999_2005,C1599
1999_2005,C1556
1999_2005,C1585
1999_2005,C214
1999_2005,C1752
1999_2005,C1707
1999_2005,C1115
1999_2005,C1274
1999_2005,C344
1999_2005,C1124
1999_2005,C263
1999_2005,C1675
1999_2005,C1270
1999_2005,C1642
1999_2005,C1758
1999_2005,C1410
1999_2005,C1446
1999_2005,C1196
1999_2005,C431
1999_2005,C1516
1999_2005,C814
1999_2005,C276
1999_2005,C1255
1999_2005,C625
1999_2005,C188
1999_2005,C1539
1999_2005,C32
1999_2005,C602
1999_2005,C1041
1999_2005,C139
1999_2005,C933
1999_2005,C574
1999_2005,C559
1999_2005,C193
1999_2005,C294
1999_2005,C1167
1999_2005,C313
1999_2005,C403
1999_2005,C617
1999_2005,C106
1999_2005,C1122
1999_2005,C227
1999_2005,C1009
1999_2005,C869
1999_2005,C1152
1999_2005,C1108
1999_2005,C303
1999_2005,C528
1999_2005,C606
1999_2005,C502
1999_2005,C1111
1999_2005,C346
1999_2005,C837
1999_2005,C1335
1999_2005,C1178
1999_2005,C927
1999_2005,C1237
1999_2005,C1007
1999_2005,C1091
1999_2005,C698
1999_2005,C283
1999_2005,C1197
1999_2005,C695
1999_2005,C309
1999_2005,C628
1999_2005,C118
1999_2005,C1595
1999_2005,C1211
1999_2005,C519
1999_2005,C424
1999_2005,C521
1999_2005,C594
1999_2005,C362
1999_2005,C720
1999_2005,C74
1999_2005,C1262
1999_2005,C1257
1999_2005,C701
1999_2005,C454
1999_2005,C1052
1999_2005,C123
1999_2005,C694
1999_2005,C600
1999_2005,C925
1999_2005,C679
1999_2005,C1493
1999_2005,C321
1999_2005,C920
1999_2005,C409
1999_2005,C1213
1999_2005,C1168
1999_2005,C1457
1999_2005,C1749
1999_2005,C288
1999_2005,C468
1999_2005,C753
1999_2005,C714
1999_2005,C702
1999_2005,C1415
1999_2005,C661
1999_2005,C1307
1999_2005,C707
1999_2005,C1518
1999_2005,C853
1999_2005,C1422
1999_2005,C1288
1999_2005,C953
1999_2005,C334
1999_2005,C1066
1999_2005,C1684
1999_2005,C1326
1999_2005,C1114
