garbage_bin,stratum,stage,total_candidates,kept_n,dropped_n,dropped_classes,kept_classes,support_json,note
g1,Q1|F,after_minpc,19,17,2,a3|a4,a1|a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":31,""a2"":174,""a3"":0,""a4"":8,""a5"":109,""b11"":71,""b12"":12,""b13"":75,""b14"":76,""b15"":181,""b16"":159,""b2"":181,""b31"":84,""b32"":68,""b33"":151,""b4"":126,""b5"":150,""b6"":146,""b7"":730}",AGE_Q×SEX
g1,Q1|F,after_support,19,16,3,a3|a4|b12,a1|a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":31,""a2"":174,""a3"":0,""a4"":8,""a5"":109,""b11"":71,""b12"":12,""b13"":75,""b14"":76,""b15"":181,""b16"":159,""b2"":181,""b31"":84,""b32"":68,""b33"":151,""b4"":126,""b5"":150,""b6"":146,""b7"":730}",AGE_Q×SEX
g1,Q1|M,after_minpc,19,16,3,a3|a4|b13,a1|a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":70,""a2"":230,""a3"":0,""a4"":9,""a5"":152,""b11"":120,""b12"":21,""b13"":1,""b14"":133,""b15"":289,""b16"":129,""b2"":175,""b31"":125,""b32"":78,""b33"":169,""b4"":147,""b5"":295,""b6"":185,""b7"":731}",AGE_Q×SEX
g1,Q1|M,after_support,19,16,3,a3|a4|b13,a1|a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":70,""a2"":230,""a3"":0,""a4"":9,""a5"":152,""b11"":120,""b12"":21,""b13"":1,""b14"":133,""b15"":289,""b16"":129,""b2"":175,""b31"":125,""b32"":78,""b33"":169,""b4"":147,""b5"":295,""b6"":185,""b7"":731}",AGE_Q×SEX
g1,Q2|F,after_minpc,19,16,3,a1|a3|a4,a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":3,""a2"":210,""a3"":0,""a4"":0,""a5"":102,""b11"":94,""b12"":11,""b13"":41,""b14"":104,""b15"":134,""b16"":109,""b2"":211,""b31"":179,""b32"":96,""b33"":158,""b4"":196,""b5"":53,""b6"":162,""b7"":778}",AGE_Q×SEX
g1,Q2|F,after_support,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":3,""a2"":210,""a3"":0,""a4"":0,""a5"":102,""b11"":94,""b12"":11,""b13"":41,""b14"":104,""b15"":134,""b16"":109,""b2"":211,""b31"":179,""b32"":96,""b33"":158,""b4"":196,""b5"":53,""b6"":162,""b7"":778}",AGE_Q×SEX
g1,Q2|M,after_minpc,19,15,4,a1|a3|a4|b13,a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":5,""a2"":252,""a3"":0,""a4"":0,""a5"":78,""b11"":117,""b12"":15,""b13"":1,""b14"":157,""b15"":215,""b16"":157,""b2"":183,""b31"":230,""b32"":113,""b33"":182,""b4"":246,""b5"":54,""b6"":157,""b7"":611}",AGE_Q×SEX
g1,Q2|M,after_support,19,14,5,a1|a3|a4|b12|b13,a2|a5|b11|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":5,""a2"":252,""a3"":0,""a4"":0,""a5"":78,""b11"":117,""b12"":15,""b13"":1,""b14"":157,""b15"":215,""b16"":157,""b2"":183,""b31"":230,""b32"":113,""b33"":182,""b4"":246,""b5"":54,""b6"":157,""b7"":611}",AGE_Q×SEX
g1,Q3|F,after_minpc,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":2,""a2"":268,""a3"":0,""a4"":0,""a5"":99,""b11"":31,""b12"":5,""b13"":33,""b14"":82,""b15"":100,""b16"":78,""b2"":162,""b31"":229,""b32"":148,""b33"":174,""b4"":187,""b5"":24,""b6"":142,""b7"":923}",AGE_Q×SEX
g1,Q3|F,after_support,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":2,""a2"":268,""a3"":0,""a4"":0,""a5"":99,""b11"":31,""b12"":5,""b13"":33,""b14"":82,""b15"":100,""b16"":78,""b2"":162,""b31"":229,""b32"":148,""b33"":174,""b4"":187,""b5"":24,""b6"":142,""b7"":923}",AGE_Q×SEX
