period,spearman_rho,spearman_p,lm_slope,lm_p,r2
1999_2004,0.05299728570408809,0.01029548630996152,2.3843209096810642e-8,0.16960899188284417,8.056551209889409e-4
2005_2010,0.10579003059962341,2.9282768390782246e-7,2.5590029231198833e-8,0.10090677491794141,0.0011511250302064819
2011_2017,0.13439879060527035,2.0112332154146136e-11,2.9709271880545904e-8,0.010101633343835365,0.0026791070059918633
2018_2022,0.10239258285940253,6.961518823241471e-7,2.8346240407663876e-8,0.05168846340431488,0.001618984845612403
