garbage_bin,stratum,stage,total_candidates,kept_n,dropped_n,dropped_classes,kept_classes,support_json,note
g1,Q1|F,after_minpc,19,18,1,a4,a1|a2|a3|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":45,""a2"":309,""a3"":20,""a4"":5,""a5"":147,""b11"":125,""b12"":36,""b13"":188,""b14"":197,""b15"":146,""b16"":223,""b2"":162,""b31"":65,""b32"":84,""b33"":220,""b4"":229,""b5"":356,""b6"":190,""b7"":1154}",AGE_Q×SEX
g1,Q1|F,after_support,19,18,1,a4,a1|a2|a3|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":45,""a2"":309,""a3"":20,""a4"":5,""a5"":147,""b11"":125,""b12"":36,""b13"":188,""b14"":197,""b15"":146,""b16"":223,""b2"":162,""b31"":65,""b32"":84,""b33"":220,""b4"":229,""b5"":356,""b6"":190,""b7"":1154}",AGE_Q×SEX
g1,Q1|M,after_minpc,19,16,3,a3|a4|b13,a1|a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":128,""a2"":377,""a3"":0,""a4"":5,""a5"":170,""b11"":158,""b12"":65,""b13"":1,""b14"":294,""b15"":221,""b16"":223,""b2"":243,""b31"":105,""b32"":133,""b33"":295,""b4"":297,""b5"":559,""b6"":208,""b7"":1182}",AGE_Q×SEX
g1,Q1|M,after_support,19,16,3,a3|a4|b13,a1|a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":128,""a2"":377,""a3"":0,""a4"":5,""a5"":170,""b11"":158,""b12"":65,""b13"":1,""b14"":294,""b15"":221,""b16"":223,""b2"":243,""b31"":105,""b32"":133,""b33"":295,""b4"":297,""b5"":559,""b6"":208,""b7"":1182}",AGE_Q×SEX
g1,Q2|F,after_minpc,19,16,3,a1|a3|a4,a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":9,""a2"":318,""a3"":0,""a4"":0,""a5"":208,""b11"":155,""b12"":37,""b13"":85,""b14"":170,""b15"":163,""b16"":212,""b2"":139,""b31"":112,""b32"":128,""b33"":229,""b4"":323,""b5"":145,""b6"":165,""b7"":1221}",AGE_Q×SEX
g1,Q2|F,after_support,19,16,3,a1|a3|a4,a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":9,""a2"":318,""a3"":0,""a4"":0,""a5"":208,""b11"":155,""b12"":37,""b13"":85,""b14"":170,""b15"":163,""b16"":212,""b2"":139,""b31"":112,""b32"":128,""b33"":229,""b4"":323,""b5"":145,""b6"":165,""b7"":1221}",AGE_Q×SEX
g1,Q2|M,after_minpc,19,16,3,a3|a4|b13,a1|a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":31,""a2"":403,""a3"":0,""a4"":0,""a5"":195,""b11"":233,""b12"":78,""b13"":0,""b14"":255,""b15"":239,""b16"":292,""b2"":197,""b31"":170,""b32"":181,""b33"":248,""b4"":389,""b5"":190,""b6"":224,""b7"":1127}",AGE_Q×SEX
g1,Q2|M,after_support,19,16,3,a3|a4|b13,a1|a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":31,""a2"":403,""a3"":0,""a4"":0,""a5"":195,""b11"":233,""b12"":78,""b13"":0,""b14"":255,""b15"":239,""b16"":292,""b2"":197,""b31"":170,""b32"":181,""b33"":248,""b4"":389,""b5"":190,""b6"":224,""b7"":1127}",AGE_Q×SEX
g1,Q3|F,after_minpc,19,16,3,a1|a3|a4,a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":6,""a2"":326,""a3"":0,""a4"":0,""a5"":181,""b11"":92,""b12"":14,""b13"":57,""b14"":130,""b15"":120,""b16"":137,""b2"":118,""b31"":122,""b32"":132,""b33"":214,""b4"":286,""b5"":56,""b6"":172,""b7"":1252}",AGE_Q×SEX
g1,Q3|F,after_support,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":6,""a2"":326,""a3"":0,""a4"":0,""a5"":181,""b11"":92,""b12"":14,""b13"":57,""b14"":130,""b15"":120,""b16"":137,""b2"":118,""b31"":122,""b32"":132,""b33"":214,""b4"":286,""b5"":56,""b6"":172,""b7"":1252}",AGE_Q×SEX
