period,cluster,fips,cluster_deaths
1999_2005,06CS014,06037,58876
1999_2005,06CS040,06097,3749
1999_2005,06CS031,06075,6106
1999_2005,04CS009,04019,7417
1999_2005,17CS044,19033,529
1999_2005,33CS006,33015,1833
1999_2005,36CS001,36039,521
1999_2005,26CS028,26005,813
1999_2005,29CS038,29167,297
1999_2005,48CS069,48455,188
1999_2005,25CS008,25017,11083
1999_2005,28CS003,01015,1257
1999_2005,49CS007,49039,187
1999_2005,37CS043,45085,926
1999_2005,42CS040,42095,2487
1999_2005,16CS001,16055,885
1999_2005,39CS048,39113,5445
1999_2005,48CS036,48141,4069
1999_2005,26CS028,26073,405
1999_2005,39CS028,21207,189
1999_2005,39CS028,39165,1107
1999_2005,32CS001,41023,90
1999_2005,26CS028,26161,1836
1999_2005,42CS047,42125,2413
1999_2005,12CS014,12113,928
1999_2005,39CS028,18095,1428
1999_2005,28CS003,01055,1295
1999_2005,51CS019,51161,840
1999_2005,37CS059,37105,480
1999_2005,37CS043,45055,509
1999_2005,08CS001,40051,484
1999_2005,19CS017,46109,120
1999_2005,29CS040,29510,3929
1999_2005,27CS017,27037,1728
1999_2005,13CS041,01081,792
1999_2005,12CS039,12101,5310
1999_2005,20CS018,20189,46
1999_2005,22CS002,22003,233
1999_2005,18CS009,17033,211
1999_2005,42CS024,39045,999
1999_2005,37CS026,37067,2624
1999_2005,47CS040,05093,586
1999_2005,13CS044,13181,90
1999_2005,32CS001,41049,88
1999_2005,42CS024,54055,847
1999_2005,47CS040,47023,137
1999_2005,29CS038,29073,189
1999_2005,13CS055,13145,197
1999_2005,42CS024,54081,898
1999_2005,06CS008,06039,961
1999_2005,42CS009,34037,1018
1999_2005,18CS039,18063,668
1999_2005,51CS049,51740,1014
1999_2005,37CS008,37199,194
1999_2005,22CS009,22053,326
1999_2005,31CS016,31137,130
1999_2005,18CS045,26149,557
1999_2005,51CS019,51067,423
1999_2005,13CS041,01113,563
1999_2005,16CS001,30031,342
1999_2005,40CS027,29013,202
1999_2005,47CS016,21141,276
1999_2005,48CS011,48463,202
1999_2005,21CS021,47133,224
1999_2005,42CS024,54001,187
1999_2005,18CS002,18053,756
1999_2005,26CS004,26001,168
1999_2005,41CS016,53039,177
1999_2005,29CS038,29091,486
1999_2005,48CS036,48329,907
1999_2005,45CS008,13251,169
1999_2005,08CS001,16005,596
1999_2005,05CS010,05003,262
1999_2005,19CS017,27073,120
1999_2005,48CS053,48253,199
1999_2005,39CS028,39145,991
1999_2005,39CS028,18019,957
1999_2005,29CS038,29031,677
1999_2005,08CS001,48067,385
1999_2005,13CS041,01017,463
1999_2005,37CS043,37189,268
1999_2005,51CS015,54057,319
1999_2005,08CS001,31157,456
1999_2005,22CS012,22099,384
1999_2005,17CS044,17073,579
1999_2005,16CS001,16085,48
1999_2005,21CS029,18037,383
1999_2005,27CS017,27157,160
1999_2005,13CS020,13051,2177
1999_2005,12CS016,12013,135
1999_2005,21CS029,21093,683
1999_2005,29CS038,17173,250
1999_2005,20CS022,20123,82
1999_2005,16CS001,30049,463
1999_2005,45CS004,13147,293
1999_2005,37CS043,51071,202
1999_2005,08CS001,08027,24
1999_2005,19CS017,19083,242
1999_2005,26CS004,26031,277
1999_2005,47CS040,47077,300
1999_2005,23CS003,23007,253
1999_2005,05CS026,05113,245
1999_2005,42CS039,42087,486
1999_2005,47CS040,05031,836
1999_2005,32CS001,41001,206
1999_2005,19CS017,46039,43
1999_2005,51CS015,54061,603
1999_2005,22CS012,22107,61
1999_2005,22CS012,22059,154
1999_2005,37CS043,45069,316
1999_2005,28CS003,01047,514
1999_2005,39CS041,39063,623
1999_2005,47CS040,28117,263
1999_2005,17CS042,17203,327
1999_2005,01CS023,01009,492
1999_2005,51CS015,51025,208
1999_2005,19CS030,19169,429
1999_2005,27CS017,27079,194
1999_2005,28CS003,05117,125
1999_2005,55CS012,55029,301
1999_2005,40CS027,29097,1002
1999_2005,39CS028,39027,375
1999_2005,19CS017,46023,114
1999_2005,20CS018,20051,234
1999_2005,47CS038,47117,255
1999_2005,39CS028,39079,347
1999_2005,28CS003,01023,166
1999_2005,29CS038,29169,266
1999_2005,08CS001,20079,339
1999_2005,48CS011,48249,301
1999_2005,48CS029,48405,113
