garbage_bin,stratum,stage,total_candidates,kept_n,dropped_n,dropped_classes,kept_classes,support_json,note
g1,Q1|F,after_minpc,19,16,3,a1|a3|a4,a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":9,""a2"":275,""a3"":0,""a4"":1,""a5"":145,""b11"":80,""b12"":26,""b13"":109,""b14"":120,""b15"":175,""b16"":156,""b2"":134,""b31"":56,""b32"":65,""b33"":149,""b4"":170,""b5"":307,""b6"":123,""b7"":825}",AGE_Q×SEX
g1,Q1|F,after_support,19,16,3,a1|a3|a4,a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":9,""a2"":275,""a3"":0,""a4"":1,""a5"":145,""b11"":80,""b12"":26,""b13"":109,""b14"":120,""b15"":175,""b16"":156,""b2"":134,""b31"":56,""b32"":65,""b33"":149,""b4"":170,""b5"":307,""b6"":123,""b7"":825}",AGE_Q×SEX
g1,Q1|M,after_minpc,19,16,3,a3|a4|b13,a1|a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":30,""a2"":364,""a3"":0,""a4"":4,""a5"":134,""b11"":116,""b12"":51,""b13"":0,""b14"":185,""b15"":239,""b16"":167,""b2"":161,""b31"":105,""b32"":74,""b33"":240,""b4"":226,""b5"":487,""b6"":159,""b7"":824}",AGE_Q×SEX
g1,Q1|M,after_support,19,16,3,a3|a4|b13,a1|a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":30,""a2"":364,""a3"":0,""a4"":4,""a5"":134,""b11"":116,""b12"":51,""b13"":0,""b14"":185,""b15"":239,""b16"":167,""b2"":161,""b31"":105,""b32"":74,""b33"":240,""b4"":226,""b5"":487,""b6"":159,""b7"":824}",AGE_Q×SEX
g1,Q2|F,after_minpc,19,16,3,a1|a3|a4,a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":6,""a2"":290,""a3"":0,""a4"":0,""a5"":221,""b11"":131,""b12"":33,""b13"":78,""b14"":135,""b15"":151,""b16"":167,""b2"":126,""b31"":133,""b32"":96,""b33"":160,""b4"":271,""b5"":111,""b6"":154,""b7"":936}",AGE_Q×SEX
g1,Q2|F,after_support,19,16,3,a1|a3|a4,a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":6,""a2"":290,""a3"":0,""a4"":0,""a5"":221,""b11"":131,""b12"":33,""b13"":78,""b14"":135,""b15"":151,""b16"":167,""b2"":126,""b31"":133,""b32"":96,""b33"":160,""b4"":271,""b5"":111,""b6"":154,""b7"":936}",AGE_Q×SEX
g1,Q2|M,after_minpc,19,15,4,a1|a3|a4|b13,a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":5,""a2"":367,""a3"":0,""a4"":1,""a5"":177,""b11"":168,""b12"":33,""b13"":4,""b14"":216,""b15"":243,""b16"":206,""b2"":161,""b31"":180,""b32"":144,""b33"":197,""b4"":318,""b5"":170,""b6"":164,""b7"":794}",AGE_Q×SEX
g1,Q2|M,after_support,19,15,4,a1|a3|a4|b13,a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":5,""a2"":367,""a3"":0,""a4"":1,""a5"":177,""b11"":168,""b12"":33,""b13"":4,""b14"":216,""b15"":243,""b16"":206,""b2"":161,""b31"":180,""b32"":144,""b33"":197,""b4"":318,""b5"":170,""b6"":164,""b7"":794}",AGE_Q×SEX
g1,Q3|F,after_minpc,19,16,3,a1|a3|a4,a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":1,""a2"":386,""a3"":0,""a4"":0,""a5"":261,""b11"":64,""b12"":14,""b13"":31,""b14"":75,""b15"":119,""b16"":116,""b2"":106,""b31"":148,""b32"":134,""b33"":221,""b4"":300,""b5"":40,""b6"":154,""b7"":1116}",AGE_Q×SEX
g1,Q3|F,after_support,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":1,""a2"":386,""a3"":0,""a4"":0,""a5"":261,""b11"":64,""b12"":14,""b13"":31,""b14"":75,""b15"":119,""b16"":116,""b2"":106,""b31"":148,""b32"":134,""b33"":221,""b4"":300,""b5"":40,""b6"":154,""b7"":1116}",AGE_Q×SEX
g1,Q3|M,after_minpc,19,14,5,a1|a3|a4|b12|b13,a2|a5|b11|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":4,""a2"":403,""a3"":0,""a4"":0,""a5"":192,""b11"":102,""b12"":9,""b13"":1,""b14"":108,""b15"":159,""b16"":208,""b2"":112,""b31"":208,""b32"":120,""b33"":207,""b4"":304,""b5"":37,""b6"":164,""b7"":802}",AGE_Q×SEX
g1,Q3|M,after_support,19,14,5,a1|a3|a4|b12|b13,a2|a5|b11|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":4,""a2"":403,""a3"":0,""a4"":0,""a5"":192,""b11"":102,""b12"":9,""b13"":1,""b14"":108,""b15"":159,""b16"":208,""b2"":112,""b31"":208,""b32"":120,""b33"":207,""b4"":304,""b5"":37,""b6"":164,""b7"":802}",AGE_Q×SEX
g1,Q4|F,after_minpc,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":2,""a2"":541,""a3"":0,""a4"":0,""a5"":213,""b11"":20,""b12"":4,""b13"":14,""b14"":49,""b15"":52,""b16"":54,""b2"":109,""b31"":172,""b32"":118,""b33"":203,""b4"":280,""b5"":11,""b6"":138,""b7"":1196}",AGE_Q×SEX
g1,Q4|F,after_support,19,13,6,a1|a3|a4|b12|b13|b5,a2|a5|b11|b14|b15|b16|b2|b31|b32|b33|b4|b6|b7,"{""a1"":2,""a2"":541,""a3"":0,""a4"":0,""a5"":213,""b11"":20,""b12"":4,""b13"":14,""b14"":49,""b15"":52,""b16"":54,""b2"":109,""b31"":172,""b32"":118,""b33"":203,""b4"":280,""b5"":11,""b6"":138,""b7"":1196}",AGE_Q×SEX
g1,Q4|M,after_minpc,19,13,6,a1|a3|a4|b12|b13|b5,a2|a5|b11|b14|b15|b16|b2|b31|b32|b33|b4|b6|b7,"{""a1"":4,""a2"":403,""a3"":0,""a4"":0,""a5"":135,""b11"":25,""b12"":5,""b13"":1,""b14"":41,""b15"":48,""b16"":109,""b2"":72,""b31"":142,""b32"":83,""b33"":129,""b4"":221,""b5"":9,""b6"":93,""b7"":703}",AGE_Q×SEX
g1,Q4|M,after_support,19,13,6,a1|a3|a4|b12|b13|b5,a2|a5|b11|b14|b15|b16|b2|b31|b32|b33|b4|b6|b7,"{""a1"":4,""a2"":403,""a3"":0,""a4"":0,""a5"":135,""b11"":25,""b12"":5,""b13"":1,""b14"":41,""b15"":48,""b16"":109,""b2"":72,""b31"":142,""b32"":83,""b33"":129,""b4"":221,""b5"":9,""b6"":93,""b7"":703}",AGE_Q×SEX
g2,Q1|F,after_minpc,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":435,""b31"":1277,""b32"":96,""b33"":965,""b4"":928,""b5"":95,""b6"":189,""b7"":420}",AGE_Q×SEX
g2,Q1|F,after_support,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":435,""b31"":1277,""b32"":96,""b33"":965,""b4"":928,""b5"":95,""b6"":189,""b7"":420}",AGE_Q×SEX
g2,Q1|M,after_minpc,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":655,""b31"":2556,""b32"":154,""b33"":1295,""b4"":1075,""b5"":211,""b6"":273,""b7"":490}",AGE_Q×SEX
g2,Q1|M,after_support,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":655,""b31"":2556,""b32"":154,""b33"":1295,""b4"":1075,""b5"":211,""b6"":273,""b7"":490}",AGE_Q×SEX
g2,Q2|F,after_minpc,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":337,""b31"":1716,""b32"":164,""b33"":1347,""b4"":875,""b5"":24,""b6"":220,""b7"":322}",AGE_Q×SEX
g2,Q2|F,after_support,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":337,""b31"":1716,""b32"":164,""b33"":1347,""b4"":875,""b5"":24,""b6"":220,""b7"":322}",AGE_Q×SEX
g2,Q2|M,after_minpc,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":316,""b31"":2353,""b32"":127,""b33"":1091,""b4"":866,""b5"":38,""b6"":229,""b7"":267}",AGE_Q×SEX
g2,Q2|M,after_support,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":316,""b31"":2353,""b32"":127,""b33"":1091,""b4"":866,""b5"":38,""b6"":229,""b7"":267}",AGE_Q×SEX
g2,Q3|F,after_minpc,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":194,""b31"":1591,""b32"":155,""b33"":1492,""b4"":592,""b5"":11,""b6"":181,""b7"":237}",AGE_Q×SEX
g2,Q3|F,after_support,8,7,1,b5,b2|b31|b32|b33|b4|b6|b7,"{""b2"":194,""b31"":1591,""b32"":155,""b33"":1492,""b4"":592,""b5"":11,""b6"":181,""b7"":237}",AGE_Q×SEX
g2,Q3|M,after_minpc,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":158,""b31"":1623,""b32"":100,""b33"":857,""b4"":447,""b5"":10,""b6"":170,""b7"":182}",AGE_Q×SEX
g2,Q3|M,after_support,8,7,1,b5,b2|b31|b32|b33|b4|b6|b7,"{""b2"":158,""b31"":1623,""b32"":100,""b33"":857,""b4"":447,""b5"":10,""b6"":170,""b7"":182}",AGE_Q×SEX
g2,Q4|F,after_minpc,8,7,1,b5,b2|b31|b32|b33|b4|b6|b7,"{""b2"":189,""b31"":2183,""b32"":212,""b33"":2008,""b4"":521,""b5"":8,""b6"":192,""b7"":278}",AGE_Q×SEX
g2,Q4|F,after_support,8,7,1,b5,b2|b31|b32|b33|b4|b6|b7,"{""b2"":189,""b31"":2183,""b32"":212,""b33"":2008,""b4"":521,""b5"":8,""b6"":192,""b7"":278}",AGE_Q×SEX
g2,Q4|M,after_minpc,8,7,1,b5,b2|b31|b32|b33|b4|b6|b7,"{""b2"":93,""b31"":1379,""b32"":87,""b33"":822,""b4"":315,""b5"":7,""b6"":131,""b7"":148}",AGE_Q×SEX
g2,Q4|M,after_support,8,7,1,b5,b2|b31|b32|b33|b4|b6|b7,"{""b2"":93,""b31"":1379,""b32"":87,""b33"":822,""b4"":315,""b5"":7,""b6"":131,""b7"":148}",AGE_Q×SEX
g4,Q1|F,after_minpc,22,16,6,a1|a3|a4|b12|c21|c22,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7|c12,"{""a1"":7,""a2"":17,""a3"":0,""a4"":8,""a5"":26,""b11"":30,""b12"":5,""b13"":32,""b14"":32,""b15"":18,""b16"":44,""b2"":37,""b31"":19,""b32"":19,""b33"":43,""b4"":34,""b5"":60,""b6"":61,""b7"":122,""c12"":16,""c21"":4,""c22"":0}",AGE_Q×SEX
g4,Q1|F,after_support,22,11,11,a1|a2|a3|a4|b12|b15|b31|b32|c12|c21|c22,a5|b11|b13|b14|b16|b2|b33|b4|b5|b6|b7,"{""a1"":7,""a2"":17,""a3"":0,""a4"":8,""a5"":26,""b11"":30,""b12"":5,""b13"":32,""b14"":32,""b15"":18,""b16"":44,""b2"":37,""b31"":19,""b32"":19,""b33"":43,""b4"":34,""b5"":60,""b6"":61,""b7"":122,""c12"":16,""c21"":4,""c22"":0}",AGE_Q×SEX
g4,Q1|M,after_minpc,22,17,5,a3|a4|b13|c21|c22,a1|a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7|c12,"{""a1"":11,""a2"":22,""a3"":0,""a4"":6,""a5"":29,""b11"":37,""b12"":26,""b13"":0,""b14"":52,""b15"":32,""b16"":56,""b2"":49,""b31"":42,""b32"":20,""b33"":61,""b4"":39,""b5"":134,""b6"":80,""b7"":121,""c12"":18,""c21"":2,""c22"":2}",AGE_Q×SEX
g4,Q1|M,after_support,22,15,7,a1|a3|a4|b13|c12|c21|c22,a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":11,""a2"":22,""a3"":0,""a4"":6,""a5"":29,""b11"":37,""b12"":26,""b13"":0,""b14"":52,""b15"":32,""b16"":56,""b2"":49,""b31"":42,""b32"":20,""b33"":61,""b4"":39,""b5"":134,""b6"":80,""b7"":121,""c12"":18,""c21"":2,""c22"":2}",AGE_Q×SEX
