county_ihme,wt_sum,prop_garbage,ri,detail_icd4,exc_avg,covid_avg,rel_exc_mean,pop,exc_per100k,covid_per100k,nc_excess_per100k,z_garbage,z_detail,z_ri,agg_index
00000,14258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01001,3669,0.3171907655268342,0.1275278775374548,54.79240928638314,10.633333333333333,20.142857142857142,0.2489658049932554,55036,19.320687065435955,36.59942063895839,-17.278733573522437,-0.7963643059104447,1.4620425676468947,-1.1861614218704786,-0.17349438671134287
01003,14820,0.28100456124031176,0.13107092206312182,53.48984387041816,35.46666666666667,39.125,0.17906661366403645,203360,17.44033569367952,19.23928009441385,-1.798944400734329,-0.1628159638114057,0.027783170727469893,-0.927890922502209,-0.35430790519538163
01005,2093,0.4119809635026563,0.12048894486092122,54.005674754891466,5.7333333333333325,13,0.27812424898022453,26201,21.882116458659336,49.61642685393687,-27.734310395277536,-2.4559518188563385,0.5957663861646783,-1.6992649530900577,-1.1864834619272393
01007,1767,0.39540992039473927,0.1180853024052688,53.208137981146635,4.2666666666666675,13.5,0.24766738233472257,22580,18.8957779746088,59.787422497785656,-40.89164452317685,-2.1658258690677132,-0.28240418255482824,-1.874478652163527,-1.4409029012620227
01009,4609,0.344960839543649,0.1270233115213153,53.0944880830533,12.166666666666668,18.1,0.22348271310190193,57667,21.0981439413645,31.38710180866007,-10.288957867295565,-1.2825629747184193,-0.40754448821736083,-1.222941799878308,-0.9710164209380294
01011,847,0.3604607869909784,0.1403323748609992,54.005674754891466,3.5714285714285716,NA,Inf,10478,34.085021678073794,NA,NA,-1.553936173469061,0.5957663861646783,-0.2527766185031296,-0.40364880193583746
01013,1850,0.3867685918567981,0.12529842252401316,54.51280880132283,4.366666666666666,15.333333333333334,0.25875749797905684,20126,21.69664447315247,76.18669051641326,-54.490046043260804,-2.0145334227697527,1.1541734824049086,-1.348677714135323,-0.7363458848333891
01015,10223,0.3718068110400031,0.11468216415889067,52.98636097200946,25.966666666666665,33.8,0.2158399490954262,115527,22.47670818654225,29.25722991162239,-6.780521725080139,-1.7525824495127942,-0.526603633482239,-2.1225506726939107,-1.467245585229648
01017,3072,0.343727838970421,0.1317051735775612,53.24893636857651,10.166666666666668,18.8,0.3016851184658352,33895,29.994591139302752,55.465407877268035,-25.47081673796528,-1.2609755912285538,-0.23748093353158767,-0.8816571102617318,-0.7933712116739579
01019,2454,0.3409271955299934,0.12629558999998597,53.73293313296335,8.4,13.166666666666666,0.32657276293574267,25855,32.48888029394701,50.92503061948044,-18.436150325533422,-1.2119419044001651,0.2954496194312076,-1.2759891153588772,-0.7308271334426116
01021,3486,0.37245517081206986,0.11547416926010744,53.053649542868975,8.7,15.9,0.2239732328204652,43805,19.860746490126697,36.29722634402465,-16.436479853897957,-1.7639339373733096,-0.45251194958086305,-2.0648174007828097,-1.427087762578994
01023,1267,0.33516388241236134,0.1378652568848632,51.017469941089686,2.033333333333333,10,0.20855973777836895,13188,15.418056819330705,75.82650894752805,-60.40845212819735,-1.1110377741475932,-2.6945565270534453,-0.43261737045560994,-1.4127372238855493
01025,2122,0.3203352570132478,0.12826135574472272,53.52478019989527,9.366666666666667,13.666666666666666,0.4250897307566529,24625,38.03722504230119,55.499153976311334,-17.46192893401015,-0.8514180869643441,0.06625168695879484,-1.1326944723318841,-0.6392869574458112
01027,1260,0.3431816687678477,0.12178823739740856,52.22233668928753,4.344827586206897,11.5,0.3390146165321857,13407,32.407157352180924,85.77608711866935,-53.36892976648842,-1.2514132391342487,-1.3678734795396368,-1.604552925117202,-1.4079465479303626
01029,1371,0.39358464960145356,0.11243290008199243,52.22233668928753,3.1333333333333337,12.5,0.2613627140004785,14939,20.974183903429505,83.67360599772408,-62.699422094294576,-2.1338690140239627,-1.3678734795396368,-2.28651094814155,-1.9294178139017166
01031,3681,0.3176598078877144,0.12185975450880401,54.04419455541771,10.8,19.333333333333332,0.2521174683375458,51073,21.146202494468703,37.85431310738225,-16.70811061291354,-0.804576303161026,0.6381806750710824,-1.5993396798588733,-0.588578435982939
01033,5122,0.3811418795371356,0.13021442687193469,51.994262751318665,6.566666666666667,20.875,0.11798365367665914,54435,12.063317106028599,38.348489023606135,-26.28517191757754,-1.9160209003353907,-1.6190065011252939,-0.9903252044119959,-1.5084508686242268
01035,1225,0.33024885694630723,0.12064151364517386,54.51280880132283,4.571428571428571,12,0.3691835682288188,12649,36.140632235185166,94.86915961736106,-58.72852738217589,-1.0249854706029269,1.1541734824049086,-1.68814343999264,-0.5196518093968862
01037,987,0.3804332187689327,0.13588805124078593,53.053649542868975,4.541666666666666,10,Inf,10955,41.45747755971397,91.28251939753537,-49.8250418378214,-1.903613662172178,-0.45251194958086305,-0.57674592581252,-0.9776238458551871
01039,3777,0.3810825603102408,0.11276262504486127,54.04419455541771,12.3,17.8,0.29628892882562824,37519,32.783389749193745,47.44262906793891,-14.65923931874517,-1.9149823388560985,0.6381806750710824,-2.262475621970116,-1.1797590952517107
01041,1293,0.3139089058640965,0.13191661065011748,54.51280880132283,5.172413793103448,13.5,0.4085239744525514,13866,37.30285441441979,97.36045002163566,-60.05759560721586,-0.7389054817722196,1.1541734824049086,-0.8662443888244268,-0.15032546273057926
01043,7147,0.3427273526996377,0.13661646816593884,53.816711497743846,10.93333333333333,29.3,0.12664745364022792,81703,13.381801565833971,35.86159626941483,-22.47979470358086,-1.243459069928649,0.38769827387283273,-0.5236479188174985,-0.4598029049577716
