garbage_bin,stratum,stage,total_candidates,kept_n,dropped_n,dropped_classes,kept_classes,support_json,note
g1,Q1|F,after_minpc,19,17,2,a3|a4,a1|a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":15,""a2"":171,""a3"":0,""a4"":7,""a5"":83,""b11"":84,""b12"":12,""b13"":93,""b14"":105,""b15"":211,""b16"":158,""b2"":163,""b31"":89,""b32"":52,""b33"":126,""b4"":154,""b5"":209,""b6"":160,""b7"":820}",AGE_Q×SEX
g1,Q1|F,after_support,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":15,""a2"":171,""a3"":0,""a4"":7,""a5"":83,""b11"":84,""b12"":12,""b13"":93,""b14"":105,""b15"":211,""b16"":158,""b2"":163,""b31"":89,""b32"":52,""b33"":126,""b4"":154,""b5"":209,""b6"":160,""b7"":820}",AGE_Q×SEX
g1,Q1|M,after_minpc,19,16,3,a3|a4|b13,a1|a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":33,""a2"":268,""a3"":0,""a4"":7,""a5"":92,""b11"":126,""b12"":32,""b13"":2,""b14"":172,""b15"":310,""b16"":157,""b2"":189,""b31"":145,""b32"":72,""b33"":206,""b4"":167,""b5"":400,""b6"":179,""b7"":729}",AGE_Q×SEX
g1,Q1|M,after_support,19,16,3,a3|a4|b13,a1|a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":33,""a2"":268,""a3"":0,""a4"":7,""a5"":92,""b11"":126,""b12"":32,""b13"":2,""b14"":172,""b15"":310,""b16"":157,""b2"":189,""b31"":145,""b32"":72,""b33"":206,""b4"":167,""b5"":400,""b6"":179,""b7"":729}",AGE_Q×SEX
g1,Q2|F,after_minpc,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":4,""a2"":229,""a3"":0,""a4"":0,""a5"":134,""b11"":97,""b12"":6,""b13"":39,""b14"":116,""b15"":161,""b16"":137,""b2"":179,""b31"":170,""b32"":87,""b33"":161,""b4"":221,""b5"":62,""b6"":152,""b7"":774}",AGE_Q×SEX
g1,Q2|F,after_support,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":4,""a2"":229,""a3"":0,""a4"":0,""a5"":134,""b11"":97,""b12"":6,""b13"":39,""b14"":116,""b15"":161,""b16"":137,""b2"":179,""b31"":170,""b32"":87,""b33"":161,""b4"":221,""b5"":62,""b6"":152,""b7"":774}",AGE_Q×SEX
g1,Q2|M,after_minpc,19,15,4,a1|a3|a4|b13,a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":0,""a2"":255,""a3"":0,""a4"":0,""a5"":107,""b11"":160,""b12"":22,""b13"":0,""b14"":135,""b15"":203,""b16"":172,""b2"":136,""b31"":197,""b32"":114,""b33"":169,""b4"":233,""b5"":88,""b6"":154,""b7"":630}",AGE_Q×SEX
g1,Q2|M,after_support,19,15,4,a1|a3|a4|b13,a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":0,""a2"":255,""a3"":0,""a4"":0,""a5"":107,""b11"":160,""b12"":22,""b13"":0,""b14"":135,""b15"":203,""b16"":172,""b2"":136,""b31"":197,""b32"":114,""b33"":169,""b4"":233,""b5"":88,""b6"":154,""b7"":630}",AGE_Q×SEX
g1,Q3|F,after_minpc,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":4,""a2"":244,""a3"":0,""a4"":0,""a5"":148,""b11"":39,""b12"":8,""b13"":23,""b14"":73,""b15"":79,""b16"":93,""b2"":131,""b31"":160,""b32"":91,""b33"":168,""b4"":160,""b5"":22,""b6"":117,""b7"":908}",AGE_Q×SEX
g1,Q3|F,after_support,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":4,""a2"":244,""a3"":0,""a4"":0,""a5"":148,""b11"":39,""b12"":8,""b13"":23,""b14"":73,""b15"":79,""b16"":93,""b2"":131,""b31"":160,""b32"":91,""b33"":168,""b4"":160,""b5"":22,""b6"":117,""b7"":908}",AGE_Q×SEX
g1,Q3|M,after_minpc,19,15,4,a1|a3|a4|b13,a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":1,""a2"":263,""a3"":0,""a4"":0,""a5"":97,""b11"":52,""b12"":10,""b13"":0,""b14"":89,""b15"":113,""b16"":120,""b2"":93,""b31"":196,""b32"":103,""b33"":146,""b4"":197,""b5"":15,""b6"":106,""b7"":566}",AGE_Q×SEX
g1,Q3|M,after_support,19,13,6,a1|a3|a4|b12|b13|b5,a2|a5|b11|b14|b15|b16|b2|b31|b32|b33|b4|b6|b7,"{""a1"":1,""a2"":263,""a3"":0,""a4"":0,""a5"":97,""b11"":52,""b12"":10,""b13"":0,""b14"":89,""b15"":113,""b16"":120,""b2"":93,""b31"":196,""b32"":103,""b33"":146,""b4"":197,""b5"":15,""b6"":106,""b7"":566}",AGE_Q×SEX
g1,Q4|F,after_minpc,19,14,5,a1|a3|a4|b12|b5,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b6|b7,"{""a1"":2,""a2"":442,""a3"":0,""a4"":0,""a5"":179,""b11"":15,""b12"":6,""b13"":18,""b14"":65,""b15"":58,""b16"":63,""b2"":116,""b31"":216,""b32"":125,""b33"":220,""b4"":194,""b5"":9,""b6"":148,""b7"":1291}",AGE_Q×SEX
g1,Q4|F,after_support,19,12,7,a1|a3|a4|b11|b12|b13|b5,a2|a5|b14|b15|b16|b2|b31|b32|b33|b4|b6|b7,"{""a1"":2,""a2"":442,""a3"":0,""a4"":0,""a5"":179,""b11"":15,""b12"":6,""b13"":18,""b14"":65,""b15"":58,""b16"":63,""b2"":116,""b31"":216,""b32"":125,""b33"":220,""b4"":194,""b5"":9,""b6"":148,""b7"":1291}",AGE_Q×SEX
g1,Q4|M,after_minpc,19,13,6,a1|a3|a4|b12|b13|b5,a2|a5|b11|b14|b15|b16|b2|b31|b32|b33|b4|b6|b7,"{""a1"":1,""a2"":289,""a3"":0,""a4"":0,""a5"":88,""b11"":14,""b12"":4,""b13"":0,""b14"":43,""b15"":48,""b16"":87,""b2"":64,""b31"":141,""b32"":80,""b33"":121,""b4"":153,""b5"":5,""b6"":102,""b7"":512}",AGE_Q×SEX
g1,Q4|M,after_support,19,12,7,a1|a3|a4|b11|b12|b13|b5,a2|a5|b14|b15|b16|b2|b31|b32|b33|b4|b6|b7,"{""a1"":1,""a2"":289,""a3"":0,""a4"":0,""a5"":88,""b11"":14,""b12"":4,""b13"":0,""b14"":43,""b15"":48,""b16"":87,""b2"":64,""b31"":141,""b32"":80,""b33"":121,""b4"":153,""b5"":5,""b6"":102,""b7"":512}",AGE_Q×SEX
g2,Q1|F,after_minpc,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":486,""b31"":1582,""b32"":119,""b33"":889,""b4"":645,""b5"":86,""b6"":207,""b7"":449}",AGE_Q×SEX
g2,Q1|F,after_support,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":486,""b31"":1582,""b32"":119,""b33"":889,""b4"":645,""b5"":86,""b6"":207,""b7"":449}",AGE_Q×SEX
g2,Q1|M,after_minpc,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":600,""b31"":2759,""b32"":136,""b33"":1101,""b4"":718,""b5"":115,""b6"":282,""b7"":408}",AGE_Q×SEX
g2,Q1|M,after_support,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":600,""b31"":2759,""b32"":136,""b33"":1101,""b4"":718,""b5"":115,""b6"":282,""b7"":408}",AGE_Q×SEX
g2,Q2|F,after_minpc,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":332,""b31"":2023,""b32"":168,""b33"":987,""b4"":571,""b5"":24,""b6"":204,""b7"":280}",AGE_Q×SEX
g2,Q2|F,after_support,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":332,""b31"":2023,""b32"":168,""b33"":987,""b4"":571,""b5"":24,""b6"":204,""b7"":280}",AGE_Q×SEX
g2,Q2|M,after_minpc,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":297,""b31"":2245,""b32"":128,""b33"":759,""b4"":570,""b5"":26,""b6"":176,""b7"":179}",AGE_Q×SEX
g2,Q2|M,after_support,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":297,""b31"":2245,""b32"":128,""b33"":759,""b4"":570,""b5"":26,""b6"":176,""b7"":179}",AGE_Q×SEX
g2,Q3|F,after_minpc,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":256,""b31"":2551,""b32"":239,""b33"":1292,""b4"":523,""b5"":12,""b6"":206,""b7"":304}",AGE_Q×SEX
g2,Q3|F,after_support,8,7,1,b5,b2|b31|b32|b33|b4|b6|b7,"{""b2"":256,""b31"":2551,""b32"":239,""b33"":1292,""b4"":523,""b5"":12,""b6"":206,""b7"":304}",AGE_Q×SEX
g2,Q3|M,after_minpc,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":183,""b31"":1954,""b32"":98,""b33"":733,""b4"":401,""b5"":13,""b6"":211,""b7"":147}",AGE_Q×SEX
g2,Q3|M,after_support,8,7,1,b5,b2|b31|b32|b33|b4|b6|b7,"{""b2"":183,""b31"":1954,""b32"":98,""b33"":733,""b4"":401,""b5"":13,""b6"":211,""b7"":147}",AGE_Q×SEX
g2,Q4|F,after_minpc,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":164,""b31"":2648,""b32"":233,""b33"":1381,""b4"":340,""b5"":10,""b6"":167,""b7"":264}",AGE_Q×SEX
g2,Q4|F,after_support,8,7,1,b5,b2|b31|b32|b33|b4|b6|b7,"{""b2"":164,""b31"":2648,""b32"":233,""b33"":1381,""b4"":340,""b5"":10,""b6"":167,""b7"":264}",AGE_Q×SEX
g2,Q4|M,after_minpc,8,7,1,b5,b2|b31|b32|b33|b4|b6|b7,"{""b2"":62,""b31"":1152,""b32"":63,""b33"":466,""b4"":168,""b5"":2,""b6"":101,""b7"":78}",AGE_Q×SEX
g2,Q4|M,after_support,8,7,1,b5,b2|b31|b32|b33|b4|b6|b7,"{""b2"":62,""b31"":1152,""b32"":63,""b33"":466,""b4"":168,""b5"":2,""b6"":101,""b7"":78}",AGE_Q×SEX
