garbage_bin,stratum,stage,total_candidates,kept_n,dropped_n,dropped_classes,kept_classes,support_json,note
g1,Q1|F,after_minpc,19,18,1,a4,a1|a2|a3|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":13,""a2"":319,""a3"":19,""a4"":3,""a5"":158,""b11"":94,""b12"":31,""b13"":127,""b14"":166,""b15"":142,""b16"":210,""b2"":126,""b31"":56,""b32"":73,""b33"":182,""b4"":229,""b5"":354,""b6"":143,""b7"":1066}",AGE_Q×SEX
g1,Q1|F,after_support,19,16,3,a1|a3|a4,a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":13,""a2"":319,""a3"":19,""a4"":3,""a5"":158,""b11"":94,""b12"":31,""b13"":127,""b14"":166,""b15"":142,""b16"":210,""b2"":126,""b31"":56,""b32"":73,""b33"":182,""b4"":229,""b5"":354,""b6"":143,""b7"":1066}",AGE_Q×SEX
g1,Q1|M,after_minpc,19,16,3,a3|a4|b13,a1|a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":36,""a2"":412,""a3"":0,""a4"":3,""a5"":147,""b11"":130,""b12"":40,""b13"":0,""b14"":247,""b15"":181,""b16"":146,""b2"":192,""b31"":127,""b32"":124,""b33"":267,""b4"":234,""b5"":528,""b6"":164,""b7"":1063}",AGE_Q×SEX
g1,Q1|M,after_support,19,16,3,a3|a4|b13,a1|a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":36,""a2"":412,""a3"":0,""a4"":3,""a5"":147,""b11"":130,""b12"":40,""b13"":0,""b14"":247,""b15"":181,""b16"":146,""b2"":192,""b31"":127,""b32"":124,""b33"":267,""b4"":234,""b5"":528,""b6"":164,""b7"":1063}",AGE_Q×SEX
g1,Q2|F,after_minpc,19,16,3,a1|a3|a4,a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":2,""a2"":330,""a3"":0,""a4"":0,""a5"":167,""b11"":133,""b12"":26,""b13"":83,""b14"":145,""b15"":121,""b16"":192,""b2"":125,""b31"":91,""b32"":96,""b33"":182,""b4"":291,""b5"":131,""b6"":154,""b7"":1146}",AGE_Q×SEX
g1,Q2|F,after_support,19,16,3,a1|a3|a4,a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":2,""a2"":330,""a3"":0,""a4"":0,""a5"":167,""b11"":133,""b12"":26,""b13"":83,""b14"":145,""b15"":121,""b16"":192,""b2"":125,""b31"":91,""b32"":96,""b33"":182,""b4"":291,""b5"":131,""b6"":154,""b7"":1146}",AGE_Q×SEX
g1,Q2|M,after_minpc,19,16,3,a3|a4|b13,a1|a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":13,""a2"":441,""a3"":0,""a4"":0,""a5"":178,""b11"":196,""b12"":61,""b13"":0,""b14"":193,""b15"":205,""b16"":218,""b2"":156,""b31"":163,""b32"":146,""b33"":223,""b4"":335,""b5"":203,""b6"":156,""b7"":1003}",AGE_Q×SEX
g1,Q2|M,after_support,19,15,4,a1|a3|a4|b13,a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":13,""a2"":441,""a3"":0,""a4"":0,""a5"":178,""b11"":196,""b12"":61,""b13"":0,""b14"":193,""b15"":205,""b16"":218,""b2"":156,""b31"":163,""b32"":146,""b33"":223,""b4"":335,""b5"":203,""b6"":156,""b7"":1003}",AGE_Q×SEX
g1,Q3|F,after_minpc,19,16,3,a1|a3|a4,a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":7,""a2"":415,""a3"":0,""a4"":0,""a5"":218,""b11"":93,""b12"":22,""b13"":55,""b14"":123,""b15"":106,""b16"":143,""b2"":128,""b31"":139,""b32"":133,""b33"":190,""b4"":313,""b5"":50,""b6"":151,""b7"":1359}",AGE_Q×SEX
g1,Q3|F,after_support,19,16,3,a1|a3|a4,a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":7,""a2"":415,""a3"":0,""a4"":0,""a5"":218,""b11"":93,""b12"":22,""b13"":55,""b14"":123,""b15"":106,""b16"":143,""b2"":128,""b31"":139,""b32"":133,""b33"":190,""b4"":313,""b5"":50,""b6"":151,""b7"":1359}",AGE_Q×SEX
g1,Q3|M,after_minpc,19,15,4,a1|a3|a4|b13,a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":3,""a2"":502,""a3"":0,""a4"":0,""a5"":154,""b11"":164,""b12"":29,""b13"":1,""b14"":160,""b15"":184,""b16"":258,""b2"":144,""b31"":225,""b32"":189,""b33"":234,""b4"":429,""b5"":84,""b6"":176,""b7"":1120}",AGE_Q×SEX
