cluster,deaths,S,I,period
C1184,1024,0.88481903076171875,0.8259809129627423,1999_2004
C1185,1007,0.8858822404045563,0.8340216342087144,1999_2004
C1186,889,0.8659696503066473,0.7957272534305496,1999_2004
C1187,959,0.8768888342805821,0.8043067957307246,1999_2004
C1188,962,0.8763231486724211,0.8004117243407414,1999_2004
C1189,933,0.8763901669061872,0.8233888888888834,1999_2004
C119,10788,0.8810874742517985,0.8240515780556897,1999_2004
C1190,1240,0.8796774193548389,0.8329777025832561,1999_2004
C1191,937,0.8786232771316528,0.8198143046628101,1999_2004
C1192,941,0.8798381896393034,0.8219777777777666,1999_2004
C1193,949,0.8816601358426206,0.8212222222222159,1999_2004
C1194,933,0.8883030112959498,0.8317367763431937,1999_2004
C1195,1050,0.881750566893424,0.8242010345804801,1999_2004
C1196,918,0.8800651221514991,0.8114506539833546,1999_2004
C1197,936,0.8811682737964789,0.8356703225507927,1999_2004
C1198,943,0.8756714935861608,0.8190248441828147,1999_2004
C1199,931,0.8681008951717948,0.7842174945215674,1999_2004
C12,41907,0.8807998892839249,0.8246138214630019,1999_2004
C120,10312,0.8783747504545535,0.8147308084984218,1999_2004
C1200,941,0.88186194847772,0.8249309240822978,1999_2004
C1201,1177,0.8772472098685585,0.8231712438061626,1999_2004
C1202,1445,0.884881167610541,0.8338033698988225,1999_2004
C1203,907,0.878491312819927,0.8345673763890364,1999_2004
C1204,950,0.8869008310249308,0.8412071502769988,1999_2004
C1205,1012,0.8789603805714822,0.8177678707513942,1999_2004
C1206,1003,0.8776760446477119,0.8037792894935818,1999_2004
C1207,969,0.8782771595412378,0.8052449752210197,1999_2004
C1208,918,0.8860291151076746,0.8225060398936501,1999_2004
C1209,1468,0.8904401992738828,0.8410586011342102,1999_2004
C121,10255,0.8810694430016064,0.8262837021209026,1999_2004
C1210,952,0.8745365793376174,0.8160964611312583,1999_2004
C1211,925,0.8766807888970051,0.8307533897912981,1999_2004
C1212,940,0.8798483476686283,0.8253111111111018,1999_2004
C1213,939,0.8750364344276705,0.8127416702066085,1999_2004
C1214,927,0.8738701940700245,0.8003378222037166,1999_2004
C1215,1001,0.8858174792240727,0.8417981883627936,1999_2004
C1216,919,0.8828823495283348,0.8245563271604984,1999_2004
C1217,908,0.8740903180733179,0.8063733650416188,1999_2004
C1218,925,0.8904975894813733,0.8453097881163457,1999_2004
C1219,1333,0.8821440168744361,0.8426709265870316,1999_2004
C122,10323,0.8819468285677471,0.830564276992834,1999_2004
C1220,896,0.8771050900829082,0.8131695100178378,1999_2004
C1221,961,0.8831742862371293,0.8182748967966077,1999_2004
C1222,921,0.8737281032159492,0.8123004303762325,1999_2004
C1223,941,0.8939073791532511,0.8477139154981768,1999_2004
C1224,900,0.8723827160493827,0.805169753086431,1999_2004
C1225,920,0.8829560491493382,0.8347447822666505,1999_2004
C1226,918,0.8793792510952577,0.8244067796610048,1999_2004
C1227,1221,0.8886326576744268,0.8530698810706753,1999_2004
C1228,931,0.8825247098104323,0.8284902300949668,1999_2004
C1229,880,0.8821487603305784,0.8313716613852297,1999_2004
C123,10347,0.8808643165187237,0.8223653816946409,1999_2004
C1230,892,0.8822869955156951,0.8280739795918269,1999_2004
C1231,934,0.8819289372687298,0.8255276786613077,1999_2004
C1232,971,0.8771235022660236,0.8119206962641885,1999_2004
C1233,872,0.8804840712061275,0.8082876018967161,1999_2004
C1234,841,0.8851983864970216,0.8226581491322357,1999_2004
C1235,943,0.8917929623761173,0.8511263023047811,1999_2004
C1236,894,0.879122061568798,0.8239583463396798,1999_2004
C1237,953,0.8840277953642828,0.8460281895343316,1999_2004
C1238,947,0.8834634799606159,0.8310370583165453,1999_2004
C1239,877,0.8741004434886737,0.8189992527956838,1999_2004
C124,10236,0.8817810000517678,0.8296696303084357,1999_2004
C1240,988,0.8773746496418562,0.827558245322576,1999_2004
C1241,894,0.8824552447587445,0.822709945416086,1999_2004
C1242,885,0.8901528934852692,0.8328476160470244,1999_2004
C1243,921,0.8748999399934687,0.8175219138057105,1999_2004
C1244,931,0.8811633195309896,0.8301867279517172,1999_2004
C1245,911,0.8755628547777439,0.8183590963139126,1999_2004
C1246,909,0.8868387388793885,0.8400125385802533,1999_2004
C1247,942,0.8887514030319015,0.8392645791439011,1999_2004
C1248,952,0.8793605677565143,0.8252899930747838,1999_2004
C1249,894,0.8801405342101706,0.8253818686768353,1999_2004
C125,10107,0.8831356469549443,0.8323596351450409,1999_2004
C1250,955,0.8801622762533923,0.8082581869957264,1999_2004
C1251,937,0.8901999956718291,0.8310893225745855,1999_2004
C1252,932,0.8867450128018567,0.8316175127830622,1999_2004
C1253,914,0.8792907794626741,0.807949592686567,1999_2004
C1254,912,0.8859889581409666,0.840986920332939,1999_2004
C1255,894,0.8805784524220629,0.8225053862727228,1999_2004
C1256,895,0.8767017259136731,0.8075505629361315,1999_2004
C1257,863,0.8759951072077382,0.8063265306122227,1999_2004
C1258,918,0.868887085214139,0.7746603697993172,1999_2004
C1259,944,0.864813002729101,0.7839111111111005,1999_2004
C126,9928,0.8808402772321715,0.8208179078062261,1999_2004
C1260,913,0.8742335667473238,0.7873384452160669,1999_2004
C1261,1121,0.8790450096726113,0.8333613137572019,1999_2004
C1262,896,0.8895587531887755,0.8367320532063639,1999_2004
C1263,909,0.8793739659994602,0.8291306999437018,1999_2004
C1264,893,0.8803446991594447,0.8188764998938506,1999_2004
C1265,857,0.8771609737367742,0.79707340164848,1999_2004
C1266,869,0.8761840190370003,0.815495689932031,1999_2004
C1267,894,0.8848850652373015,0.8411417487817243,1999_2004
C1268,829,0.8644187410238912,0.7949052448484476,1999_2004
C1269,918,0.8839881147327002,0.8187996306556033,1999_2004
C127,10041,0.8831578795041117,0.8283249829336047,1999_2004
C1270,885,0.8833298222094543,0.8064130728022378,1999_2004
C1271,860,0.8860951865873445,0.8221565610490196,1999_2004
C1272,918,0.8838647054077017,0.8286500182615142,1999_2004
C1273,880,0.8842897727272726,0.8359861769504318,1999_2004
C1274,911,0.886906103111019,0.842266372677799,1999_2004
C1275,838,0.8806995858989183,0.8198372781065352,1999_2004
C1276,1076,0.8827407028648029,0.8207029176564502,1999_2004
C1277,838,0.8846611719003651,0.8297214069886769,1999_2004
C1278,784,0.8783514681382759,0.8161112604138551,1999_2004
C1279,878,0.872613778467318,0.8226395852808668,1999_2004
C128,9535,0.8797542352863859,0.8174095548932698,1999_2004
C1280,847,0.8792529784265322,0.8262001559367451,1999_2004
C1281,927,0.8908834683805622,0.8433650996091249,1999_2004
C1282,895,0.8764894978309041,0.8175585201348814,1999_2004
C1283,1197,0.8793174805574225,0.824104056882233,1999_2004
C1284,924,0.8771246790727311,0.8170901013466678,1999_2004
C1285,856,0.8744459123067516,0.8187551154583989,1999_2004
C1286,831,0.8736548979742558,0.8152985074626942,1999_2004
C1287,889,0.8856300161579916,0.8470764048074453,1999_2004
C1288,869,0.8813961526085168,0.8102189781021822,1999_2004
C1289,1150,0.8833890359168242,0.8319648362382026,1999_2004
C129,9838,0.8829029050863881,0.8297966339632814,1999_2004
C1290,852,0.8874148647755076,0.8263827518972204,1999_2004
C1291,853,0.877531751256513,0.8279087370242274,1999_2004
C1292,844,0.8816710091866761,0.8318154807147449,1999_2004
C1293,883,0.8806460011620015,0.8092706364209108,1999_2004
C1294,905,0.878510423979732,0.8249662422839605,1999_2004
C1295,1228,0.8764138081040647,0.8164234056541619,1999_2004
C1296,923,0.8782210724133114,0.8273721759809785,1999_2004
C1297,857,0.8785770012621708,0.840168144463668,1999_2004
C1298,841,0.8681811048225527,0.8018244170096114,1999_2004
C1299,833,0.8772123495256445,0.8173070179130272,1999_2004
C13,41014,0.8829707688846222,0.8297252159336479,1999_2004
C130,9929,0.8826643587844125,0.8285662085482294,1999_2004
C1300,892,0.8810905105672748,0.8163168475071267,1999_2004
C1301,881,0.8843448717469701,0.8347704081632468,1999_2004
C1302,909,0.8772342580792731,0.8044550437637853,1999_2004
C1303,803,0.8749102447391397,0.8132901330830438,1999_2004
C1304,879,0.8811026078088012,0.8314413265306049,1999_2004
C1305,853,0.8785377860911562,0.7974184989151422,1999_2004
C1306,779,0.8811566786027972,0.8325566792253383,1999_2004
C1307,820,0.881918500892326,0.8270072219110215,1999_2004
C1308,826,0.8803885817469762,0.8298468900926116,1999_2004
C1309,841,0.881519509219108,0.8330868838186382,1999_2004
C131,9585,0.8820191303737337,0.8238461140691304,1999_2004
C1310,899,0.8794371697139697,0.8268324737155212,1999_2004
C1311,867,0.8839134269624804,0.8276280036229892,1999_2004
C1312,916,0.8848467801910719,0.8305498217301585,1999_2004
C1313,863,0.8905714389293861,0.8415500685871115,1999_2004
C1314,809,0.8830416772985006,0.8100998083151612,1999_2004
C1315,887,0.8783162529281149,0.8120160049246179,1999_2004
C1316,857,0.8857470021744194,0.8290265092448309,1999_2004
C1317,782,0.886375677814771,0.8444057353913591,1999_2004
C1318,885,0.8849360017874811,0.8234855346582088,1999_2004
C1319,846,0.886656159705805,0.8334104840859239,1999_2004
C132,9353,0.8802037535827759,0.8258912451579155,1999_2004
C1320,794,0.8760825841163894,0.8038600538254712,1999_2004
C1321,854,0.8782914401987615,0.8294623569348746,1999_2004
C1322,889,0.8794021669675993,0.8092602040816148,1999_2004
C1323,751,0.8874594193981925,0.8235790183842315,1999_2004
C1324,839,0.8809227171799108,0.8283258723599481,1999_2004
C1325,860,0.8803082747431044,0.8360889505530287,1999_2004
C1326,855,0.876136931021511,0.8093506704152297,1999_2004
C1327,855,0.8918874183509458,0.8352949245541992,1999_2004
C1328,823,0.8909555031602072,0.8399505615234375,1999_2004
C1329,817,0.8842902280037572,0.8364497041420567,1999_2004
C133,9547,0.8817407835446402,0.8235845092548298,1999_2004
C1330,846,0.878625041217466,0.82127572016462,1999_2004
C1331,845,0.872078708728686,0.8196892561983499,1999_2004
C1332,886,0.8865166191929641,0.8227528053278624,1999_2004
C1333,776,0.8757240408119885,0.8197120000000045,1999_2004
C1334,834,0.8814243569173439,0.8255287773424448,1999_2004
C1335,832,0.8787906804733727,0.8134900137741001,1999_2004
C1336,904,0.8915219476858016,0.8371811359862057,1999_2004
C1337,776,0.8818086406631949,0.8330524158900171,1999_2004
C1338,774,0.8705072478283223,0.7957043444328677,1999_2004
C1339,839,0.884448681030968,0.8152691689623357,1999_2004
C134,9474,0.8829460440357663,0.8243349640083519,1999_2004
C1340,1252,0.8830599475344242,0.8218745298631028,1999_2004
C1341,809,0.8833503188022265,0.8263625984015331,1999_2004
C1342,773,0.886520988939449,0.8403843652445224,1999_2004
C1343,852,0.8815656064713792,0.8251851851851889,1999_2004
C1344,806,0.8861270003509656,0.8388306776613335,1999_2004
C1345,805,0.8774075074264109,0.8233281351723878,1999_2004
C1346,834,0.880843526617555,0.8292630829476353,1999_2004
C1347,810,0.8872458466697148,0.819008000000005,1999_2004
C1348,833,0.8915402895852217,0.8455666555826957,1999_2004
C1349,1189,0.8758177886584412,0.8124212446307378,1999_2004
C135,9503,0.879825108591516,0.8203256372731654,1999_2004
C1350,837,0.8715486982724042,0.8168021831142832,1999_2004
C1351,860,0.8863980530016224,0.8349367360356236,1999_2004
C1352,796,0.8801229766925079,0.8461482431093809,1999_2004
C1353,822,0.8879535404123821,0.8249354005167716,1999_2004
C1354,853,0.8778863373047888,0.8140561983471059,1999_2004
C1355,811,0.8921898494954548,0.8385772705078125,1999_2004
C1356,1092,0.8815544955654845,0.8283019813558793,1999_2004
C1357,1045,0.8806813030837205,0.8221264866147617,1999_2004
C1358,818,0.8854801202766602,0.8187927720107928,1999_2004
C1359,862,0.8819450799683465,0.8332675208671088,1999_2004
C136,9276,0.8793325651697796,0.8201806895357887,1999_2004
C1360,754,0.8855792976802763,0.8343687158862332,1999_2004
C1361,846,0.8867455806493076,0.8182966023875075,1999_2004
C1362,807,0.8754347415504669,0.8074125336409368,1999_2004
C1363,799,0.8857066326650489,0.849717633877897,1999_2004
C1364,863,0.8842473303802924,0.8217283950617558,1999_2004
C1365,791,0.878639434472199,0.8169879062736312,1999_2004
C1366,855,0.8872911323142165,0.8470750432526026,1999_2004
C1367,1142,0.8761720151760055,0.839868140679667,1999_2004
C1368,816,0.8738946559015762,0.8193786982248843,1999_2004
C1369,792,0.881003851647791,0.8360855504694816,1999_2004
C137,9213,0.8820095964662509,0.828844241411563,1999_2004
C1370,799,0.8837329515461284,0.8256535610545641,1999_2004
C1371,784,0.8855229591836736,0.8387123211329383,1999_2004
C1372,793,0.8721871228228081,0.8119795653736379,1999_2004
C1373,792,0.8794191919191919,0.813280000000013,1999_2004
C1374,838,0.8800303028576961,0.8213029547881621,1999_2004
C1375,765,0.8795830663420052,0.8348440394040115,1999_2004
C1376,786,0.8773640489740951,0.8209710956968675,1999_2004
C1377,885,0.8727096300552205,0.8054926814546584,1999_2004
C1378,821,0.8799346033846606,0.8254429617885538,1999_2004
C1379,716,0.888069192596985,0.8424259486416492,1999_2004
C138,9265,0.8795580160699719,0.8164824435166471,1999_2004
C1380,712,0.8724750662795102,0.8143159213720845,1999_2004
C1381,792,0.8788229517396184,0.8194949286519073,1999_2004
C1382,791,0.8832615981626418,0.8196158126481812,1999_2004
C1383,803,0.8764579898853768,0.812286376953125,1999_2004
C1384,814,0.8709319102439496,0.8015086239024384,1999_2004
C1385,832,0.8879957932692307,0.8567636593204712,1999_2004
C1386,798,0.8779561686170313,0.8268212282647981,1999_2004
C1387,780,0.8844082840236686,0.8364496618105977,1999_2004
C1388,855,0.8900133374371603,0.8513500633161503,1999_2004
C1389,834,0.8841703615524847,0.8312227938266737,1999_2004
C139,8979,0.8792763543341486,0.8168633455214378,1999_2004
C1390,740,0.8778268809349891,0.8352844010341808,1999_2004
C1391,797,0.8816279366318801,0.8234154572013455,1999_2004
C1392,814,0.88323805154272,0.819023452518294,1999_2004
C1393,803,0.8681857728412599,0.8154107325280745,1999_2004
C1394,694,0.8839870773779369,0.8335768200632927,1999_2004
C1395,1035,0.8816691171322552,0.8290916864961558,1999_2004
C1396,786,0.8845605992916757,0.8173220344539176,1999_2004
C1397,784,0.8776746668054978,0.8245760000000102,1999_2004
C1398,818,0.8753325243153736,0.7967115323472168,1999_2004
C1399,801,0.869540415304839,0.78753662109375,1999_2004
C14,39827,0.8831938498583167,0.8267259904046474,1999_2004
C140,8637,0.8792307984438515,0.815740584202125,1999_2004
C1400,801,0.8880191894962757,0.8199867744068623,1999_2004
C1401,819,0.8802926824904848,0.8297189349112789,1999_2004
C1402,814,0.8841103779678718,0.8301784748512556,1999_2004
C1403,826,0.8893292450562529,0.8541832323728727,1999_2004
C1404,739,0.8830717002276052,0.8290267089180501,1999_2004
C1405,795,0.885316245401685,0.8201457119728072,1999_2004
C1406,729,0.8650668653716973,0.7882241215574548,1999_2004
C1407,833,0.8768376498258366,0.8088625173589339,1999_2004
C1408,998,0.8794643395006446,0.8298535156249672,1999_2004
C1409,751,0.8753495117916458,0.8185590277777594,1999_2004
C141,8870,0.8785161845471796,0.8199262830558065,1999_2004
C1410,823,0.8706167903633242,0.8007546180292534,1999_2004
C1411,815,0.8797139523504838,0.822186166696703,1999_2004
C1412,811,0.8758850637276293,0.8003275043566948,1999_2004
C1413,774,0.8748005261435945,0.7999458077190036,1999_2004
