period,cluster,age_bucket,detail_mcod_age
1999_2006,C1030,80+,59.74734068424677
1999_2006,C1031,0-44,52.68357827039115
1999_2006,C1031,45-64,55.96235033306765
1999_2006,C1031,65-79,57.10369652330234
1999_2006,C1031,80+,58.78601763164594
1999_2006,C1032,0-44,51.2124622309803
1999_2006,C1032,45-64,56.344731950989626
1999_2006,C1032,65-79,57.1561718491936
1999_2006,C1032,80+,59.8733511454297
1999_2006,C1033,0-44,47.09242950719308
1999_2006,C1033,45-64,55.917548351483646
1999_2006,C1033,65-79,53.60508991023937
1999_2006,C1033,80+,58.07491631619138
1999_2006,C1034,0-44,51.01482265414069
1999_2006,C1034,45-64,59.5406747858639
1999_2006,C1034,65-79,60.63278509429851
1999_2006,C1034,80+,60.81497285801834
1999_2006,C1035,0-44,55.23065978318316
1999_2006,C1035,45-64,54.62153074528398
1999_2006,C1035,65-79,53.00393453194658
1999_2006,C1035,80+,57.01064950144379
1999_2006,C1036,0-44,47.07076980710479
1999_2006,C1036,45-64,50.96959257556947
1999_2006,C1036,65-79,55.02848125578422
1999_2006,C1036,80+,56.42428820188709
1999_2006,C1037,0-44,49.36607489020019
1999_2006,C1037,45-64,58.106834019928165
1999_2006,C1037,65-79,54.119666487342045
1999_2006,C1037,80+,58.78897094046247
1999_2006,C1038,0-44,51.32108529195708
1999_2006,C1038,45-64,58.06425226623126
1999_2006,C1038,65-79,55.79508992455787
1999_2006,C1038,80+,58.40535544152415
1999_2006,C1039,0-44,47.64838706006139
1999_2006,C1039,45-64,55.28258073294644
1999_2006,C1039,65-79,56.08814503139484
1999_2006,C1039,80+,57.57656004182051
1999_2006,C104,0-44,61.381457016949575
1999_2006,C104,45-64,64.17137609761348
1999_2006,C104,65-79,57.70062586591312
1999_2006,C104,80+,58.3747233081761
1999_2006,C1040,0-44,52.92794473103413
1999_2006,C1040,45-64,58.311901260777255
1999_2006,C1040,65-79,55.25902191258309
1999_2006,C1040,80+,58.065050757930045
1999_2006,C1041,0-44,45.59666233909572
1999_2006,C1041,45-64,52.8764015119279
1999_2006,C1041,65-79,53.478703228867836
1999_2006,C1041,80+,56.56415783699522
1999_2006,C1042,0-44,50.44742529839726
1999_2006,C1042,45-64,50.12706203634573
1999_2006,C1042,65-79,52.89104240872347
1999_2006,C1042,80+,56.61042227235999
1999_2006,C1043,0-44,56.410164964054665
1999_2006,C1043,45-64,56.2805561625159
1999_2006,C1043,65-79,54.50465895431502
1999_2006,C1043,80+,57.8635907192105
1999_2006,C1044,0-44,49.9726575676032
1999_2006,C1044,45-64,56.893767005948014
1999_2006,C1044,65-79,55.20520925362697
1999_2006,C1044,80+,56.16703167543945
1999_2006,C1045,0-44,48.811696827387635
1999_2006,C1045,45-64,55.20270876593642
1999_2006,C1045,65-79,49.40062895209014
1999_2006,C1045,80+,57.02962500178844
1999_2006,C1046,0-44,47.60606489671132
1999_2006,C1046,45-64,53.44919884983967
1999_2006,C1046,65-79,53.111570448074154
1999_2006,C1046,80+,55.58438599928275
1999_2006,C1047,0-44,49.67385677589393
1999_2006,C1047,45-64,56.50596504590077
1999_2006,C1047,65-79,55.773000855359136
1999_2006,C1047,80+,59.41516174414824
1999_2006,C1048,0-44,47.363639139930314
1999_2006,C1048,45-64,49.7275208701411
1999_2006,C1048,65-79,52.08860160879511
1999_2006,C1048,80+,56.65220764254726
1999_2006,C1049,0-44,50.94272045454116
1999_2006,C1049,45-64,54.187782783106734
1999_2006,C1049,65-79,53.48832857510567
1999_2006,C1049,80+,57.91760669151082
1999_2006,C105,0-44,55.09783108258341
1999_2006,C105,45-64,64.87495296538958
1999_2006,C105,65-79,60.291125678942414
1999_2006,C105,80+,62.01704658411253
1999_2006,C1050,0-44,49.9482869432494
1999_2006,C1050,45-64,53.37180411311308
1999_2006,C1050,65-79,51.84160124019674
1999_2006,C1050,80+,56.102405169970076
1999_2006,C1051,0-44,48.37927525362216
1999_2006,C1051,45-64,54.743604037389495
1999_2006,C1051,65-79,54.965763960749555
1999_2006,C1051,80+,55.28587800652199
1999_2006,C1052,0-44,53.96051174406089
1999_2006,C1052,45-64,56.89612002327997
1999_2006,C1052,65-79,52.291646452264885
1999_2006,C1052,80+,60.507993664852044
1999_2006,C1053,0-44,49.02170933463645
1999_2006,C1053,45-64,54.20884835682053
1999_2006,C1053,65-79,54.99224366501673
1999_2006,C1053,80+,56.12418601871356
1999_2006,C1054,0-44,45.20326047059307
1999_2006,C1054,45-64,54.39352581295967
1999_2006,C1054,65-79,50.87881129384245
1999_2006,C1054,80+,55.62208041836475
1999_2006,C1055,0-44,49.08497666398569
1999_2006,C1055,45-64,54.03678581971846
1999_2006,C1055,65-79,54.022587857532166
1999_2006,C1055,80+,56.69194668194289
1999_2006,C1056,0-44,45.22082467689414
1999_2006,C1056,45-64,54.174289571439274
1999_2006,C1056,65-79,54.221576017679986
1999_2006,C1056,80+,58.07917016191561
1999_2006,C1057,0-44,48.234009876736
1999_2006,C1057,45-64,56.047808828695324
1999_2006,C1057,65-79,53.46719628123484
1999_2006,C1057,80+,57.59465953439106
1999_2006,C1058,0-44,49.99461491531843
1999_2006,C1058,45-64,57.21211360741199
1999_2006,C1058,65-79,54.647523276102596
1999_2006,C1058,80+,57.63005708536853
1999_2006,C1059,0-44,49.9937309158911
1999_2006,C1059,45-64,53.86875105854076
1999_2006,C1059,65-79,54.60308827076716
1999_2006,C1059,80+,58.80607083523839
1999_2006,C106,0-44,57.46042507134166
1999_2006,C106,45-64,62.662579883085954
1999_2006,C106,65-79,58.449300498636575
1999_2006,C106,80+,59.92853304855749
1999_2006,C1060,0-44,49.76976860947158
1999_2006,C1060,45-64,56.84883113996944
1999_2006,C1060,65-79,53.283390251827164
1999_2006,C1060,80+,58.39177336422429
1999_2006,C1061,0-44,47.00539458248952
1999_2006,C1061,45-64,54.38974678113035
1999_2006,C1061,65-79,57.239009877276494
1999_2006,C1061,80+,55.57238483821406
1999_2006,C1062,0-44,49.38160289238463
1999_2006,C1062,45-64,54.95936494342997
1999_2006,C1062,65-79,55.895049511919
1999_2006,C1062,80+,59.548543167963025
1999_2006,C1063,0-44,52.25917534765252
1999_2006,C1063,45-64,52.85331608692062
1999_2006,C1063,65-79,50.68111414162157
1999_2006,C1063,80+,57.50928854438349
1999_2006,C1064,0-44,49.97298976728436
1999_2006,C1064,45-64,58.43634710606386
1999_2006,C1064,65-79,54.30520233313028
1999_2006,C1064,80+,59.69229421954824
1999_2006,C1065,0-44,48.78931394088457
1999_2006,C1065,45-64,51.870486332250394
1999_2006,C1065,65-79,53.23840376049992
1999_2006,C1065,80+,55.851890962924294
1999_2006,C1066,0-44,47.43542890667794
1999_2006,C1066,45-64,51.54365193811375
1999_2006,C1066,65-79,55.28870547132078
1999_2006,C1066,80+,57.2022748985796
1999_2006,C1067,0-44,50.88071208133483
1999_2006,C1067,45-64,53.94698631035319
1999_2006,C1067,65-79,48.898807020944474
1999_2006,C1067,80+,59.18220867062091
1999_2006,C1068,0-44,53.883490284667865
1999_2006,C1068,45-64,56.06076822039395
1999_2006,C1068,65-79,52.647922924262765
1999_2006,C1068,80+,59.22999456827141
1999_2006,C1069,0-44,51.99666033140196
1999_2006,C1069,45-64,54.75647611298184
1999_2006,C1069,65-79,54.35518922297486
1999_2006,C1069,80+,55.12505330793159
1999_2006,C107,0-44,55.14128056774278
1999_2006,C107,45-64,61.618191174364206
1999_2006,C107,65-79,55.68393801351446
1999_2006,C107,80+,56.26113133958434
1999_2006,C1070,0-44,49.24947732309905
1999_2006,C1070,45-64,53.856557843428774
1999_2006,C1070,65-79,54.24746163667195
1999_2006,C1070,80+,58.74372851402951
1999_2006,C1071,0-44,48.26383500636144
1999_2006,C1071,45-64,55.53478373397527
1999_2006,C1071,65-79,50.587396372271364
1999_2006,C1071,80+,58.70963416960128
1999_2006,C1072,0-44,52.15376796585878
1999_2006,C1072,45-64,55.98296602136677
1999_2006,C1072,65-79,55.039628591657454
1999_2006,C1072,80+,59.70595882857098
1999_2006,C1073,0-44,47.06807195230387
1999_2006,C1073,45-64,54.122001242543384
1999_2006,C1073,65-79,51.50209594886253
1999_2006,C1073,80+,57.470071246496495
1999_2006,C1074,0-44,47.0899374267828
1999_2006,C1074,45-64,53.9748113639498
1999_2006,C1074,65-79,55.66124018626994
1999_2006,C1074,80+,60.6054467519717
1999_2006,C1075,0-44,46.127059307981
1999_2006,C1075,45-64,54.976138680594616
1999_2006,C1075,65-79,55.82565053335941
1999_2006,C1075,80+,56.99967035899927
1999_2006,C1076,0-44,51.91161407701262
1999_2006,C1076,45-64,55.44433390658279
1999_2006,C1076,65-79,55.14808274033622
1999_2006,C1076,80+,56.939501408937524
1999_2006,C1077,0-44,48.72813576988453
1999_2006,C1077,45-64,55.48293067603915
1999_2006,C1077,65-79,52.74580136178204
1999_2006,C1077,80+,56.90559510194526
1999_2006,C1078,0-44,52.92063694786402
1999_2006,C1078,45-64,56.705662135795436
1999_2006,C1078,65-79,56.13395097696974
1999_2006,C1078,80+,57.63856494016662
1999_2006,C1079,0-44,47.358972390223364
1999_2006,C1079,45-64,56.81448087023522
1999_2006,C1079,65-79,53.214708008014625
1999_2006,C1079,80+,58.48641500436611
1999_2006,C108,0-44,58.0220119335669
1999_2006,C108,45-64,66.49636143286376
1999_2006,C108,65-79,61.092295718955185
1999_2006,C108,80+,62.74134890792754
1999_2006,C1080,0-44,48.824685065118814
1999_2006,C1080,45-64,55.76726985808404
1999_2006,C1080,65-79,55.31514974186437
1999_2006,C1080,80+,60.0146162047744
1999_2006,C1081,0-44,41.77911947129681
1999_2006,C1081,45-64,53.384976665385715
1999_2006,C1081,65-79,50.040559320779124
1999_2006,C1081,80+,59.26612924463026
1999_2006,C1082,0-44,49.10767688481186
1999_2006,C1082,45-64,55.019949916750406
1999_2006,C1082,65-79,53.82033115876547
1999_2006,C1082,80+,56.73537281942274
1999_2006,C1083,0-44,39.70115685803221
1999_2006,C1083,45-64,55.138023184195845
1999_2006,C1083,65-79,59.0401630143509
1999_2006,C1083,80+,58.996535423144216
1999_2006,C1084,0-44,50.17745687797033
1999_2006,C1084,45-64,54.1535046124709
1999_2006,C1084,65-79,52.68671295604105
1999_2006,C1084,80+,58.275054384621725
1999_2006,C1085,0-44,46.62457326789646
1999_2006,C1085,45-64,55.59064079052126
1999_2006,C1085,65-79,52.176821364735986
1999_2006,C1085,80+,58.77311596608212
1999_2006,C1086,0-44,47.223165543982525
1999_2006,C1086,45-64,55.32053874824659
1999_2006,C1086,65-79,50.94088335303775
1999_2006,C1086,80+,60.47794440277047
1999_2006,C1087,0-44,47.33489320159556
1999_2006,C1087,45-64,51.041541012514166
1999_2006,C1087,65-79,51.2125041736677
1999_2006,C1087,80+,53.1884625593725
1999_2006,C1088,0-44,49.999304966060315
1999_2006,C1088,45-64,55.23245470389753
1999_2006,C1088,65-79,54.30136158874596
1999_2006,C1088,80+,57.786792057903675
1999_2006,C1089,0-44,46.690755846818455
1999_2006,C1089,45-64,52.58768326323386
1999_2006,C1089,65-79,53.584833480033716
1999_2006,C1089,80+,57.03211035556902
1999_2006,C109,0-44,56.95316633707888
1999_2006,C109,45-64,63.64565070638517
1999_2006,C109,65-79,57.85310059857797
1999_2006,C109,80+,58.64617025577068
1999_2006,C1090,0-44,48.61714536248076
1999_2006,C1090,45-64,57.68561818440021
1999_2006,C1090,65-79,51.279767254459685
1999_2006,C1090,80+,58.30586542978809
1999_2006,C1091,0-44,43.302459779183515
1999_2006,C1091,45-64,52.08545357642289
1999_2006,C1091,65-79,54.037051473765864
1999_2006,C1091,80+,57.871006107981835
1999_2006,C1092,0-44,42.7157034361457
1999_2006,C1092,45-64,55.57542957765773
1999_2006,C1092,65-79,54.64567845740739
1999_2006,C1092,80+,58.4714387367585
1999_2006,C1093,0-44,49.537734712548975
1999_2006,C1093,45-64,57.65901309729548
1999_2006,C1093,65-79,52.87971406865948
1999_2006,C1093,80+,60.13010703292832
1999_2006,C1094,0-44,52.89125641348642
1999_2006,C1094,45-64,56.26900842302769
1999_2006,C1094,65-79,50.28405205765651
1999_2006,C1094,80+,56.87118313565754
1999_2006,C1095,0-44,44.43497800386126
1999_2006,C1095,45-64,56.08297992908466
1999_2006,C1095,65-79,51.13757768334967
1999_2006,C1095,80+,59.985480313686075
1999_2006,C1096,0-44,46.96576881126848
1999_2006,C1096,45-64,53.1295865417213
1999_2006,C1096,65-79,51.2333055159014
1999_2006,C1096,80+,57.83576955285182
1999_2006,C1097,0-44,47.0476938514063
1999_2006,C1097,45-64,53.856422376019836
1999_2006,C1097,65-79,52.00137132686565
1999_2006,C1097,80+,52.2686974325537
1999_2006,C1098,0-44,49.57024034192757
1999_2006,C1098,45-64,53.407014976950855
1999_2006,C1098,65-79,53.37015196252835
1999_2006,C1098,80+,56.3161915952464
1999_2006,C1099,0-44,45.205319933417805
1999_2006,C1099,45-64,49.877384622998484
1999_2006,C1099,65-79,51.798135829559165
1999_2006,C1099,80+,56.056291368616606
1999_2006,C11,0-44,58.41711961357398
1999_2006,C11,45-64,62.49197752156682
1999_2006,C11,65-79,57.2922573606945
1999_2006,C11,80+,59.74526255230322
1999_2006,C110,0-44,58.482112077751516
1999_2006,C110,45-64,61.70313623528617
1999_2006,C110,65-79,59.387254647346104
1999_2006,C110,80+,61.322105258928694
1999_2006,C1100,0-44,43.34140794414733
1999_2006,C1100,45-64,54.149992842650526
1999_2006,C1100,65-79,54.2650120785156
1999_2006,C1100,80+,56.38550864299222
1999_2006,C1101,0-44,52.50664140355213
1999_2006,C1101,45-64,54.70533957447439
1999_2006,C1101,65-79,54.24196595342658
1999_2006,C1101,80+,56.34773601705735
1999_2006,C1102,0-44,50.122845211890905
1999_2006,C1102,45-64,54.08062168806373
1999_2006,C1102,65-79,55.95508203032735
1999_2006,C1102,80+,57.77666816677924
1999_2006,C1103,0-44,47.16219646437913
1999_2006,C1103,45-64,51.8083290985788
1999_2006,C1103,65-79,53.23812531577933
1999_2006,C1103,80+,55.818399009515645
1999_2006,C1104,0-44,51.3630565467519
1999_2006,C1104,45-64,56.05732230438213
1999_2006,C1104,65-79,55.61522970182932
1999_2006,C1104,80+,58.775154327305685
1999_2006,C1105,0-44,45.58192279520858
1999_2006,C1105,45-64,55.31446603634806
1999_2006,C1105,65-79,56.58632531495984
1999_2006,C1105,80+,59.477050461928656
1999_2006,C1106,0-44,49.36072188540703
1999_2006,C1106,45-64,55.19459703697216
1999_2006,C1106,65-79,53.10399159523761
1999_2006,C1106,80+,55.42354607136412
1999_2006,C1107,0-44,47.44621861537366
1999_2006,C1107,45-64,50.486995342384326
1999_2006,C1107,65-79,52.64289575876278
1999_2006,C1107,80+,58.91655118199017
1999_2006,C1108,0-44,52.4632425134369
1999_2006,C1108,45-64,53.12530442531243
1999_2006,C1108,65-79,50.84530083897153
1999_2006,C1108,80+,58.22457265616378
1999_2006,C1109,0-44,47.7107082505556
1999_2006,C1109,45-64,55.974282479292825
1999_2006,C1109,65-79,53.8994214592079
1999_2006,C1109,80+,58.579608837735165
1999_2006,C111,0-44,57.440932171951275
1999_2006,C111,45-64,62.57741244594722
1999_2006,C111,65-79,59.556443304332355
1999_2006,C111,80+,62.1275516060484
1999_2006,C1110,0-44,47.52007130189558
1999_2006,C1110,45-64,53.70976505002412
1999_2006,C1110,65-79,53.48526182554426
1999_2006,C1110,80+,58.53004578532441
1999_2006,C1111,0-44,46.06287542189287
1999_2006,C1111,45-64,55.848075908636396
1999_2006,C1111,65-79,55.096377146436076
1999_2006,C1111,80+,58.39645072331838
1999_2006,C1112,0-44,47.36305097827566
1999_2006,C1112,45-64,53.21761861984922
1999_2006,C1112,65-79,50.721944206567684
1999_2006,C1112,80+,54.200861506990925
1999_2006,C1113,0-44,49.00006186422756
1999_2006,C1113,45-64,52.28233824428506
1999_2006,C1113,65-79,54.10707697847403
1999_2006,C1113,80+,56.35408405480951
1999_2006,C1114,0-44,52.47414932645023
1999_2006,C1114,45-64,57.968656242057726
1999_2006,C1114,65-79,54.138232224586666
1999_2006,C1114,80+,60.558759609473334
1999_2006,C1115,0-44,47.59926200298464
1999_2006,C1115,45-64,49.14661858239756
1999_2006,C1115,65-79,51.81382347347806
1999_2006,C1115,80+,56.899752502954264
1999_2006,C1116,0-44,46.470594213012724
1999_2006,C1116,45-64,56.58339950153381
1999_2006,C1116,65-79,56.9853879446935
1999_2006,C1116,80+,58.897620945322686
1999_2006,C1117,0-44,47.83771953781272
1999_2006,C1117,45-64,52.77945962920602
1999_2006,C1117,65-79,52.970821042696244
1999_2006,C1117,80+,53.84005834043471
1999_2006,C1118,0-44,52.156894571701336
1999_2006,C1118,45-64,58.39469257504569
1999_2006,C1118,65-79,54.431622990075056
1999_2006,C1118,80+,57.11189684225415
1999_2006,C1119,0-44,48.491013548657676
1999_2006,C1119,45-64,53.905992459650506
1999_2006,C1119,65-79,56.795948681485164
1999_2006,C1119,80+,59.74425229527444
1999_2006,C112,0-44,52.29336177258452
1999_2006,C112,45-64,59.1122415380117
1999_2006,C112,65-79,56.3108268131862
1999_2006,C112,80+,57.99088459977691
1999_2006,C1120,0-44,53.47148267331282
1999_2006,C1120,45-64,53.39091839094421
1999_2006,C1120,65-79,51.953103053314855
1999_2006,C1120,80+,57.920971197040444
1999_2006,C1121,0-44,48.88766399478704
1999_2006,C1121,45-64,50.363606627861294
1999_2006,C1121,65-79,54.01583382539464
1999_2006,C1121,80+,57.076725711577645
1999_2006,C1122,0-44,44.79159023921716
1999_2006,C1122,45-64,55.992861913062875
1999_2006,C1122,65-79,56.50504395656478
1999_2006,C1122,80+,56.4860126357898
1999_2006,C1123,0-44,50.04338813461829
1999_2006,C1123,45-64,52.73125388304614
1999_2006,C1123,65-79,50.88839012481623
1999_2006,C1123,80+,56.73989790875361
1999_2006,C1124,0-44,54.0354818074221
1999_2006,C1124,45-64,49.918555391174756
1999_2006,C1124,65-79,51.00356601831216
1999_2006,C1124,80+,56.38126641650529
1999_2006,C1125,0-44,46.49812780866916
1999_2006,C1125,45-64,53.68632012283414
1999_2006,C1125,65-79,49.44923654548859
1999_2006,C1125,80+,55.401562520952666
1999_2006,C1126,0-44,49.9411509597738
1999_2006,C1126,45-64,54.66625651163886
1999_2006,C1126,65-79,53.80338026556587
1999_2006,C1126,80+,56.84333869478478
1999_2006,C1127,0-44,45.4936711350677
1999_2006,C1127,45-64,48.797267955602464
1999_2006,C1127,65-79,52.08673033596681
1999_2006,C1127,80+,54.18645747691968
1999_2006,C1128,0-44,43.2064180542677
1999_2006,C1128,45-64,51.559052894680974
1999_2006,C1128,65-79,52.873123742069566
1999_2006,C1128,80+,57.42898024764528
1999_2006,C1129,0-44,50.63866463433055
1999_2006,C1129,45-64,55.116336969143475
1999_2006,C1129,65-79,53.54415664900149
1999_2006,C1129,80+,57.49063274980522
1999_2006,C113,0-44,60.39847562308932
1999_2006,C113,45-64,63.797603589812034
1999_2006,C113,65-79,58.190109304210715
1999_2006,C113,80+,61.09096105746781
1999_2006,C1130,0-44,47.80077965928209
1999_2006,C1130,45-64,49.70884102775499
1999_2006,C1130,65-79,53.7186004392968
1999_2006,C1130,80+,58.429927857935546
1999_2006,C1131,0-44,43.974034529714345
1999_2006,C1131,45-64,51.63844385216652
1999_2006,C1131,65-79,52.78088104435915
1999_2006,C1131,80+,58.418216245799144
1999_2006,C1132,0-44,49.82934250360952
1999_2006,C1132,45-64,52.992362602736534
1999_2006,C1132,65-79,49.86925004827522
1999_2006,C1132,80+,59.99267775435092
1999_2006,C1133,0-44,46.752776194439605
1999_2006,C1133,45-64,54.265575898518236
1999_2006,C1133,65-79,52.206501971089736
1999_2006,C1133,80+,57.14591319650231
1999_2006,C1134,0-44,51.10082235333149
1999_2006,C1134,45-64,57.80896249498265
1999_2006,C1134,65-79,56.65989531941169
1999_2006,C1134,80+,60.542141194066225
1999_2006,C1135,0-44,49.961824440933434
1999_2006,C1135,45-64,56.11323440276548
1999_2006,C1135,65-79,54.43718298616956
1999_2006,C1135,80+,59.67883876353308
1999_2006,C1136,0-44,49.42237243837806
1999_2006,C1136,45-64,56.746332160180174
1999_2006,C1136,65-79,55.15307055084713
1999_2006,C1136,80+,60.468128494713845
1999_2006,C1137,0-44,51.38460099221726
1999_2006,C1137,45-64,56.02715524414852
1999_2006,C1137,65-79,54.57662115859069
1999_2006,C1137,80+,55.91790222654282
1999_2006,C1138,0-44,50.79652531398583
1999_2006,C1138,45-64,50.64918388588232
1999_2006,C1138,65-79,52.76227825717632
1999_2006,C1138,80+,57.54757819436095
1999_2006,C1139,0-44,46.7172701293176
1999_2006,C1139,45-64,52.433408624021496
1999_2006,C1139,65-79,52.13198676939224
1999_2006,C1139,80+,55.383578331184886
1999_2006,C114,0-44,55.70979766385051
1999_2006,C114,45-64,61.76319991665868
1999_2006,C114,65-79,58.11688975980499
1999_2006,C114,80+,59.56515685348763
1999_2006,C1140,0-44,47.99202604134498
1999_2006,C1140,45-64,52.63777604263319
1999_2006,C1140,65-79,54.87038659287477
1999_2006,C1140,80+,58.56119494139236
1999_2006,C1141,0-44,47.10671689233801
1999_2006,C1141,45-64,54.21757313503793
1999_2006,C1141,65-79,52.83467010146569
1999_2006,C1141,80+,58.101839425259946
1999_2006,C1142,0-44,44.247435429139664
1999_2006,C1142,45-64,54.25711955640133
1999_2006,C1142,65-79,52.08493084461248
1999_2006,C1142,80+,58.379454869081655
