period,cluster,detail_ucod_root3,detail_ucod_gbdl3,detail_mcod
1999_2006,C1,55.44975618369592,57.69553382170682,62.42299369723592
1999_2006,C10,55.61626841346382,56.61403860838314,62.283636380831695
1999_2006,C100,55.483497409270406,55.940589542273,61.62947489577358
1999_2006,C101,56.53953869663944,55.66946409251899,61.93197172846715
1999_2006,C102,55.37169647384103,46.58918896241724,62.21270677122994
1999_2006,C103,56.534735043347986,56.19749996508888,61.866871197839565
1999_2006,C104,55.58107897100708,55.57105335569351,62.282603328014524
1999_2006,C105,55.34555159115065,43.79524301469453,61.761243532676076
1999_2006,C106,55.44978014607465,45.69457551166309,62.193552880671625
1999_2006,C107,55.63108665844632,54.3137649834274,62.17978163960595
1999_2006,C108,55.215564499525925,56.453267515273275,62.15789042143739
1999_2006,C109,55.91884309155152,64.03219470665748,61.9319711970226
1999_2006,C11,55.62968887040186,65.44894693848275,62.024046437906215
1999_2006,C110,55.373575116705965,51.484340965671166,61.981610256165546
1999_2006,C111,55.23642031444124,55.29190734147873,61.159907253970005
1999_2006,C112,55.00409001237848,58.0032577293182,62.06484739742202
1999_2006,C113,55.97117069906721,61.91107450344805,61.093302260552
1999_2006,C114,55.74634526833733,62.56193770387443,61.86366575714616
1999_2006,C115,55.266796851127225,55.738253779089014,61.37051312324743
1999_2006,C116,54.9715468517143,63.628477548363115,61.259770044798884
1999_2006,C117,55.40455437817971,63.65787679762884,61.078832811181314
1999_2006,C118,55.51023576608844,53.77455767123854,62.028345563926045
1999_2006,C119,55.48334389757653,51.15151513920136,62.218774620797525
1999_2006,C12,55.56355896028936,59.64768805211254,62.439592218858635
1999_2006,C120,55.403014118418795,53.58291804194926,61.297162969228495
1999_2006,C121,54.9559439903685,60.46555406381916,61.54856453991012
1999_2006,C122,55.63886214650111,56.51446130842772,61.9952775956125
1999_2006,C123,55.65260975827162,49.43083344484294,61.471086879201955
1999_2006,C124,56.764796372091,68.5254049730802,61.74735774121313
1999_2006,C125,55.64702993150565,41.65017454804379,62.38111804491948
1999_2006,C126,55.82750205562546,56.59289014705323,62.047119578503406
1999_2006,C127,55.0959684450712,58.33382360046395,61.5107603271106
1999_2006,C128,55.63540538500892,46.52211232032802,60.89164862166686
1999_2006,C129,55.5661703049127,46.98881390950402,61.8071271538473
1999_2006,C13,55.84082716111064,59.38383162926964,62.01820430725214
1999_2006,C130,55.31075501719432,43.994777935821396,61.182526727343145
1999_2006,C131,55.61809081396942,50.163745467190395,62.05337660539476
1999_2006,C132,55.499746949934305,41.521405228241896,61.81604429336207
1999_2006,C133,56.55757624756705,44.31565049109359,61.08660698736111
1999_2006,C134,55.14413745998484,58.94112660732075,61.72204077358639
1999_2006,C135,55.756129293106724,49.42483445940455,61.55664053511369
1999_2006,C136,55.639765232155135,61.53388922692158,61.15974611409341
1999_2006,C137,54.86664962063094,59.99493866485727,61.34169008614562
1999_2006,C138,54.98173099015101,55.18294984183786,61.26852069758752
1999_2006,C139,56.063112387825456,61.296583157491526,61.38852213385873
1999_2006,C14,55.89405960777476,52.49884610995784,62.155566887403644
1999_2006,C140,55.29288456274847,61.34661428812321,61.79554089703226
1999_2006,C141,55.034104719451314,55.43297077792406,61.50431831087074
1999_2006,C142,56.30731391495015,55.84264597273529,61.13236408229904
1999_2006,C143,55.35444550472346,43.91334826721971,61.52398161961625
1999_2006,C144,55.556551669958615,62.24418133219953,61.5050614565136
1999_2006,C145,55.64329250099184,46.186410375989105,61.554818925336946
1999_2006,C146,54.576743014542146,43.902637369103275,61.13153180431883
1999_2006,C147,56.152978592057586,37.75507521752533,61.79694067723598
1999_2006,C148,55.404686667095454,64.933060211044,61.2251447755838
1999_2006,C149,56.02215501453511,58.903504942488375,61.55451678729393
1999_2006,C15,55.28486536825964,58.25503904177781,62.39728309740897
1999_2006,C150,55.032845561051204,40.26565502139303,61.74086444670537
1999_2006,C151,56.11418033292384,53.45808980333024,61.88787911356757
1999_2006,C152,56.35566883991712,55.65708546491657,61.838689246351
