fips,cluster,period
12099,C17,2018_2022
45019,C176,2018_2022
48027,C242,2018_2022
37051,C213,2018_2022
23019,C364,2018_2022
06037,C1,2018_2022
08101,C310,2018_2022
51087,C199,2018_2022
29105,C1211,2018_2022
25017,C28,2018_2022
48483,C2515,2018_2022
37081,C120,2018_2022
47093,C113,2018_2022
37021,C230,2018_2022
48063,C2100,2018_2022
36087,C254,2018_2022
17031,C2,2018_2022
48439,C20,2018_2022
36029,C39,2018_2022
17167,C311,2018_2022
12103,C26,2018_2022
20169,C903,2018_2022
11001,C110,2018_2022
06053,C236,2018_2022
42069,C237,2018_2022
12009,C55,2018_2022
25005,C101,2018_2022
08069,C256,2018_2022
20173,C112,2018_2022
39033,C935,2018_2022
40081,C1226,2018_2022
39159,C1191,2018_2022
26125,C32,2018_2022
22073,C368,2018_2022
12069,C126,2018_2022
33015,C235,2018_2022
36023,C1162,2018_2022
28069,C630,2018_2022
06085,C37,2018_2022
36003,C1080,2018_2022
35006,C590,2018_2022
29183,C193,2018_2022
39017,C167,2018_2022
18097,C45,2018_2022
19067,C2035,2018_2022
06047,C319,2018_2022
33003,C990,2018_2022
25021,C94,2018_2022
06025,C439,2018_2022
25015,C478,2018_2022
12111,C165,2018_2022
37071,C224,2018_2022
48203,C803,2018_2022
32003,C10,2018_2022
20091,C141,2018_2022
12055,C361,2018_2022
48215,C104,2018_2022
25027,C65,2018_2022
22051,C132,2018_2022
18029,C1062,2018_2022
06007,C283,2018_2022
53061,C92,2018_2022
40109,C58,2018_2022
21111,C49,2018_2022
04019,C34,2018_2022
10005,C207,2018_2022
22033,C148,2018_2022
34029,C64,2018_2022
18127,C370,2018_2022
42129,C130,2018_2022
12073,C287,2018_2022
36061,C33,2018_2022
08085,C1114,2018_2022
41019,C421,2018_2022
51069,C748,2018_2022
04013,C3,2018_2022
39139,C409,2018_2022
34027,C152,2018_2022
13289,C2260,2018_2022
55079,C46,2018_2022
08077,C376,2018_2022
40027,C272,2018_2022
12086,C6,2018_2022
19137,C2220,2018_2022
17163,C223,2018_2022
29143,C1522,2018_2022
06065,C11,2018_2022
05045,C578,2018_2022
55059,C415,2018_2022
12127,C60,2018_2022
37129,C303,2018_2022
28035,C773,2018_2022
06083,C192,2018_2022
06019,C59,2018_2022
42101,C19,2018_2022
45003,C306,2018_2022
25009,C70,2018_2022
45057,C607,2018_2022
35001,C80,2018_2022
06077,C91,2018_2022
12085,C297,2018_2022
33009,C700,2018_2022
41043,C428,2018_2022
01097,C128,2018_2022
05031,C617,2018_2022
23029,C1107,2018_2022
34033,C753,2018_2022
06081,C129,2018_2022
24027,C341,2018_2022
36067,C133,2018_2022
36103,C25,2018_2022
41027,C2074,2018_2022
29510,C197,2018_2022
53045,C800,2018_2022
37179,C393,2018_2022
06059,C7,2018_2022
13285,C757,2018_2022
36009,C626,2018_2022
44007,C96,2018_2022
42003,C23,2018_2022
47033,C1971,2018_2022
39099,C195,2018_2022
36051,C975,2018_2022
36063,C240,2018_2022
48485,C435,2018_2022
28127,C1401,2018_2022
51125,C2016,2018_2022
48201,C4,2018_2022
19043,C1928,2018_2022
48489,C1884,2018_2022
48491,C186,2018_2022
06107,C185,2018_2022
20079,C1214,2018_2022
51095,C695,2018_2022
15003,C54,2018_2022
30063,C685,2018_2022
41005,C182,2018_2022
06087,C353,2018_2022
06089,C264,2018_2022
40055,C2505,2018_2022
21109,C2049,2018_2022
27153,C1887,2018_2022
26163,C9,2018_2022
47075,C1645,2018_2022
17027,C1457,2018_2022
36055,C71,2018_2022
36081,C15,2018_2022
22017,C200,2018_2022
01073,C61,2018_2022
51143,C403,2018_2022
06079,C258,2018_2022
29095,C76,2018_2022
40143,C82,2018_2022
09011,C234,2018_2022
36047,C12,2018_2022
12001,C299,2018_2022
26099,C40,2018_2022
21073,C884,2018_2022
18027,C1467,2018_2022
12119,C273,2018_2022
42071,C105,2018_2022
48029,C18,2018_2022
06113,C454,2018_2022
12071,C56,2018_2022
40113,C1108,2018_2022
33001,C794,2018_2022
06067,C27,2018_2022
48355,C187,2018_2022
46039,C2457,2018_2022
56021,C629,2018_2022
18011,C971,2018_2022
17117,C936,2018_2022
45055,C798,2018_2022
33011,C174,2018_2022
17043,C77,2018_2022
48113,C13,2018_2022
20209,C431,2018_2022
23027,C1231,2018_2022
18047,C1827,2018_2022
05091,C1003,2018_2022
25001,C202,2018_2022
37013,C948,2018_2022
35039,C1092,2018_2022
18173,C870,2018_2022
12031,C43,2018_2022
34003,C63,2018_2022
10003,C107,2018_2022
04015,C166,2018_2022
19181,C1265,2018_2022
48167,C206,2018_2022
04021,C161,2018_2022
21189,C2321,2018_2022
18163,C296,2018_2022
20037,C1126,2018_2022
37119,C72,2018_2022
34039,C143,2018_2022
22117,C880,2018_2022
24031,C24,2018_2022
05097,C2069,2018_2022
47141,C648,2018_2022
08001,C8,2018_2022
48479,C402,2018_2022
08041,C102,2018_2022
13067,C124,2018_2022
12061,C265,2018_2022
51800,C675,2018_2022
21003,C1727,2018_2022
55133,C168,2018_2022
20045,C750,2018_2022
20035,C1190,2018_2022
27067,C1291,2018_2022
45041,C373,2018_2022
28087,C859,2018_2022
47125,C411,2018_2022
48251,C398,2018_2022
12105,C53,2018_2022
42079,C142,2018_2022
06111,C89,2018_2022
42019,C295,2018_2022
49057,C338,2018_2022
09001,C69,2018_2022
24005,C47,2018_2022
17161,C383,2018_2022
17105,C1164,2018_2022
39173,C524,2018_2022
21097,C1824,2018_2022
12097,C227,2018_2022
42041,C257,2018_2022
18043,C694,2018_2022
27123,C134,2018_2022
42005,C699,2018_2022
26035,C1121,2018_2022
17101,C1994,2018_2022
48339,C139,2018_2022
20051,C1832,2018_2022
16075,C1706,2018_2022
39049,C36,2018_2022
22105,C448,2018_2022
20029,C2282,2018_2022
39061,C50,2018_2022
51059,C98,2018_2022
26083,C1398,2018_2022
39041,C481,2018_2022
47115,C1362,2018_2022
12017,C210,2018_2022
12057,C29,2018_2022
24510,C75,2018_2022
45063,C218,2018_2022
16027,C359,2018_2022
49005,C931,2018_2022
01089,C184,2018_2022
53027,C683,2018_2022
26081,C111,2018_2022
37183,C88,2018_2022
05051,C436,2018_2022
30013,C663,2018_2022
18141,C222,2018_2022
26021,C343,2018_2022
24021,C324,2018_2022
26019,C1813,2018_2022
47157,C42,2018_2022
40095,C1805,2018_2022
17183,C597,2018_2022
17089,C180,2018_2022
25023,C116,2018_2022
55115,C1030,2018_2022
48375,C447,2018_2022
37171,C624,2018_2022
48291,C701,2018_2022
39019,C1492,2018_2022
13135,C125,2018_2022
18023,C1334,2018_2022
17197,C109,2018_2022
49053,C426,2018_2022
48097,C1229,2018_2022
06001,C38,2018_2022
21117,C427,2018_2022
39083,C861,2018_2022
12011,C16,2018_2022
06095,C170,2018_2022
42049,C204,2018_2022
48139,C437,2018_2022
36059,C30,2018_2022
17119,C198,2018_2022
17097,C119,2018_2022
19073,C2341,2018_2022
06013,C52,2018_2022
13063,C302,2018_2022
36007,C290,2018_2022
45091,C268,2018_2022
13047,C818,2018_2022
48217,C1095,2018_2022
09013,C545,2018_2022
24041,C1084,2018_2022
51019,C676,2018_2022
40019,C917,2018_2022
46079,C2477,2018_2022
25011,C824,2018_2022
37151,C360,2018_2022
09005,C329,2018_2022
18055,C1283,2018_2022
12115,C86,2018_2022
45075,C523,2018_2022
45077,C457,2018_2022
19087,C1807,2018_2022
48493,C1148,2018_2022
41039,C160,2018_2022
28047,C259,2018_2022
39025,C301,2018_2022
48497,C853,2018_2022
39035,C21,2018_2022
12083,C99,2018_2022
13189,C1705,2018_2022
51047,C1100,2018_2022
48381,C503,2018_2022
01061,C1242,2018_2022
48141,C78,2018_2022
40101,C660,2018_2022
42047,C1343,2018_2022
24009,C781,2018_2022
09003,C48,2018_2022
44009,C482,2018_2022
51710,C298,2018_2022
26121,C358,2018_2022
06073,C5,2018_2022
48121,C138,2018_2022
48451,C536,2018_2022
29099,C285,2018_2022
41067,C172,2018_2022
47009,C397,2018_2022
05125,C507,2018_2022
53025,C760,2018_2022
22071,C173,2018_2022
29007,C1617,2018_2022
28029,C1386,2018_2022
12101,C74,2018_2022
36091,C309,2018_2022
34031,C155,2018_2022
39153,C85,2018_2022
24013,C395,2018_2022
47001,C581,2018_2022
12091,C316,2018_2022
47065,C156,2018_2022
35009,C1146,2018_2022
29189,C35,2018_2022
12021,C159,2018_2022
26037,C865,2018_2022
24037,C680,2018_2022
53077,C277,2018_2022
46121,C2454,2018_2022
37195,C609,2018_2022
42091,C57,2018_2022
48469,C693,2018_2022
47037,C97,2018_2022
37057,C305,2018_2022
05119,C154,2018_2022
26107,C1262,2018_2022
27025,C1279,2018_2022
39095,C117,2018_2022
19193,C636,2018_2022
28043,C1479,2018_2022
36035,C891,2018_2022
26077,C267,2018_2022
41003,C946,2018_2022
18089,C103,2018_2022
42121,C826,2018_2022
02122,C1197,2018_2022
19155,C623,2018_2022
37167,C756,2018_2022
18057,C307,2018_2022
17201,C201,2018_2022
22097,C587,2018_2022
39015,C959,2018_2022
34021,C203,2018_2022
29175,C1667,2018_2022
27043,C2079,2018_2022
48187,C479,2018_2022
06071,C14,2018_2022
21015,C615,2018_2022
21199,C711,2018_2022
28013,C2060,2018_2022
29019,C504,2018_2022
27101,C2131,2018_2022
42067,C1609,2018_2022
44001,C1082,2018_2022
04003,C434,2018_2022
05131,C451,2018_2022
51760,C300,2018_2022
48341,C2135,2018_2022
21173,C1445,2018_2022
18113,C1138,2018_2022
21157,C1224,2018_2022
42083,C968,2018_2022
42029,C151,2018_2022
02090,C1073,2018_2022
28107,C1294,2018_2022
49035,C68,2018_2022
19179,C1218,2018_2022
24047,C856,2018_2022
31027,C2351,2018_2022
40153,C1915,2018_2022
13009,C1140,2018_2022
13249,C2241,2018_2022
54003,C498,2018_2022
33007,C1111,2018_2022
46099,C399,2018_2022
01081,C512,2018_2022
36111,C339,2018_2022
42017,C84,2018_2022
48005,C620,2018_2022
24003,C135,2018_2022
47045,C1039,2018_2022
16083,C704,2018_2022
41059,C770,2018_2022
42045,C100,2018_2022
21227,C580,2018_2022
21087,C2087,2018_2022
37001,C346,2018_2022
29065,C1893,2018_2022
50007,C511,2018_2022
26041,C1115,2018_2022
26047,C1364,2018_2022
27053,C41,2018_2022
45045,C122,2018_2022
29037,C577,2018_2022
37063,C288,2018_2022
36005,C31,2018_2022
12121,C932,2018_2022
22103,C241,2018_2022
06099,C127,2018_2022
46057,C2477,2018_2022
36119,C62,2018_2022
36037,C930,2018_2022
39115,C1955,2018_2022
19033,C1033,2018_2022
34025,C95,2018_2022
41015,C1206,2018_2022
39011,C1074,2018_2022
50017,C1589,2018_2022
18063,C471,2018_2022
45083,C181,2018_2022
37187,C2211,2018_2022
47179,C404,2018_2022
34013,C81,2018_2022
42095,C194,2018_2022
48337,C1554,2018_2022
37059,C1063,2018_2022
41051,C90,2018_2022
53067,C247,2018_2022
47185,C1318,2018_2022
16011,C1320,2018_2022
37041,C1869,2018_2022
29039,C2007,2018_2022
51153,C249,2018_2022
42065,C995,2018_2022
48453,C83,2018_2022
39113,C79,2018_2022
06045,C666,2018_2022
01001,C966,2018_2022
56013,C1047,2018_2022
53053,C67,2018_2022
22111,C1438,2018_2022
31155,C1787,2018_2022
47167,C896,2018_2022
26063,C1134,2018_2022
55055,C779,2018_2022
39155,C220,2018_2022
29131,C1562,2018_2022
21239,C1728,2018_2022
42107,C315,2018_2022
06075,C93,2018_2022
39079,C1202,2018_2022
12053,C211,2018_2022
23031,C270,2018_2022
13245,C282,2018_2022
37117,C1395,2018_2022
08035,C362,2018_2022
32023,C687,2018_2022
06017,C384,2018_2022
55081,C1131,2018_2022
12063,C871,2018_2022
54059,C1354,2018_2022
48409,C864,2018_2022
26079,C1907,2018_2022
22063,C494,2018_2022
36039,C1049,2018_2022
41071,C647,2018_2022
13021,C326,2018_2022
30051,C2226,2018_2022
48093,C1932,2018_2022
12037,C1575,2018_2022
01065,C2017,2018_2022
12093,C1007,2018_2022
42089,C392,2018_2022
17153,C2438,2018_2022
48061,C191,2018_2022
51179,C716,2018_2022
48171,C1365,2018_2022
48085,C106,2018_2022
12087,C787,2018_2022
01103,C441,2018_2022
26007,C1304,2018_2022
12059,C1548,2018_2022
24001,C642,2018_2022
39089,C333,2018_2022
34017,C145,2018_2022
12027,C1437,2018_2022
47119,C601,2018_2022
18039,C340,2018_2022
28075,C630,2018_2022
54049,C823,2018_2022
19103,C738,2018_2022
35017,C1315,2018_2022
36105,C758,2018_2022
06055,C513,2018_2022
13139,C374,2018_2022
48245,C238,2018_2022
23005,C221,2018_2022
25013,C118,2018_2022
13089,C114,2018_2022
53063,C123,2018_2022
29209,C1220,2018_2022
37025,C344,2018_2022
13257,C1293,2018_2022
48387,C1948,2018_2022
46111,C2142,2018_2022
18081,C440,2018_2022
37067,C169,2018_2022
28139,C1680,2018_2022
48423,C271,2018_2022
45065,C2160,2018_2022
27139,C805,2018_2022
05001,C1771,2018_2022
36101,C556,2018_2022
12095,C44,2018_2022
20125,C1238,2018_2022
53033,C22,2018_2022
36021,C860,2018_2022
34005,C149,2018_2022
39165,C321,2018_2022
01101,C275,2018_2022
25025,C121,2018_2022
24025,C279,2018_2022
55045,C1407,2018_2022
13095,C613,2018_2022
21107,C907,2018_2022
37193,C689,2018_2022
39129,C877,2018_2022
54011,C463,2018_2022
49041,C2046,2018_2022
36013,C418,2018_2022
56001,C1916,2018_2022
36065,C244,2018_2022
34041,C612,2018_2022
17005,C2059,2018_2022
06101,C712,2018_2022
51550,C304,2018_2022
26147,C327,2018_2022
51199,C292,2018_2022
37157,C468,2018_2022
36001,C228,2018_2022
26091,C583,2018_2022
05099,C2192,2018_2022
22045,C759,2018_2022
55025,C183,2018_2022
21071,C906,2018_2022
29047,C325,2018_2022
13233,C1010,2018_2022
42125,C245,2018_2022
17115,C501,2018_2022
28061,C1851,2018_2022
35055,C1393,2018_2022
13165,C961,2018_2022
28071,C1344,2018_2022
13291,C1400,2018_2022
13153,C455,2018_2022
13045,C516,2018_2022
37145,C1155,2018_2022
19017,C1803,2018_2022
22109,C550,2018_2022
13097,C591,2018_2022
19061,C625,2018_2022
13225,C1544,2018_2022
51083,C1029,2018_2022
38005,C2234,2018_2022
12081,C137,2018_2022
42063,C639,2018_2022
48463,C1565,2018_2022
06039,C531,2018_2022
18053,C653,2018_2022
34015,C219,2018_2022
48363,C1397,2018_2022
05089,C1694,2018_2022
20095,C1964,2018_2022
44005,C775,2018_2022
13121,C66,2018_2022
48299,C1422,2018_2022
06057,C585,2018_2022
48189,C1425,2018_2022
22027,C2002,2018_2022
48183,C429,2018_2022
01055,C414,2018_2022
37047,C769,2018_2022
01019,C1347,2018_2022
48039,C232,2018_2022
29109,C1081,2018_2022
51003,C519,2018_2022
18157,C492,2018_2022
12015,C217,2018_2022
27003,C252,2018_2022
13227,C1323,2018_2022
06031,C652,2018_2022
39087,C661,2018_2022
40147,C821,2018_2022
37133,C474,2018_2022
51013,C633,2018_2022
54029,C1123,2018_2022
45035,C483,2018_2022
23025,C914,2018_2022
46011,C1983,2018_2022
09009,C51,2018_2022
39003,C532,2018_2022
08017,C2126,2018_2022
48455,C1811,2018_2022
38017,C526,2018_2022
19127,C1055,2018_2022
17091,C521,2018_2022
36071,C209,2018_2022
40121,C876,2018_2022
51167,C1310,2018_2022
19013,C480,2018_2022
