fips,cluster,period
34023,C77,2005_2010
48201,C4,2005_2010
39061,C43,2005_2010
12009,C71,2005_2010
06037,C1,2005_2010
36093,C335,2005_2010
36049,C1628,2005_2010
25009,C68,2005_2010
10005,C248,2005_2010
04013,C3,2005_2010
12115,C95,2005_2010
36081,C13,2005_2010
36029,C31,2005_2010
36117,C595,2005_2010
06059,C8,2005_2010
15005,C521,2005_2010
25017,C25,2005_2010
27123,C127,2005_2010
42091,C49,2005_2010
27107,C2390,2005_2010
18039,C324,2005_2010
42101,C11,2005_2010
51161,C584,2005_2010
29159,C1132,2005_2010
06073,C5,2005_2010
53049,C1348,2005_2010
48439,C29,2005_2010
26147,C316,2005_2010
36061,C28,2005_2010
36115,C807,2005_2010
29189,C34,2005_2010
04019,C40,2005_2010
01101,C239,2005_2010
06079,C228,2005_2010
16027,C406,2005_2010
47031,C811,2005_2010
42073,C444,2005_2010
26065,C258,2005_2010
23031,C289,2005_2010
37129,C312,2005_2010
42133,C145,2005_2010
39035,C17,2005_2010
04015,C189,2005_2010
42041,C231,2005_2010
39009,C936,2005_2010
48291,C689,2005_2010
05109,C2192,2005_2010
18019,C498,2005_2010
24037,C679,2005_2010
17031,C2,2005_2010
08035,C654,2005_2010
25023,C117,2005_2010
44003,C282,2005_2010
36047,C9,2005_2010
48183,C396,2005_2010
12055,C343,2005_2010
30049,C906,2005_2010
16001,C220,2005_2010
13113,C770,2005_2010
53033,C21,2005_2010
26119,C1296,2005_2010
15003,C57,2005_2010
39113,C79,2005_2010
48113,C15,2005_2010
55079,C39,2005_2010
47159,C1734,2005_2010
30029,C651,2005_2010
37063,C275,2005_2010
12075,C1057,2005_2010
26161,C253,2005_2010
27053,C41,2005_2010
08001,C10,2005_2010
22009,C1032,2005_2010
06107,C167,2005_2010
40017,C657,2005_2010
22015,C592,2005_2010
01089,C203,2005_2010
16055,C475,2005_2010
17089,C181,2005_2010
05033,C827,2005_2010
13015,C669,2005_2010
26165,C1393,2005_2010
48213,C529,2005_2010
24021,C336,2005_2010
12127,C66,2005_2010
34017,C122,2005_2010
39157,C536,2005_2010
34039,C114,2005_2010
01073,C51,2005_2010
48469,C617,2005_2010
27093,C1718,2005_2010
06013,C54,2005_2010
13069,C1419,2005_2010
06019,C67,2005_2010
39099,C158,2005_2010
25021,C83,2005_2010
26125,C33,2005_2010
01095,C488,2005_2010
40013,C1041,2005_2010
29057,C2171,2005_2010
42083,C884,2005_2010
09009,C44,2005_2010
47149,C356,2005_2010
29021,C494,2005_2010
06081,C103,2005_2010
47179,C401,2005_2010
01057,C1799,2005_2010
36005,C35,2005_2010
42049,C179,2005_2010
29127,C1246,2005_2010
22103,C259,2005_2010
06085,C36,2005_2010
48085,C168,2005_2010
36087,C244,2005_2010
19125,C1334,2005_2010
53057,C471,2005_2010
22073,C334,2005_2010
25013,C107,2005_2010
12103,C22,2005_2010
16005,C816,2005_2010
47157,C46,2005_2010
39171,C1238,2005_2010
35045,C569,2005_2010
17123,C1942,2005_2010
05111,C1300,2005_2010
42061,C957,2005_2010
48079,C2119,2005_2010
20045,C758,2005_2010
29161,C1018,2005_2010
36001,C169,2005_2010
21217,C1562,2005_2010
51059,C97,2005_2010
32003,C19,2005_2010
36063,C217,2005_2010
35049,C517,2005_2010
19013,C439,2005_2010
09003,C42,2005_2010
29510,C146,2005_2010
41007,C1164,2005_2010
50023,C964,2005_2010
12086,C7,2005_2010
05103,C1223,2005_2010
05115,C850,2005_2010
49053,C534,2005_2010
12101,C82,2005_2010
47037,C93,2005_2010
39131,C1252,2005_2010
37133,C562,2005_2010
48217,C1119,2005_2010
06077,C98,2005_2010
06065,C16,2005_2010
42129,C104,2005_2010
42075,C375,2005_2010
28079,C1616,2005_2010
12001,C300,2005_2010
39169,C467,2005_2010
42085,C345,2005_2010
47093,C128,2005_2010
19181,C1096,2005_2010
49047,C1859,2005_2010
06075,C73,2005_2010
