garbage_bin,stratum,stage,total_candidates,kept_n,dropped_n,dropped_classes,kept_classes,support_json,note
g1,Q1|F,after_minpc,19,17,2,a3|a4,a1|a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":13,""a2"":236,""a3"":0,""a4"":3,""a5"":94,""b11"":100,""b12"":14,""b13"":90,""b14"":123,""b15"":187,""b16"":156,""b2"":140,""b31"":76,""b32"":45,""b33"":114,""b4"":162,""b5"":242,""b6"":182,""b7"":756}",AGE_Q×SEX
g1,Q1|F,after_support,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":13,""a2"":236,""a3"":0,""a4"":3,""a5"":94,""b11"":100,""b12"":14,""b13"":90,""b14"":123,""b15"":187,""b16"":156,""b2"":140,""b31"":76,""b32"":45,""b33"":114,""b4"":162,""b5"":242,""b6"":182,""b7"":756}",AGE_Q×SEX
g1,Q1|M,after_minpc,19,16,3,a3|a4|b13,a1|a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":25,""a2"":246,""a3"":0,""a4"":4,""a5"":105,""b11"":102,""b12"":36,""b13"":3,""b14"":154,""b15"":308,""b16"":158,""b2"":163,""b31"":130,""b32"":78,""b33"":186,""b4"":184,""b5"":409,""b6"":175,""b7"":792}",AGE_Q×SEX
g1,Q1|M,after_support,19,16,3,a3|a4|b13,a1|a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":25,""a2"":246,""a3"":0,""a4"":4,""a5"":105,""b11"":102,""b12"":36,""b13"":3,""b14"":154,""b15"":308,""b16"":158,""b2"":163,""b31"":130,""b32"":78,""b33"":186,""b4"":184,""b5"":409,""b6"":175,""b7"":792}",AGE_Q×SEX
g1,Q2|F,after_minpc,19,16,3,a1|a3|a4,a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":3,""a2"":214,""a3"":0,""a4"":0,""a5"":127,""b11"":107,""b12"":12,""b13"":52,""b14"":88,""b15"":132,""b16"":139,""b2"":127,""b31"":125,""b32"":116,""b33"":146,""b4"":238,""b5"":67,""b6"":146,""b7"":691}",AGE_Q×SEX
g1,Q2|F,after_support,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":3,""a2"":214,""a3"":0,""a4"":0,""a5"":127,""b11"":107,""b12"":12,""b13"":52,""b14"":88,""b15"":132,""b16"":139,""b2"":127,""b31"":125,""b32"":116,""b33"":146,""b4"":238,""b5"":67,""b6"":146,""b7"":691}",AGE_Q×SEX
g1,Q2|M,after_minpc,19,15,4,a1|a3|a4|b13,a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":6,""a2"":251,""a3"":0,""a4"":0,""a5"":108,""b11"":146,""b12"":19,""b13"":1,""b14"":142,""b15"":205,""b16"":163,""b2"":132,""b31"":161,""b32"":109,""b33"":163,""b4"":252,""b5"":100,""b6"":178,""b7"":606}",AGE_Q×SEX
g1,Q2|M,after_support,19,14,5,a1|a3|a4|b12|b13,a2|a5|b11|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":6,""a2"":251,""a3"":0,""a4"":0,""a5"":108,""b11"":146,""b12"":19,""b13"":1,""b14"":142,""b15"":205,""b16"":163,""b2"":132,""b31"":161,""b32"":109,""b33"":163,""b4"":252,""b5"":100,""b6"":178,""b7"":606}",AGE_Q×SEX
g1,Q3|F,after_minpc,19,16,3,a1|a3|a4,a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":0,""a2"":302,""a3"":0,""a4"":0,""a5"":155,""b11"":53,""b12"":12,""b13"":31,""b14"":92,""b15"":87,""b16"":79,""b2"":123,""b31"":177,""b32"":121,""b33"":148,""b4"":226,""b5"":32,""b6"":122,""b7"":931}",AGE_Q×SEX
g1,Q3|F,after_support,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":0,""a2"":302,""a3"":0,""a4"":0,""a5"":155,""b11"":53,""b12"":12,""b13"":31,""b14"":92,""b15"":87,""b16"":79,""b2"":123,""b31"":177,""b32"":121,""b33"":148,""b4"":226,""b5"":32,""b6"":122,""b7"":931}",AGE_Q×SEX
g1,Q3|M,after_minpc,19,14,5,a1|a3|a4|b12|b13,a2|a5|b11|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":4,""a2"":272,""a3"":0,""a4"":0,""a5"":120,""b11"":61,""b12"":9,""b13"":0,""b14"":103,""b15"":126,""b16"":127,""b2"":94,""b31"":189,""b32"":94,""b33"":149,""b4"":238,""b5"":24,""b6"":158,""b7"":631}",AGE_Q×SEX
g1,Q3|M,after_support,19,14,5,a1|a3|a4|b12|b13,a2|a5|b11|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":4,""a2"":272,""a3"":0,""a4"":0,""a5"":120,""b11"":61,""b12"":9,""b13"":0,""b14"":103,""b15"":126,""b16"":127,""b2"":94,""b31"":189,""b32"":94,""b33"":149,""b4"":238,""b5"":24,""b6"":158,""b7"":631}",AGE_Q×SEX
g1,Q4|F,after_minpc,19,14,5,a1|a3|a4|b12|b13,a2|a5|b11|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":2,""a2"":426,""a3"":0,""a4"":0,""a5"":247,""b11"":19,""b12"":8,""b13"":9,""b14"":71,""b15"":52,""b16"":62,""b2"":122,""b31"":250,""b32"":150,""b33"":252,""b4"":201,""b5"":13,""b6"":171,""b7"":1152}",AGE_Q×SEX
g1,Q4|F,after_support,19,12,7,a1|a3|a4|b11|b12|b13|b5,a2|a5|b14|b15|b16|b2|b31|b32|b33|b4|b6|b7,"{""a1"":2,""a2"":426,""a3"":0,""a4"":0,""a5"":247,""b11"":19,""b12"":8,""b13"":9,""b14"":71,""b15"":52,""b16"":62,""b2"":122,""b31"":250,""b32"":150,""b33"":252,""b4"":201,""b5"":13,""b6"":171,""b7"":1152}",AGE_Q×SEX
