period,cluster,age_bucket,detail_ucod_age
1999_2006,C1068,0-44,57.515415279706794
1999_2006,C1068,45-64,46.62575595590737
1999_2006,C1068,65-79,46.49126584499463
1999_2006,C1068,80+,52.69057457023171
1999_2006,C1069,0-44,51.274418858959926
1999_2006,C1069,45-64,47.68983593889665
1999_2006,C1069,65-79,49.26281945606044
1999_2006,C1069,80+,53.383230179752005
1999_2006,C107,0-44,63.70498641571015
1999_2006,C107,45-64,55.67518391711276
1999_2006,C107,65-79,50.69100644237595
1999_2006,C107,80+,50.00389507068482
1999_2006,C1070,0-44,48.42780485875078
1999_2006,C1070,45-64,52.07183369570012
1999_2006,C1070,65-79,49.14977861259888
1999_2006,C1070,80+,54.573827175999476
1999_2006,C1071,0-44,53.554962420032254
1999_2006,C1071,45-64,48.3822296031311
1999_2006,C1071,65-79,42.293730309513556
1999_2006,C1071,80+,49.678332624433224
1999_2006,C1072,0-44,53.325280820740836
1999_2006,C1072,45-64,48.81810745055
1999_2006,C1072,65-79,50.046254656652515
1999_2006,C1072,80+,55.03378079324049
1999_2006,C1073,0-44,50.45681234986747
1999_2006,C1073,45-64,51.66858819596187
1999_2006,C1073,65-79,47.67747759668057
1999_2006,C1073,80+,51.03962587176583
1999_2006,C1074,0-44,52.22186365925329
1999_2006,C1074,45-64,51.27385846779665
1999_2006,C1074,65-79,46.66475442333075
1999_2006,C1074,80+,54.539841780163805
1999_2006,C1075,0-44,51.54478636623448
1999_2006,C1075,45-64,48.716578662261036
1999_2006,C1075,65-79,50.82614746706857
1999_2006,C1075,80+,55.45897867784442
1999_2006,C1076,0-44,52.438202901385665
1999_2006,C1076,45-64,50.56976726660607
1999_2006,C1076,65-79,47.726829081417165
1999_2006,C1076,80+,52.755829723732525
1999_2006,C1077,0-44,47.41265260215532
1999_2006,C1077,45-64,48.15107273026098
1999_2006,C1077,65-79,46.76377195959057
1999_2006,C1077,80+,52.46898907282423
1999_2006,C1078,0-44,55.392621164072935
1999_2006,C1078,45-64,53.9494434314398
1999_2006,C1078,65-79,51.4395540803229
1999_2006,C1078,80+,55.197093756750625
1999_2006,C1079,0-44,54.296975250352205
1999_2006,C1079,45-64,53.271880391714994
1999_2006,C1079,65-79,51.12753273146195
1999_2006,C1079,80+,55.9567550869427
1999_2006,C108,0-44,67.99278609153342
1999_2006,C108,45-64,58.71415551365582
1999_2006,C108,65-79,56.06574764351196
1999_2006,C108,80+,59.29721043644317
1999_2006,C1080,0-44,51.82929906380143
1999_2006,C1080,45-64,54.63094717915685
1999_2006,C1080,65-79,50.59962789342836
1999_2006,C1080,80+,56.07499338362504
1999_2006,C1081,0-44,48.63115808340152
1999_2006,C1081,45-64,54.16830095847379
1999_2006,C1081,65-79,50.085631369805235
1999_2006,C1081,80+,56.51424691364745
1999_2006,C1082,0-44,53.455644308482256
1999_2006,C1082,45-64,50.55128071867061
1999_2006,C1082,65-79,46.172173955918204
1999_2006,C1082,80+,52.34077324026174
1999_2006,C1083,0-44,52.86465043390177
1999_2006,C1083,45-64,45.96159595426848
1999_2006,C1083,65-79,47.870174362434206
1999_2006,C1083,80+,51.707430847614425
1999_2006,C1084,0-44,52.05286400169838
1999_2006,C1084,45-64,47.99670274079065
1999_2006,C1084,65-79,46.458442700390776
1999_2006,C1084,80+,52.64644679008953
1999_2006,C1085,0-44,51.392534448035065
1999_2006,C1085,45-64,48.672119210761586
1999_2006,C1085,65-79,48.58923336671304
1999_2006,C1085,80+,51.78007474491326
1999_2006,C1086,0-44,51.386256896637995
1999_2006,C1086,45-64,48.447639411183644
1999_2006,C1086,65-79,47.95482941773796
1999_2006,C1086,80+,52.0078483285454
1999_2006,C1087,0-44,51.13066464770208
1999_2006,C1087,45-64,48.27000914639049
1999_2006,C1087,65-79,48.849063804751445
1999_2006,C1087,80+,50.9064332391514
1999_2006,C1088,0-44,52.61203483222506
1999_2006,C1088,45-64,49.13059536750955
1999_2006,C1088,65-79,48.1871498563643
1999_2006,C1088,80+,51.82860667319676
1999_2006,C1089,0-44,49.857642874791956
1999_2006,C1089,45-64,49.04813954176818
1999_2006,C1089,65-79,47.34120029214157
1999_2006,C1089,80+,52.054233202445296
1999_2006,C109,0-44,61.693739765276796
1999_2006,C109,45-64,54.69150392539127
1999_2006,C109,65-79,51.849474063552144
1999_2006,C109,80+,53.27427124325091
1999_2006,C1090,0-44,53.676546813080236
1999_2006,C1090,45-64,47.628896754797886
1999_2006,C1090,65-79,47.78983568891551
1999_2006,C1090,80+,54.977843230017655
1999_2006,C1091,0-44,53.35198884131683
1999_2006,C1091,45-64,46.35440255143339
1999_2006,C1091,65-79,48.88001130751179
1999_2006,C1091,80+,52.2362565005913
1999_2006,C1092,0-44,49.081417098904666
1999_2006,C1092,45-64,51.35870715807684
1999_2006,C1092,65-79,48.46520343634778
1999_2006,C1092,80+,51.06182394299511
1999_2006,C1093,0-44,54.01758497006843
1999_2006,C1093,45-64,51.11200466251027
1999_2006,C1093,65-79,50.815555833346316
1999_2006,C1093,80+,55.972134541093396
1999_2006,C1094,0-44,52.943946372916884
1999_2006,C1094,45-64,48.45709631907324
1999_2006,C1094,65-79,48.42984910969321
1999_2006,C1094,80+,51.82662558601095
1999_2006,C1095,0-44,48.90595208689674
1999_2006,C1095,45-64,48.218246200157004
1999_2006,C1095,65-79,46.41808709111659
1999_2006,C1095,80+,48.59091713373622
1999_2006,C1096,0-44,48.34515680372197
1999_2006,C1096,45-64,48.45894955941675
1999_2006,C1096,65-79,49.277432575605886
1999_2006,C1096,80+,51.018911829212804
1999_2006,C1097,0-44,51.71218341283004
1999_2006,C1097,45-64,46.98155590250845
1999_2006,C1097,65-79,47.835378044903734
1999_2006,C1097,80+,49.68661394039203
1999_2006,C1098,0-44,50.0572514810917
1999_2006,C1098,45-64,46.91559689603404
1999_2006,C1098,65-79,47.12057208893305
1999_2006,C1098,80+,50.97640230554668
1999_2006,C1099,0-44,53.304884387623424
1999_2006,C1099,45-64,46.38417997771428
1999_2006,C1099,65-79,47.35734677828039
1999_2006,C1099,80+,53.132876169588386
1999_2006,C11,0-44,66.35540796095958
1999_2006,C11,45-64,59.41364255914352
1999_2006,C11,65-79,52.2802342965249
1999_2006,C11,80+,52.24625271462368
1999_2006,C110,0-44,68.90067116373388
1999_2006,C110,45-64,60.840666336738195
1999_2006,C110,65-79,56.3722679844827
1999_2006,C110,80+,59.68263790972976
1999_2006,C1100,0-44,46.45220201179956
1999_2006,C1100,45-64,46.90793096722044
1999_2006,C1100,65-79,45.87806987011043
1999_2006,C1100,80+,51.510182115245634
1999_2006,C1101,0-44,52.966161330923946
1999_2006,C1101,45-64,50.98257272992975
1999_2006,C1101,65-79,49.35551761957302
1999_2006,C1101,80+,52.74529180536979
1999_2006,C1102,0-44,54.14804797566049
1999_2006,C1102,45-64,52.23981626253782
1999_2006,C1102,65-79,44.91595145200595
1999_2006,C1102,80+,48.36763719218122
1999_2006,C1103,0-44,46.98558913108652
1999_2006,C1103,45-64,47.651833898308304
1999_2006,C1103,65-79,46.273695091696624
1999_2006,C1103,80+,51.30665221792088
1999_2006,C1104,0-44,53.19914582318765
1999_2006,C1104,45-64,52.009612290242885
1999_2006,C1104,65-79,48.547126209121565
1999_2006,C1104,80+,56.04494291891095
1999_2006,C1105,0-44,50.16412415871277
1999_2006,C1105,45-64,51.25599261565068
1999_2006,C1105,65-79,50.871514084845685
1999_2006,C1105,80+,53.15659623808909
1999_2006,C1106,0-44,50.68775270153018
1999_2006,C1106,45-64,52.77512263027557
1999_2006,C1106,65-79,49.57070259276905
1999_2006,C1106,80+,54.22682455524794
1999_2006,C1107,0-44,52.99681086022874
1999_2006,C1107,45-64,48.37984988243328
1999_2006,C1107,65-79,46.102540683492464
1999_2006,C1107,80+,50.87117754761491
1999_2006,C1108,0-44,54.270755709024016
1999_2006,C1108,45-64,50.57252675710655
1999_2006,C1108,65-79,49.608006019893566
1999_2006,C1108,80+,55.043505240275614
1999_2006,C1109,0-44,55.82645590635442
1999_2006,C1109,45-64,52.33713476474288
1999_2006,C1109,65-79,49.27429579653394
1999_2006,C1109,80+,54.989826915116
1999_2006,C111,0-44,68.81541271672805
1999_2006,C111,45-64,60.8451776197783
1999_2006,C111,65-79,53.60039612512685
1999_2006,C111,80+,60.003385261121146
1999_2006,C1110,0-44,52.643292287777136
1999_2006,C1110,45-64,48.47632374915707
1999_2006,C1110,65-79,48.92778775417534
1999_2006,C1110,80+,54.92319749062997
1999_2006,C1111,0-44,51.94685548827066
1999_2006,C1111,45-64,48.352851703705376
1999_2006,C1111,65-79,49.90768889759375
1999_2006,C1111,80+,52.52407677834139
1999_2006,C1112,0-44,46.66876580322795
1999_2006,C1112,45-64,47.71685501808704
1999_2006,C1112,65-79,48.25615073189835
1999_2006,C1112,80+,51.29639316439936
1999_2006,C1113,0-44,52.99489146309897
1999_2006,C1113,45-64,50.09294864250693
1999_2006,C1113,65-79,48.044072983510965
1999_2006,C1113,80+,52.1423277389164
1999_2006,C1114,0-44,57.96886583612918
1999_2006,C1114,45-64,56.732762702075426
1999_2006,C1114,65-79,55.47342358131445
1999_2006,C1114,80+,60.96606365788003
1999_2006,C1115,0-44,50.02659411673449
1999_2006,C1115,45-64,49.11329491124605
1999_2006,C1115,65-79,49.42713449323762
1999_2006,C1115,80+,53.090923989165525
1999_2006,C1116,0-44,54.2964238019352
1999_2006,C1116,45-64,50.23162503562601
1999_2006,C1116,65-79,50.642217422955156
1999_2006,C1116,80+,53.221088448835964
1999_2006,C1117,0-44,49.20710330615058
1999_2006,C1117,45-64,46.49185113869779
1999_2006,C1117,65-79,47.96979224706955
1999_2006,C1117,80+,49.887775839640426
1999_2006,C1118,0-44,53.79284971473667
1999_2006,C1118,45-64,50.610517959587135
1999_2006,C1118,65-79,49.58013140223447
1999_2006,C1118,80+,52.50752739020104
1999_2006,C1119,0-44,50.482914951589706
1999_2006,C1119,45-64,53.05642144832484
1999_2006,C1119,65-79,49.73368885266331
1999_2006,C1119,80+,55.69967348525725
1999_2006,C112,0-44,64.41829715149716
1999_2006,C112,45-64,56.70677209921934
1999_2006,C112,65-79,53.20652634641694
1999_2006,C112,80+,54.58121100861637
1999_2006,C1120,0-44,54.55045208514627
1999_2006,C1120,45-64,48.54267068606664
1999_2006,C1120,65-79,47.457746239526934
1999_2006,C1120,80+,50.92802196172466
1999_2006,C1121,0-44,52.379592097079154
1999_2006,C1121,45-64,47.56587024550665
1999_2006,C1121,65-79,48.95408676715544
1999_2006,C1121,80+,51.448154320322004
1999_2006,C1122,0-44,47.246224401103525
1999_2006,C1122,45-64,46.504681631761954
1999_2006,C1122,65-79,50.46094585755398
1999_2006,C1122,80+,53.74878071580893
1999_2006,C1123,0-44,54.39302009038307
1999_2006,C1123,45-64,47.91763574606104
1999_2006,C1123,65-79,43.92052798405141
1999_2006,C1123,80+,50.33644964806572
1999_2006,C1124,0-44,50.8743321489593
1999_2006,C1124,45-64,47.847321692965515
1999_2006,C1124,65-79,50.627963565232356
1999_2006,C1124,80+,53.670220900177135
1999_2006,C1125,0-44,53.91999301362914
1999_2006,C1125,45-64,53.96690955388834
1999_2006,C1125,65-79,47.88952156031591
1999_2006,C1125,80+,53.557076421992996
1999_2006,C1126,0-44,51.36777304404035
1999_2006,C1126,45-64,49.06550626756712
1999_2006,C1126,65-79,48.00526102113404
1999_2006,C1126,80+,52.85007158765959
1999_2006,C1127,0-44,49.585286912212375
1999_2006,C1127,45-64,44.47039197840229
1999_2006,C1127,65-79,47.28624221901795
1999_2006,C1127,80+,49.037965437695206
1999_2006,C1128,0-44,49.4468053103258
1999_2006,C1128,45-64,50.46189672958306
1999_2006,C1128,65-79,48.077109998797255
1999_2006,C1128,80+,55.68727022268797
1999_2006,C1129,0-44,51.13310846964858
1999_2006,C1129,45-64,51.396779922003354
1999_2006,C1129,65-79,49.17338322203139
1999_2006,C1129,80+,53.69758207882424
1999_2006,C113,0-44,65.54165266916112
1999_2006,C113,45-64,57.28990872224609
1999_2006,C113,65-79,52.81778164700472
1999_2006,C113,80+,55.73192877536358
1999_2006,C1130,0-44,51.843248689404696
1999_2006,C1130,45-64,47.73719898774174
1999_2006,C1130,65-79,51.33235525968687
1999_2006,C1130,80+,53.71874152825103
1999_2006,C1131,0-44,45.59235607161562
1999_2006,C1131,45-64,52.25109436054182
1999_2006,C1131,65-79,47.71276185999945
1999_2006,C1131,80+,53.01282159973295
1999_2006,C1132,0-44,52.89707415153922
1999_2006,C1132,45-64,51.92011637238634
1999_2006,C1132,65-79,48.85145001457591
1999_2006,C1132,80+,54.16096028181621
1999_2006,C1133,0-44,49.77893195238879
1999_2006,C1133,45-64,48.35199011713233
1999_2006,C1133,65-79,48.09899265916954
1999_2006,C1133,80+,51.09749615705865
1999_2006,C1134,0-44,52.82122534534006
1999_2006,C1134,45-64,54.58603363364625
1999_2006,C1134,65-79,49.34406316691537
1999_2006,C1134,80+,58.36858909092131
1999_2006,C1135,0-44,56.81324736054476
1999_2006,C1135,45-64,51.926843129000865
1999_2006,C1135,65-79,51.44874844936703
1999_2006,C1135,80+,57.90282267103604
1999_2006,C1136,0-44,54.933390498904295
1999_2006,C1136,45-64,49.15905675380582
1999_2006,C1136,65-79,47.888094338786686
1999_2006,C1136,80+,53.07970966335098
1999_2006,C1137,0-44,52.62892594006204
1999_2006,C1137,45-64,50.03152985670519
1999_2006,C1137,65-79,51.71718362382068
1999_2006,C1137,80+,54.753343892259714
1999_2006,C1138,0-44,53.70142242662393
1999_2006,C1138,45-64,49.245637934430626
1999_2006,C1138,65-79,47.77373698729539
1999_2006,C1138,80+,53.43660584076655
1999_2006,C1139,0-44,54.44935159518247
1999_2006,C1139,45-64,46.86570391110009
1999_2006,C1139,65-79,48.50139398705503
1999_2006,C1139,80+,54.01475045238745
1999_2006,C114,0-44,65.15709311528815
1999_2006,C114,45-64,57.102762123784416
1999_2006,C114,65-79,53.534663528607254
1999_2006,C114,80+,55.347056183183206
1999_2006,C1140,0-44,46.52543961673119
1999_2006,C1140,45-64,50.7300036989958
1999_2006,C1140,65-79,50.38170034646943
1999_2006,C1140,80+,55.647448043717795
1999_2006,C1141,0-44,50.41048723108095
1999_2006,C1141,45-64,49.90033291276891
1999_2006,C1141,65-79,48.97263785669353
1999_2006,C1141,80+,50.74485585850565
1999_2006,C1142,0-44,45.417261690598444
1999_2006,C1142,45-64,47.49778828296372
1999_2006,C1142,65-79,46.01278397791244
