garbage_bin,stratum,stage,total_candidates,kept_n,dropped_n,dropped_classes,kept_classes,support_json,note
g1,Q1|F,after_minpc,19,17,2,a3|a4,a1|a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":13,""a2"":253,""a3"":0,""a4"":8,""a5"":103,""b11"":95,""b12"":19,""b13"":99,""b14"":100,""b15"":195,""b16"":146,""b2"":122,""b31"":82,""b32"":50,""b33"":128,""b4"":182,""b5"":232,""b6"":159,""b7"":782}",AGE_Q×SEX
g1,Q1|F,after_support,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":13,""a2"":253,""a3"":0,""a4"":8,""a5"":103,""b11"":95,""b12"":19,""b13"":99,""b14"":100,""b15"":195,""b16"":146,""b2"":122,""b31"":82,""b32"":50,""b33"":128,""b4"":182,""b5"":232,""b6"":159,""b7"":782}",AGE_Q×SEX
g1,Q1|M,after_minpc,19,16,3,a3|a4|b13,a1|a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":33,""a2"":287,""a3"":0,""a4"":3,""a5"":112,""b11"":137,""b12"":36,""b13"":0,""b14"":162,""b15"":276,""b16"":157,""b2"":148,""b31"":101,""b32"":82,""b33"":201,""b4"":206,""b5"":436,""b6"":177,""b7"":742}",AGE_Q×SEX
g1,Q1|M,after_support,19,16,3,a3|a4|b13,a1|a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":33,""a2"":287,""a3"":0,""a4"":3,""a5"":112,""b11"":137,""b12"":36,""b13"":0,""b14"":162,""b15"":276,""b16"":157,""b2"":148,""b31"":101,""b32"":82,""b33"":201,""b4"":206,""b5"":436,""b6"":177,""b7"":742}",AGE_Q×SEX
g1,Q2|F,after_minpc,19,16,3,a1|a3|a4,a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":2,""a2"":230,""a3"":0,""a4"":0,""a5"":115,""b11"":97,""b12"":13,""b13"":34,""b14"":101,""b15"":138,""b16"":110,""b2"":125,""b31"":138,""b32"":94,""b33"":172,""b4"":243,""b5"":71,""b6"":176,""b7"":740}",AGE_Q×SEX
g1,Q2|F,after_support,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":2,""a2"":230,""a3"":0,""a4"":0,""a5"":115,""b11"":97,""b12"":13,""b13"":34,""b14"":101,""b15"":138,""b16"":110,""b2"":125,""b31"":138,""b32"":94,""b33"":172,""b4"":243,""b5"":71,""b6"":176,""b7"":740}",AGE_Q×SEX
g1,Q2|M,after_minpc,19,15,4,a1|a3|a4|b13,a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":1,""a2"":288,""a3"":0,""a4"":0,""a5"":117,""b11"":155,""b12"":31,""b13"":1,""b14"":132,""b15"":223,""b16"":187,""b2"":117,""b31"":183,""b32"":108,""b33"":161,""b4"":255,""b5"":83,""b6"":159,""b7"":641}",AGE_Q×SEX
g1,Q2|M,after_support,19,15,4,a1|a3|a4|b13,a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":1,""a2"":288,""a3"":0,""a4"":0,""a5"":117,""b11"":155,""b12"":31,""b13"":1,""b14"":132,""b15"":223,""b16"":187,""b2"":117,""b31"":183,""b32"":108,""b33"":161,""b4"":255,""b5"":83,""b6"":159,""b7"":641}",AGE_Q×SEX
g1,Q3|F,after_minpc,19,16,3,a1|a3|a4,a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":4,""a2"":240,""a3"":0,""a4"":0,""a5"":159,""b11"":48,""b12"":17,""b13"":25,""b14"":72,""b15"":88,""b16"":86,""b2"":105,""b31"":163,""b32"":111,""b33"":161,""b4"":207,""b5"":23,""b6"":157,""b7"":833}",AGE_Q×SEX
g1,Q3|F,after_support,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":4,""a2"":240,""a3"":0,""a4"":0,""a5"":159,""b11"":48,""b12"":17,""b13"":25,""b14"":72,""b15"":88,""b16"":86,""b2"":105,""b31"":163,""b32"":111,""b33"":161,""b4"":207,""b5"":23,""b6"":157,""b7"":833}",AGE_Q×SEX
g1,Q3|M,after_minpc,19,15,4,a1|a3|a4|b13,a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":5,""a2"":279,""a3"":0,""a4"":0,""a5"":143,""b11"":77,""b12"":14,""b13"":0,""b14"":92,""b15"":129,""b16"":129,""b2"":79,""b31"":167,""b32"":104,""b33"":132,""b4"":239,""b5"":23,""b6"":144,""b7"":542}",AGE_Q×SEX
g1,Q3|M,after_support,19,14,5,a1|a3|a4|b12|b13,a2|a5|b11|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":5,""a2"":279,""a3"":0,""a4"":0,""a5"":143,""b11"":77,""b12"":14,""b13"":0,""b14"":92,""b15"":129,""b16"":129,""b2"":79,""b31"":167,""b32"":104,""b33"":132,""b4"":239,""b5"":23,""b6"":144,""b7"":542}",AGE_Q×SEX
g1,Q4|F,after_minpc,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":1,""a2"":414,""a3"":0,""a4"":0,""a5"":256,""b11"":16,""b12"":3,""b13"":17,""b14"":61,""b15"":57,""b16"":58,""b2"":116,""b31"":200,""b32"":150,""b33"":226,""b4"":182,""b5"":11,""b6"":179,""b7"":1173}",AGE_Q×SEX
g1,Q4|F,after_support,19,12,7,a1|a3|a4|b11|b12|b13|b5,a2|a5|b14|b15|b16|b2|b31|b32|b33|b4|b6|b7,"{""a1"":1,""a2"":414,""a3"":0,""a4"":0,""a5"":256,""b11"":16,""b12"":3,""b13"":17,""b14"":61,""b15"":57,""b16"":58,""b2"":116,""b31"":200,""b32"":150,""b33"":226,""b4"":182,""b5"":11,""b6"":179,""b7"":1173}",AGE_Q×SEX
g1,Q4|M,after_minpc,19,13,6,a1|a3|a4|b12|b13|b5,a2|a5|b11|b14|b15|b16|b2|b31|b32|b33|b4|b6|b7,"{""a1"":4,""a2"":290,""a3"":0,""a4"":0,""a5"":130,""b11"":20,""b12"":4,""b13"":1,""b14"":43,""b15"":45,""b16"":107,""b2"":63,""b31"":162,""b32"":67,""b33"":116,""b4"":177,""b5"":9,""b6"":85,""b7"":548}",AGE_Q×SEX
g1,Q4|M,after_support,19,13,6,a1|a3|a4|b12|b13|b5,a2|a5|b11|b14|b15|b16|b2|b31|b32|b33|b4|b6|b7,"{""a1"":4,""a2"":290,""a3"":0,""a4"":0,""a5"":130,""b11"":20,""b12"":4,""b13"":1,""b14"":43,""b15"":45,""b16"":107,""b2"":63,""b31"":162,""b32"":67,""b33"":116,""b4"":177,""b5"":9,""b6"":85,""b7"":548}",AGE_Q×SEX
g2,Q1|F,after_minpc,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":438,""b31"":1375,""b32"":111,""b33"":997,""b4"":811,""b5"":81,""b6"":192,""b7"":419}",AGE_Q×SEX
g2,Q1|F,after_support,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":438,""b31"":1375,""b32"":111,""b33"":997,""b4"":811,""b5"":81,""b6"":192,""b7"":419}",AGE_Q×SEX
g2,Q1|M,after_minpc,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":527,""b31"":2522,""b32"":122,""b33"":1116,""b4"":862,""b5"":137,""b6"":246,""b7"":406}",AGE_Q×SEX
g2,Q1|M,after_support,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":527,""b31"":2522,""b32"":122,""b33"":1116,""b4"":862,""b5"":137,""b6"":246,""b7"":406}",AGE_Q×SEX
g2,Q2|F,after_minpc,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":308,""b31"":1916,""b32"":184,""b33"":1209,""b4"":788,""b5"":25,""b6"":197,""b7"":310}",AGE_Q×SEX
g2,Q2|F,after_support,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":308,""b31"":1916,""b32"":184,""b33"":1209,""b4"":788,""b5"":25,""b6"":197,""b7"":310}",AGE_Q×SEX
g2,Q2|M,after_minpc,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":284,""b31"":2306,""b32"":115,""b33"":761,""b4"":819,""b5"":25,""b6"":208,""b7"":253}",AGE_Q×SEX
g2,Q2|M,after_support,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":284,""b31"":2306,""b32"":115,""b33"":761,""b4"":819,""b5"":25,""b6"":208,""b7"":253}",AGE_Q×SEX
g2,Q3|F,after_minpc,8,7,1,b5,b2|b31|b32|b33|b4|b6|b7,"{""b2"":217,""b31"":1989,""b32"":162,""b33"":1285,""b4"":505,""b5"":8,""b6"":158,""b7"":234}",AGE_Q×SEX
g2,Q3|F,after_support,8,7,1,b5,b2|b31|b32|b33|b4|b6|b7,"{""b2"":217,""b31"":1989,""b32"":162,""b33"":1285,""b4"":505,""b5"":8,""b6"":158,""b7"":234}",AGE_Q×SEX
g2,Q3|M,after_minpc,8,7,1,b5,b2|b31|b32|b33|b4|b6|b7,"{""b2"":123,""b31"":1574,""b32"":82,""b33"":681,""b4"":363,""b5"":6,""b6"":145,""b7"":173}",AGE_Q×SEX
g2,Q3|M,after_support,8,7,1,b5,b2|b31|b32|b33|b4|b6|b7,"{""b2"":123,""b31"":1574,""b32"":82,""b33"":681,""b4"":363,""b5"":6,""b6"":145,""b7"":173}",AGE_Q×SEX
g2,Q4|F,after_minpc,8,7,1,b5,b2|b31|b32|b33|b4|b6|b7,"{""b2"":158,""b31"":2253,""b32"":205,""b33"":1565,""b4"":401,""b5"":7,""b6"":132,""b7"":291}",AGE_Q×SEX
g2,Q4|F,after_support,8,7,1,b5,b2|b31|b32|b33|b4|b6|b7,"{""b2"":158,""b31"":2253,""b32"":205,""b33"":1565,""b4"":401,""b5"":7,""b6"":132,""b7"":291}",AGE_Q×SEX
g2,Q4|M,after_minpc,8,7,1,b5,b2|b31|b32|b33|b4|b6|b7,"{""b2"":65,""b31"":1078,""b32"":63,""b33"":570,""b4"":232,""b5"":2,""b6"":94,""b7"":118}",AGE_Q×SEX
g2,Q4|M,after_support,8,7,1,b5,b2|b31|b32|b33|b4|b6|b7,"{""b2"":65,""b31"":1078,""b32"":63,""b33"":570,""b4"":232,""b5"":2,""b6"":94,""b7"":118}",AGE_Q×SEX
g4,Q1|F,after_minpc,22,16,6,a1|a3|a4|b12|c21|c22,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7|c12,"{""a1"":4,""a2"":22,""a3"":0,""a4"":7,""a5"":35,""b11"":40,""b12"":6,""b13"":26,""b14"":33,""b15"":22,""b16"":60,""b2"":40,""b31"":41,""b32"":20,""b33"":48,""b4"":45,""b5"":43,""b6"":83,""b7"":126,""c12"":12,""c21"":0,""c22"":0}",AGE_Q×SEX
