fips,cluster,period
05103,C1189,1999_2004
48031,C119,1999_2004
48453,C119,1999_2004
28009,C1190,1999_2004
28093,C1190,1999_2004
29029,C1191,1999_2004
18071,C1192,1999_2004
29009,C1193,1999_2004
32019,C1194,1999_2004
48097,C1195,1999_2004
56013,C1196,1999_2004
18055,C1197,1999_2004
47131,C1198,1999_2004
41007,C1199,1999_2004
36081,C12,1999_2004
13089,C120,1999_2004
45087,C1200,1999_2004
02068,C1201,1999_2004
02090,C1201,1999_2004
02240,C1201,1999_2004
35009,C1202,1999_2004
48017,C1202,1999_2004
48369,C1202,1999_2004
37111,C1203,1999_2004
50011,C1204,1999_2004
42103,C1205,1999_2004
55019,C1206,1999_2004
01001,C1207,1999_2004
18051,C1208,1999_2004
40015,C1209,1999_2004
40149,C1209,1999_2004
27123,C121,1999_2004
01079,C1210,1999_2004
20079,C1211,1999_2004
53047,C1212,1999_2004
24035,C1213,1999_2004
37165,C1214,1999_2004
18033,C1215,1999_2004
13261,C1216,1999_2004
23015,C1217,1999_2004
13277,C1218,1999_2004
31003,C1219,1999_2004
31011,C1219,1999_2004
31119,C1219,1999_2004
01097,C122,1999_2004
39079,C1220,1999_2004
27005,C1221,1999_2004
28027,C1222,1999_2004
26035,C1223,1999_2004
45027,C1224,1999_2004
05107,C1225,1999_2004
21121,C1226,1999_2004
29127,C1227,1999_2004
29205,C1227,1999_2004
23027,C1228,1999_2004
21157,C1229,1999_2004
26049,C123,1999_2004
30031,C1230,1999_2004
40081,C1231,1999_2004
20113,C1232,1999_2004
21029,C1233,1999_2004
39107,C1234,1999_2004
42119,C1235,1999_2004
05123,C1236,1999_2004
27017,C1237,1999_2004
41015,C1238,1999_2004
47071,C1239,1999_2004
06097,C124,1999_2004
48149,C1240,1999_2004
48419,C1241,1999_2004
48477,C1242,1999_2004
28107,C1243,1999_2004
37175,C1244,1999_2004
05059,C1245,1999_2004
37117,C1246,1999_2004
39053,C1247,1999_2004
39051,C1248,1999_2004
40133,C1249,1999_2004
39151,C125,1999_2004
48189,C1250,1999_2004
55045,C1251,1999_2004
13293,C1252,1999_2004
55083,C1253,1999_2004
19099,C1254,1999_2004
24011,C1255,1999_2004
26033,C1256,1999_2004
39097,C1257,1999_2004
22089,C1258,1999_2004
37197,C1259,1999_2004
20173,C126,1999_2004
39047,C1260,1999_2004
51035,C1261,1999_2004
51640,C1261,1999_2004
22061,C1262,1999_2004
35039,C1263,1999_2004
45067,C1264,1999_2004
29113,C1265,1999_2004
51167,C1266,1999_2004
54083,C1267,1999_2004
17203,C1268,1999_2004
22011,C1269,1999_2004
17097,C127,1999_2004
45033,C1270,1999_2004
48099,C1271,1999_2004
47025,C1272,1999_2004
47185,C1273,1999_2004
54059,C1274,1999_2004
08029,C1275,1999_2004
31101,C1276,1999_2004
31111,C1276,1999_2004
13137,C1277,1999_2004
16017,C1278,1999_2004
17107,C1279,1999_2004
42011,C128,1999_2004
21035,C1280,1999_2004
22115,C1281,1999_2004
27041,C1282,1999_2004
51175,C1283,1999_2004
51183,C1283,1999_2004
22095,C1284,1999_2004
27009,C1285,1999_2004
32005,C1286,1999_2004
37059,C1287,1999_2004
45023,C1288,1999_2004
26007,C1289,1999_2004
26119,C1289,1999_2004
47093,C129,1999_2004
47173,C129,1999_2004
18077,C1290,1999_2004
18133,C1291,1999_2004
21113,C1292,1999_2004
48397,C1293,1999_2004
26107,C1294,1999_2004
16059,C1295,1999_2004
16085,C1295,1999_2004
30081,C1295,1999_2004
47109,C1296,1999_2004
47115,C1297,1999_2004
18041,C1298,1999_2004
51105,C1299,1999_2004
08001,C13,1999_2004
06043,C130,1999_2004
06099,C130,1999_2004
40083,C1300,1999_2004
48325,C1301,1999_2004
51047,C1302,1999_2004
36099,C1303,1999_2004
37039,C1304,1999_2004
54009,C1305,1999_2004
19181,C1306,1999_2004
29101,C1307,1999_2004
17007,C1308,1999_2004
18103,C1309,1999_2004
36085,C131,1999_2004
28043,C1310,1999_2004
29027,C1311,1999_2004
08085,C1312,1999_2004
27019,C1313,1999_2004
29083,C1314,1999_2004
36095,C1315,1999_2004
39001,C1316,1999_2004
21049,C1317,1999_2004
22053,C1318,1999_2004
47055,C1319,1999_2004
31055,C132,1999_2004
51169,C1320,1999_2004
01061,C1321,1999_2004
42109,C1322,1999_2004
48363,C1323,1999_2004
01109,C1324,1999_2004
22031,C1325,1999_2004
54057,C1326,1999_2004
05111,C1327,1999_2004
17093,C1328,1999_2004
20099,C1329,1999_2004
34005,C133,1999_2004
29105,C1330,1999_2004
55069,C1331,1999_2004
17027,C1332,1999_2004
48249,C1333,1999_2004
21133,C1334,1999_2004
45069,C1335,1999_2004
02122,C1336,1999_2004
02150,C1336,1999_2004
48013,C1337,1999_2004
54077,C1338,1999_2004
24023,C1339,1999_2004
12083,C134,1999_2004
28065,C1340,1999_2004
28091,C1340,1999_2004
48171,C1341,1999_2004
05027,C1342,1999_2004
16011,C1343,1999_2004
35017,C1344,1999_2004
54109,C1345,1999_2004
20009,C1346,1999_2004
17063,C1347,1999_2004
18027,C1348,1999_2004
27025,C1349,1999_2004
27065,C1349,1999_2004
16009,C135,1999_2004
53063,C135,1999_2004
51197,C1350,1999_2004
54035,C1351,1999_2004
13087,C1352,1999_2004
55029,C1353,1999_2004
28099,C1354,1999_2004
39039,C1355,1999_2004
21179,C1356,1999_2004
21229,C1356,1999_2004
31019,C1357,1999_2004
31099,C1357,1999_2004
39131,C1358,1999_2004
18001,C1359,1999_2004
24003,C136,1999_2004
20161,C1360,1999_2004
22047,C1361,1999_2004
29167,C1362,1999_2004
37099,C1363,1999_2004
48465,C1364,1999_2004
28133,C1365,1999_2004
28163,C1366,1999_2004
08037,C1367,1999_2004
08045,C1367,1999_2004
08065,C1367,1999_2004
26105,C1368,1999_2004
27007,C1369,1999_2004
34027,C137,1999_2004
29209,C1370,1999_2004
51187,C1371,1999_2004
47077,C1372,1999_2004
19125,C1373,1999_2004
29215,C1374,1999_2004
51009,C1375,1999_2004
21085,C1376,1999_2004
41065,C1377,1999_2004
48179,C1378,1999_2004
26051,C1379,1999_2004
37081,C138,1999_2004
37189,C1380,1999_2004
39159,C1381,1999_2004
18061,C1382,1999_2004
23023,C1383,1999_2004
54053,C1384,1999_2004
54067,C1385,1999_2004
55123,C1386,1999_2004
13257,C1387,1999_2004
26101,C1388,1999_2004
27085,C1389,1999_2004
37183,C139,1999_2004
39065,C1390,1999_2004
27021,C1391,1999_2004
39127,C1392,1999_2004
47097,C1393,1999_2004
28073,C1394,1999_2004
31001,C1395,1999_2004
31035,C1395,1999_2004
37003,C1396,1999_2004
39137,C1397,1999_2004
19049,C1398,1999_2004
26043,C1399,1999_2004
42003,C14,1999_2004
12081,C140,1999_2004
47143,C1400,1999_2004
01005,C1401,1999_2004
27097,C1402,1999_2004
28127,C1403,1999_2004
01133,C1404,1999_2004
13147,C1405,1999_2004
26109,C1406,1999_2004
39161,C1407,1999_2004
51163,C1408,1999_2004
51678,C1408,1999_2004
54005,C1409,1999_2004
42133,C141,1999_2004
17049,C1410,1999_2004
28007,C1411,1999_2004
48015,C1412,1999_2004
49003,C1413,1999_2004
22041,C1414,1999_2004
28029,C1415,1999_2004
53031,C1416,1999_2004
02170,C1417,1999_2004
40039,C1418,1999_2004
40045,C1418,1999_2004
40129,C1418,1999_2004
48143,C1419,1999_2004
05105,C142,1999_2004
05119,C142,1999_2004
01013,C1420,1999_2004
01019,C1421,1999_2004
13279,C1422,1999_2004
29175,C1423,1999_2004
51775,C1424,1999_2004
55121,C1425,1999_2004
20111,C1426,1999_2004
26165,C1427,1999_2004
37007,C1428,1999_2004
05023,C1429,1999_2004
22033,C143,1999_2004
22091,C143,1999_2004
29195,C1430,1999_2004
21043,C1431,1999_2004
37009,C1432,1999_2004
48225,C1433,1999_2004
48337,C1434,1999_2004
12027,C1435,1999_2004
21021,C1436,1999_2004
01087,C1437,1999_2004
21211,C1438,1999_2004
26031,C1439,1999_2004
45045,C144,1999_2004
41057,C1440,1999_2004
48285,C1441,1999_2004
51073,C1442,1999_2004
51115,C1442,1999_2004
12051,C1443,1999_2004
20107,C1444,1999_2004
20121,C1444,1999_2004
27015,C1445,1999_2004
39073,C1446,1999_2004
50005,C1447,1999_2004
13179,C1448,1999_2004
21193,C1449,1999_2004
13067,C145,1999_2004
48055,C1450,1999_2004
01091,C1451,1999_2004
13143,C1452,1999_2004
53049,C1453,1999_2004
56033,C1454,1999_2004
05019,C1455,1999_2004
05109,C1455,1999_2004
40065,C1456,1999_2004
01025,C1457,1999_2004
13055,C1458,1999_2004
13103,C1459,1999_2004
13083,C146,1999_2004
47065,C146,1999_2004
47121,C146,1999_2004
47153,C146,1999_2004
18021,C1460,1999_2004
19015,C1461,1999_2004
48331,C1462,1999_2004
06069,C1463,1999_2004
37091,C1464,1999_2004
47021,C1465,1999_2004
18183,C1466,1999_2004
21183,C1467,1999_2004
45039,C1468,1999_2004
48449,C1469,1999_2004
42029,C147,1999_2004
12007,C1470,1999_2004
13189,C1471,1999_2004
51027,C1472,1999_2004
51093,C1473,1999_2004
54097,C1474,1999_2004
13305,C1475,1999_2004
51137,C1476,1999_2004
53021,C1477,1999_2004
01099,C1478,1999_2004
21141,C1479,1999_2004
08041,C148,1999_2004
48293,C1480,1999_2004
28057,C1481,1999_2004
48007,C1482,1999_2004
01107,C1483,1999_2004
18151,C1484,1999_2004
24039,C1485,1999_2004
26129,C1486,1999_2004
37055,C1487,1999_2004
48133,C1488,1999_2004
51670,C1489,1999_2004
42077,C149,1999_2004
55033,C1490,1999_2004
05003,C1491,1999_2004
18181,C1492,1999_2004
22085,C1493,1999_2004
26047,C1494,1999_2004
29007,C1495,1999_2004
48185,C1496,1999_2004
17045,C1497,1999_2004
21115,C1498,1999_2004
27147,C1499,1999_2004
39035,C15,1999_2004
39099,C150,1999_2004
39075,C1500,1999_2004
19027,C1501,1999_2004
28115,C1502,1999_2004
28123,C1503,1999_2004
29131,C1504,1999_2004
37149,C1505,1999_2004
47047,C1506,1999_2004
23007,C1507,1999_2004
27045,C1508,1999_2004
48365,C1509,1999_2004
17197,C151,1999_2004
28071,C1510,1999_2004
28139,C1511,1999_2004
31067,C1512,1999_2004
48123,C1513,1999_2004
17109,C1514,1999_2004
28137,C1515,1999_2004
28141,C1516,1999_2004
37131,C1517,1999_2004
48299,C1518,1999_2004
21217,C1519,1999_2004
12069,C152,1999_2004
27115,C1520,1999_2004
28105,C1521,1999_2004
48427,C1522,1999_2004
56037,C1523,1999_2004
18179,C1524,1999_2004
40009,C1525,1999_2004
40091,C1526,1999_2004
48473,C1527,1999_2004
05057,C1528,1999_2004
29055,C1529,1999_2004
06083,C153,1999_2004
39117,C1530,1999_2004
40087,C1531,1999_2004
13205,C1532,1999_2004
39069,C1533,1999_2004
42131,C1534,1999_2004
05001,C1535,1999_2004
17173,C1536,1999_2004
55057,C1537,1999_2004
05083,C1538,1999_2004
17145,C1539,1999_2004
34021,C154,1999_2004
18175,C1540,1999_2004
39105,C1541,1999_2004
05113,C1542,1999_2004
26053,C1543,1999_2004
55051,C1543,1999_2004
39019,C1544,1999_2004
47069,C1545,1999_2004
04009,C1546,1999_2004
13081,C1547,1999_2004
29225,C1548,1999_2004
48035,C1549,1999_2004
36001,C155,1999_2004
51139,C1550,1999_2004
51520,C1551,1999_2004
22111,C1552,1999_2004
28079,C1553,1999_2004
47117,C1554,1999_2004
20191,C1555,1999_2004
28117,C1556,1999_2004
37015,C1557,1999_2004
13213,C1558,1999_2004
29169,C1559,1999_2004
12033,C156,1999_2004
18143,C1560,1999_2004
21137,C1561,1999_2004
22083,C1562,1999_2004
20057,C1563,1999_2004
20069,C1563,1999_2004
29155,C1564,1999_2004
30047,C1565,1999_2004
35047,C1566,1999_2004
06021,C1567,1999_2004
18135,C1568,1999_2004
18137,C1569,1999_2004
48215,C157,1999_2004
28101,C1570,1999_2004
37123,C1571,1999_2004
50001,C1572,1999_2004
51005,C1573,1999_2004
51580,C1573,1999_2004
13107,C1574,1999_2004
18073,C1575,1999_2004
19065,C1576,1999_2004
20021,C1577,1999_2004
27093,C1578,1999_2004
29221,C1579,1999_2004
19153,C158,1999_2004
51109,C1580,1999_2004
55137,C1581,1999_2004
13119,C1582,1999_2004
19149,C1583,1999_2004
29141,C1584,1999_2004
48089,C1585,1999_2004
01111,C1586,1999_2004
06015,C1587,1999_2004
13131,C1588,1999_2004
47133,C1589,1999_2004
41039,C159,1999_2004
48493,C1590,1999_2004
13199,C1591,1999_2004
22077,C1592,1999_2004
27091,C1593,1999_2004
36049,C1594,1999_2004
37093,C1595,1999_2004
47171,C1596,1999_2004
55015,C1597,1999_2004
08067,C1598,1999_2004
19083,C1599,1999_2004
48113,C16,1999_2004
42069,C160,1999_2004
28145,C1600,1999_2004
54043,C1601,1999_2004
17051,C1602,1999_2004
18079,C1603,1999_2004
18153,C1604,1999_2004
20051,C1605,1999_2004
48195,C1606,1999_2004
48233,C1606,1999_2004
48357,C1606,1999_2004
48259,C1607,1999_2004
51840,C1608,1999_2004
29217,C1609,1999_2004
25001,C161,1999_2004
35029,C1610,1999_2004
53017,C1611,1999_2004
08083,C1612,1999_2004
17181,C1613,1999_2004
31141,C1614,1999_2004
48503,C1615,1999_2004
05021,C1616,1999_2004
18149,C1617,1999_2004
55047,C1618,1999_2004
