garbage_bin,stratum,stage,total_candidates,kept_n,dropped_n,dropped_classes,kept_classes,support_json,note
g1,Q1|F,after_minpc,19,16,3,a3|a4|b12,a1|a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":31,""a2"":161,""a3"":2,""a4"":5,""a5"":92,""b11"":79,""b12"":8,""b13"":80,""b14"":87,""b15"":218,""b16"":170,""b2"":201,""b31"":97,""b32"":61,""b33"":168,""b4"":149,""b5"":144,""b6"":127,""b7"":708}",AGE_Q×SEX
g1,Q1|F,after_support,19,16,3,a3|a4|b12,a1|a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":31,""a2"":161,""a3"":2,""a4"":5,""a5"":92,""b11"":79,""b12"":8,""b13"":80,""b14"":87,""b15"":218,""b16"":170,""b2"":201,""b31"":97,""b32"":61,""b33"":168,""b4"":149,""b5"":144,""b6"":127,""b7"":708}",AGE_Q×SEX
g1,Q1|M,after_minpc,19,16,3,a3|a4|b13,a1|a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":109,""a2"":213,""a3"":0,""a4"":6,""a5"":110,""b11"":149,""b12"":15,""b13"":1,""b14"":180,""b15"":302,""b16"":142,""b2"":192,""b31"":168,""b32"":88,""b33"":187,""b4"":138,""b5"":277,""b6"":159,""b7"":691}",AGE_Q×SEX
g1,Q1|M,after_support,19,15,4,a3|a4|b12|b13,a1|a2|a5|b11|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":109,""a2"":213,""a3"":0,""a4"":6,""a5"":110,""b11"":149,""b12"":15,""b13"":1,""b14"":180,""b15"":302,""b16"":142,""b2"":192,""b31"":168,""b32"":88,""b33"":187,""b4"":138,""b5"":277,""b6"":159,""b7"":691}",AGE_Q×SEX
g1,Q2|F,after_minpc,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":4,""a2"":194,""a3"":0,""a4"":0,""a5"":57,""b11"":60,""b12"":7,""b13"":36,""b14"":103,""b15"":119,""b16"":109,""b2"":183,""b31"":172,""b32"":113,""b33"":154,""b4"":182,""b5"":39,""b6"":114,""b7"":706}",AGE_Q×SEX
g1,Q2|F,after_support,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":4,""a2"":194,""a3"":0,""a4"":0,""a5"":57,""b11"":60,""b12"":7,""b13"":36,""b14"":103,""b15"":119,""b16"":109,""b2"":183,""b31"":172,""b32"":113,""b33"":154,""b4"":182,""b5"":39,""b6"":114,""b7"":706}",AGE_Q×SEX
g1,Q2|M,after_minpc,19,15,4,a1|a3|a4|b13,a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":3,""a2"":233,""a3"":0,""a4"":0,""a5"":64,""b11"":109,""b12"":14,""b13"":1,""b14"":137,""b15"":189,""b16"":137,""b2"":137,""b31"":196,""b32"":115,""b33"":159,""b4"":234,""b5"":43,""b6"":94,""b7"":528}",AGE_Q×SEX
g1,Q2|M,after_support,19,14,5,a1|a3|a4|b12|b13,a2|a5|b11|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":3,""a2"":233,""a3"":0,""a4"":0,""a5"":64,""b11"":109,""b12"":14,""b13"":1,""b14"":137,""b15"":189,""b16"":137,""b2"":137,""b31"":196,""b32"":115,""b33"":159,""b4"":234,""b5"":43,""b6"":94,""b7"":528}",AGE_Q×SEX
g1,Q3|F,after_minpc,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":3,""a2"":248,""a3"":0,""a4"":0,""a5"":71,""b11"":26,""b12"":6,""b13"":26,""b14"":67,""b15"":87,""b16"":81,""b2"":147,""b31"":200,""b32"":159,""b33"":177,""b4"":165,""b5"":21,""b6"":104,""b7"":935}",AGE_Q×SEX
g1,Q3|F,after_support,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":3,""a2"":248,""a3"":0,""a4"":0,""a5"":71,""b11"":26,""b12"":6,""b13"":26,""b14"":67,""b15"":87,""b16"":81,""b2"":147,""b31"":200,""b32"":159,""b33"":177,""b4"":165,""b5"":21,""b6"":104,""b7"":935}",AGE_Q×SEX
