cluster,deaths,S_raw,I_raw,S_rare,I_rare,S_resid,I_resid,period
C1,160062,0.8815243500904143,0.5980208165861717,0.8757465266079179,0.56033719026014706,-6.698753141409602e-4,-0.0013677056237630905,1999_2004
C10,45188,0.8807057290866984,0.5958404890977058,0.8927073116556731,0.5884678909785277,-0.0011132109355136593,-0.0024582242545746627,1999_2004
C100,12057,0.8805498396729053,0.5905082199614922,0.8790358607298927,0.5771251129784285,-8.770756584356518e-4,-0.006652074468843979,1999_2004
C1000,1209,0.8828191650572182,0.6046933153426892,0.8755019478947512,0.6106465462001817,0.0020744765050168153,0.009514171315670658,1999_2004
C1001,1153,0.891528491231818,0.6265834376239963,0.8897124702699599,0.6161797261011912,0.010797863841203148,0.03144512646487469,1999_2004
C1002,1204,0.8851447555766493,0.6035041551246573,0.8858042022616043,0.5939192003331999,0.004401295744311233,0.008328579234990278,1999_2004
C1003,1196,0.8841302110714646,0.6036102442575273,0.8772439473007744,0.5914435654959638,0.003388727835431056,0.008440408298753662,1999_2004
C1004,1163,0.8822366918064808,0.5920910129174557,0.8842019621202478,0.5889496339585918,0.0015035041288607874,-0.003054733179413828,1999_2004
C1005,1161,0.8749652242230812,0.5869685902118242,0.87989937332944,0.59120788505373,-0.005767453161338202,-0.008175674020640258,1999_2004
C1006,1197,0.887004478615084,0.6122853185595586,0.8953926860981958,0.6266865952785582,0.006262747583275723,0.017114763014990188,1999_2004
C1007,1201,0.8843574013051849,0.6026253812409108,0.882080616138701,0.6185820482991485,0.0036146811543840483,0.0074519533472189505,1999_2004
C1008,1131,0.8701625518601646,0.5688824773699847,0.8685489244775871,0.564750736896066,-0.010562363911151342,-0.026239247549452865,1999_2004
C1009,1475,0.88960091927607,0.616309254822447,0.8891733988205316,0.6166020313942813,0.00879726483550985,0.0209588769812836,1999_2004
C101,12194,0.88030027055092,0.5931059429931395,0.8782322449580596,0.5935666666666584,-0.0011299972057172457,-0.004064086702552409,1999_2004
C1010,1209,0.8878640414700608,0.6194639055944781,0.8993708337388847,0.6296499999999937,0.0071193529178593855,0.0242847615674595,1999_2004
C1011,1148,0.878103412691668,0.582790843232654,0.8695272393302534,0.5893849499315417,-0.0026259262235267212,-0.012343726262146859,1999_2004
C1012,1508,0.8839830365372302,0.609579724866991,0.8818210632186059,0.6151833333333304,0.003172820845130376,0.01421029349915344,1999_2004
C1013,1176,0.8853371280484982,0.6039889424278739,0.88230023784032,0.6088735132951166,0.0046006446851431316,0.008833625834326704,1999_2004
C1014,1152,0.8647913049768515,0.5470801357659686,0.8533650786520217,0.5413166666666603,-0.015939065165872894,-0.04805742835891534,1999_2004
C1015,1152,0.8905873239776235,0.6184053497942358,0.8895976680168409,0.6305833333333272,0.009856953834899106,0.023267785669351858,1999_2004
C1016,1147,0.8803162641787949,0.5881016873719571,0.8865229641941754,0.5923964637474836,-4.128163685793824e-4,-0.007032131836388667,1999_2004
C1017,1165,0.8806793273038735,0.599529379332081,0.876110898976513,0.5955059196220063,-5.436979090678387e-5,0.004382153914780875,1999_2004
C1018,1193,0.8750584050998805,0.5781146477795464,0.8739246647649422,0.5568781662946807,-0.005682333504838767,-0.017053025809361903,1999_2004
C1019,1084,0.8796857341267139,0.5950241821009987,0.8727417024175855,0.5803857490708705,-0.0010265982843934796,-6.100140740885579e-5,1999_2004
C102,12172,0.8832448023720473,0.6008520946570037,0.8743239769497041,0.600177172603946,0.0018150704149077633,0.003683620894651674,1999_2004
C1020,1167,0.8786780714140434,0.5952561061292577,0.8803735565488445,0.6011166666666606,-0.0020561342248597006,1.0740392678186622e-4,1999_2004
C1021,1205,0.8874296241455898,0.6154572382256324,0.8705105455852293,0.6264666666666575,0.006685918161912015,0.020280947525522758,1999_2004
C1022,1428,0.880055943946206,0.5931843980195691,0.876694893046727,0.5970984001753242,-7.38107890596744e-4,-0.0021380943692952304,1999_2004
C1023,1164,0.8809561767102421,0.587511477057031,0.874333959754323,0.5654732510288116,2.2273421472489947e-4,-0.007635009017504577,1999_2004
C1024,1111,0.8853110333535603,0.6040653061224357,0.8872916401498419,0.6011835742568221,0.004591407123786175,0.008958941751248764,1999_2004
C1025,1172,0.8825685214737504,0.5882688093498787,0.8937804631522203,0.5836107001972417,0.0018330482745131176,-0.006883573780617139,1999_2004
C1026,1170,0.874347286142158,0.574777430916867,0.8692127809847536,0.560420775805394,-0.0063876806825144605,-0.020373481728734207,1999_2004
C1027,1808,0.8807714239564572,0.5885077850890805,0.8779427436241074,0.5733225421050507,-9.259788759301232e-5,-0.007017896491878219,1999_2004
C1028,1169,0.8856714043500438,0.6143760458971818,0.8867076460796278,0.6083512784337151,0.0049366910370681185,0.019225869436109922,1999_2004
C1029,1097,0.8850822953792103,0.5944450655452391,0.897833481827552,0.5925068587105597,0.004366428743548866,-6.503811639322502e-4,1999_2004
C103,11649,0.8792693628313993,0.5903425209179036,0.88699714741358,0.6068130722615173,-0.0021473382257164828,-0.006788111801518263,1999_2004
C1030,1140,0.8836365035395506,0.6024252934420958,0.8840721856602003,0.6101094421121582,0.002909237893387545,0.0072967446106637765,1999_2004
C1031,1300,0.8774591715976332,0.5971219879889694,0.8784019526365834,0.6167980264001035,-0.0033070340827964515,0.0018803593621505724,1999_2004
C1032,1135,0.8791756098507638,0.5887583791686507,0.8758713116656559,0.5917968749999885,-0.001550352607432801,-0.006366385274005911,1999_2004
C1033,1109,0.8901332730564989,0.6149689562284082,0.8952629096381483,0.629840211743945,0.009414181004048179,0.01986414307985289,1999_2004
C1034,1123,0.8866769378866077,0.6114723094780026,0.8892632440621029,0.5935038667459952,0.005954126630659371,0.016356695959636777,1999_2004
C1035,1122,0.8796600798802748,0.5891931862917185,0.8857642710431282,0.580956115413517,-0.0010624672586796598,-0.005921660244897404,1999_2004
C1036,1118,0.8821064320710699,0.588773028581265,0.8805782040435349,0.6037970133646986,0.0013849437572281678,-0.006338743183349226,1999_2004
C1037,1169,0.8718147232359184,0.5743197672177842,0.866098145943612,0.5903956985922438,-0.008919990077057294,-0.020830409243287617,1999_2004
C1038,1446,0.8795236154871837,0.5870100819155701,0.8724022870605381,0.5834268612046499,-0.0012741507497281257,-0.008323196894319044,1999_2004
C1039,1412,0.8874178430129445,0.610717362361965,0.8941747839346724,0.6101169112975869,0.0066271323562469035,0.015404572583017752,1999_2004
C104,11950,0.8824035153446194,0.6012417112649245,0.8836279508546527,0.6190896317354464,9.79244929807514e-4,0.004089097531987981,1999_2004
C1040,1338,0.8797013144576942,0.5801492639820366,0.8837377617054623,0.5656278763971093,-0.0010734341961513023,-0.015117172986738044,1999_2004
C1041,1099,0.8741936792567649,0.5872248289657086,0.8651248224932552,0.603601284947618,-0.006522727388914571,-0.007872185903930433,1999_2004
C1042,1105,0.8769615691734404,0.5846085141184547,0.8659983178974215,0.6085898596650098,-0.003756451630832419,-0.010493188182176271,1999_2004
C1043,1394,0.8898178090566459,0.6065535822912129,0.8767747554836793,0.6056833333333264,0.009030902752352656,0.0112518401499877,1999_2004
C1044,1155,0.8809235209235211,0.5954087696253247,0.8770343084037745,0.591113151719216,1.9237970520555702e-4,2.689663377971449e-4,1999_2004
C1045,1142,0.8832830840293093,0.6125474395368378,0.8863382823087231,0.6030781295951336,0.0025552987062656225,0.017417381591291168,1999_2004
C1046,1115,0.8811582778660338,0.5964577284012933,0.8818959342532487,0.5879889393003909,4.3758615783302324e-4,0.0013482699372338977,1999_2004
C1047,1128,0.8738132513455058,0.573175675498946,0.8737998797072042,0.5624691814595668,-0.006910876980616413,-0.02194376272138977,1999_2004
C1048,1099,0.8794445442585326,0.5919491629789607,0.8731460060046567,0.5930096176401605,-0.001271862387146938,-0.0031478518906783138,1999_2004
C1049,1123,0.8867514742742415,0.6113877451136861,0.886288368285628,0.604527579976616,0.006028663018293143,0.016272131595320302,1999_2004
C105,11827,0.880502041176203,0.5990988321533863,0.887885617024675,0.5834454696911507,-9.191594053479681e-4,0.0019551330535143912,1999_2004
C1050,1160,0.8791453626634961,0.5974529821651579,0.8688384258115395,0.5980512192633517,-0.0015870592448653505,0.0023094598216235247,1999_2004
C1051,1104,0.8726190007351398,0.5776461346418684,0.8688084773976824,0.5546351664869401,-0.008098751651726199,-0.01745478818884133,1999_2004
C1052,1102,0.8789957872339026,0.586384738682316,0.8878656514154368,0.5736481603669897,-0.0017214275886442202,-0.008714623090106028,1999_2004
C1053,1119,0.8718463520266162,0.5702986993169525,0.8644410003768507,0.5623333333333246,-0.008875401347915758,-0.02481384216985594,1999_2004
C1054,1064,0.8754133925038159,0.5871436225391171,0.8686886837422537,0.6019103277091794,-0.005293419089010179,-0.00792552880564763,1999_2004
C1055,1109,0.870250048581936,0.5619308338292652,0.8755219135039893,0.5606651549508721,-0.010469043470514743,-0.03317397931929007,1999_2004
C1056,1126,0.888599516041001,0.6147228030752232,0.8963859751577906,0.6095924843686195,0.007875913841653126,0.019604892699151458,1999_2004
C1057,1108,0.8836000729841389,0.5977451887083204,0.8882150495771033,0.6084923307145579,0.002881248381389015,0.002641152219519469,1999_2004
C1058,1144,0.8781175118587706,0.588090259355189,0.8808976537913443,0.5548632017861255,-0.0026107922326272636,-0.007041305066159419,1999_2004
C1059,1123,0.8785588151568949,0.5845011079554268,0.8780176146587502,0.5869666666666601,-0.0021639960990534257,-0.010614505562939044,1999_2004
C106,11666,0.8816841749042856,0.5969097548136638,0.8858491248823901,0.6045069406886605,2.6704115830888985e-4,-2.221344112743308e-4,1999_2004
C1060,1089,0.88029135161617,0.5991709604967557,0.8898522295346265,0.6065146031478789,-4.223450981361841e-4,0.004081815124177429,1999_2004
C1061,1133,0.8844681227306613,0.6121353642033617,0.8831088450144625,0.6128320752867322,0.0037426831544026826,0.017012118182136132,1999_2004
