period,cluster,cluster_deaths,n_counties
1999_2005,12CS046,1186,1
1999_2005,12CS047,2344,1
1999_2005,12CS048,692,1
1999_2005,13CS001,624,4
1999_2005,13CS002,767,4
1999_2005,13CS003,503,2
1999_2005,13CS004,410,2
1999_2005,13CS005,800,2
1999_2005,13CS006,600,1
1999_2005,13CS007,1848,2
1999_2005,13CS008,571,4
1999_2005,13CS009,731,3
1999_2005,13CS010,661,2
1999_2005,13CS011,419,2
1999_2005,13CS012,371,1
1999_2005,13CS013,755,4
1999_2005,13CS014,530,3
1999_2005,13CS015,664,8
1999_2005,13CS016,293,2
1999_2005,13CS017,735,4
1999_2005,13CS018,857,2
1999_2005,13CS019,446,1
1999_2005,13CS020,2177,1
1999_2005,13CS021,1121,3
1999_2005,13CS022,1031,2
1999_2005,13CS023,1031,3
1999_2005,13CS024,1322,1
1999_2005,13CS025,3231,1
1999_2005,13CS026,672,2
1999_2005,13CS027,744,2
1999_2005,13CS028,633,1
1999_2005,13CS029,788,4
1999_2005,13CS030,557,4
1999_2005,13CS031,511,3
1999_2005,13CS032,657,3
1999_2005,13CS033,3873,1
1999_2005,13CS034,956,2
1999_2005,13CS035,630,1
1999_2005,13CS036,800,4
1999_2005,13CS037,586,1
1999_2005,13CS038,1420,2
1999_2005,13CS039,564,1
1999_2005,13CS040,818,3
1999_2005,13CS041,5960,1
1999_2005,13CS042,507,2
1999_2005,13CS043,763,2
1999_2005,13CS044,2529,1
1999_2005,13CS045,1037,1
1999_2005,13CS046,515,4
1999_2005,13CS047,747,2
1999_2005,13CS048,537,3
1999_2005,13CS049,830,1
1999_2005,13CS050,808,1
1999_2005,13CS051,755,5
1999_2005,13CS052,548,6
1999_2005,13CS053,726,1
1999_2005,13CS054,851,8
1999_2005,13CS055,1761,1
1999_2005,13CS056,570,1
1999_2005,13CS057,450,1
1999_2005,13CS058,1822,1
1999_2005,13CS059,506,1
1999_2005,13CS060,632,1
1999_2005,13CS061,534,2
1999_2005,13CS062,645,1
1999_2005,13CS063,499,1
1999_2005,13CS064,835,5
1999_2005,13CS065,673,1
1999_2005,13CS066,842,7
1999_2005,15CS001,1250,1
1999_2005,15CS002,6092,1
1999_2005,15CS003,847,1
1999_2005,15CS004,469,1
1999_2005,16CS001,1859,1
1999_2005,16CS002,596,1
1999_2005,16CS003,732,3
1999_2005,16CS004,648,6
1999_2005,16CS005,503,4
1999_2005,16CS006,568,3
1999_2005,16CS007,568,1
1999_2005,16CS008,1041,1
1999_2005,16CS009,466,7
1999_2005,16CS010,364,3
1999_2005,16CS011,377,6
1999_2005,16CS012,885,1
1999_2005,16CS013,562,6
1999_2005,16CS014,622,1
1999_2005,17CS001,822,1
1999_2005,17CS002,721,3
1999_2005,17CS003,2723,2
1999_2005,17CS004,569,5
1999_2005,17CS005,734,4
1999_2005,17CS006,997,3
1999_2005,17CS007,1129,1
1999_2005,17CS008,677,2
1999_2005,17CS009,632,4
1999_2005,17CS010,700,4
1999_2005,17CS011,844,2
1999_2005,17CS012,486,1
1999_2005,17CS013,43966,1
1999_2005,17CS014,884,4
1999_2005,17CS015,553,1
1999_2005,17CS016,654,3
1999_2005,17CS017,5599,1
1999_2005,17CS018,637,4
1999_2005,17CS019,1006,3
1999_2005,17CS020,1072,3
1999_2005,17CS021,712,2
1999_2005,17CS022,597,3
1999_2005,17CS023,615,2
1999_2005,17CS024,667,4
1999_2005,17CS025,579,1
1999_2005,17CS026,428,1
1999_2005,17CS027,572,2
1999_2005,17CS028,2775,2
1999_2005,17CS029,2449,1
1999_2005,17CS030,1111,1
1999_2005,17CS031,679,1
1999_2005,17CS032,3776,1
1999_2005,17CS033,1223,1
1999_2005,17CS034,996,2
1999_2005,17CS035,1184,1
1999_2005,17CS036,955,2
1999_2005,17CS037,1532,1
1999_2005,17CS038,994,1
1999_2005,17CS039,1872,2
1999_2005,17CS040,2782,2
1999_2005,17CS041,447,1
1999_2005,17CS042,2082,2
1999_2005,17CS043,666,2
1999_2005,17CS044,1400,1
1999_2005,17CS045,915,7
1999_2005,17CS046,1259,1
1999_2005,17CS047,926,1
1999_2005,17CS048,3011,1
1999_2005,17CS049,725,1
1999_2005,18CS001,563,2
1999_2005,18CS002,2985,2
1999_2005,18CS003,806,2
1999_2005,18CS004,496,3
1999_2005,18CS005,662,3
1999_2005,18CS006,1056,2
1999_2005,18CS007,864,3
1999_2005,18CS008,957,1
1999_2005,18CS009,1582,3
1999_2005,18CS010,1382,2
1999_2005,18CS011,591,3
1999_2005,18CS012,864,3
1999_2005,18CS013,442,2
1999_2005,18CS014,491,2
1999_2005,18CS015,1138,1
1999_2005,18CS016,702,3
1999_2005,18CS017,1377,1
1999_2005,18CS018,551,3
1999_2005,18CS019,631,1
1999_2005,18CS020,659,3
1999_2005,18CS021,921,3
1999_2005,18CS022,575,2
1999_2005,18CS023,756,1
1999_2005,18CS024,598,2
1999_2005,18CS025,913,1
1999_2005,18CS026,466,1
1999_2005,18CS027,691,2
1999_2005,18CS028,959,2
1999_2005,18CS029,673,2
1999_2005,18CS030,601,2
1999_2005,18CS031,666,3
1999_2005,18CS032,956,1
1999_2005,18CS033,601,1
1999_2005,18CS034,887,3
1999_2005,18CS035,4717,1
1999_2005,18CS036,1057,1
1999_2005,18CS037,968,3
1999_2005,18CS038,1428,1
1999_2005,18CS039,7763,2
1999_2005,18CS040,782,3
1999_2005,18CS041,699,1
1999_2005,18CS042,522,1
1999_2005,18CS043,697,3
1999_2005,18CS044,1115,1
1999_2005,18CS045,2336,1
1999_2005,18CS046,1894,1
1999_2005,18CS047,437,1
1999_2005,18CS048,780,1
1999_2005,19CS001,554,3
1999_2005,19CS002,674,5
1999_2005,19CS003,777,4
1999_2005,19CS004,1133,1
1999_2005,19CS005,580,2
1999_2005,19CS006,567,3
1999_2005,19CS007,576,3
1999_2005,19CS008,755,5
1999_2005,19CS009,702,4
1999_2005,19CS010,553,3
1999_2005,19CS011,631,2
1999_2005,19CS012,613,4
1999_2005,19CS013,562,1
1999_2005,19CS014,721,4
1999_2005,19CS015,1027,3
1999_2005,19CS016,837,1
1999_2005,19CS017,1250,4
1999_2005,19CS018,738,3
1999_2005,19CS019,558,2
1999_2005,19CS020,502,1
1999_2005,19CS021,1388,1
1999_2005,19CS022,465,2
1999_2005,19CS023,719,6
1999_2005,19CS024,596,4
1999_2005,19CS025,468,2
1999_2005,19CS026,521,2
1999_2005,19CS027,693,2
1999_2005,19CS028,1207,3
1999_2005,19CS029,761,5
1999_2005,19CS030,2802,1
1999_2005,19CS031,1269,1
1999_2005,19CS032,429,1
1999_2005,19CS033,736,6
1999_2005,19CS034,778,5
1999_2005,20CS001,740,4
1999_2005,20CS002,661,5
1999_2005,20CS003,579,3
1999_2005,20CS004,989,7
1999_2005,20CS005,837,2
1999_2005,20CS006,616,4
1999_2005,20CS007,684,2
1999_2005,20CS008,754,8
1999_2005,20CS009,526,3
1999_2005,20CS010,554,1
1999_2005,20CS011,875,6
1999_2005,20CS012,347,4
1999_2005,20CS013,465,7
1999_2005,20CS014,2742,1
1999_2005,20CS015,971,3
1999_2005,20CS016,524,1
1999_2005,20CS017,867,2
1999_2005,20CS018,636,13
1999_2005,20CS019,505,3
1999_2005,20CS020,635,1
1999_2005,20CS021,603,6
1999_2005,20CS022,3655,1
1999_2005,20CS023,1625,1
1999_2005,20CS024,772,7
1999_2005,20CS025,412,9
1999_2005,20CS026,1513,1
1999_2005,21CS001,953,5
1999_2005,21CS002,609,2
1999_2005,21CS003,1064,5
1999_2005,21CS004,603,3
1999_2005,21CS005,818,2
1999_2005,21CS006,548,1
1999_2005,21CS007,605,4
1999_2005,21CS008,1285,3
1999_2005,21CS009,760,3
1999_2005,21CS010,617,5
1999_2005,21CS011,686,4
1999_2005,21CS012,444,2
1999_2005,21CS013,902,4
1999_2005,21CS014,641,2
1999_2005,21CS015,788,1
1999_2005,21CS016,575,1
1999_2005,21CS017,522,3
1999_2005,21CS018,598,4
1999_2005,21CS019,894,1
1999_2005,21CS020,857,2
1999_2005,21CS021,888,3
1999_2005,21CS022,1932,1
1999_2005,21CS023,577,2
1999_2005,21CS024,427,2
1999_2005,21CS025,839,2
1999_2005,21CS026,627,2
1999_2005,21CS027,664,3
1999_2005,21CS028,697,2
1999_2005,21CS029,6810,1
1999_2005,21CS030,814,5
1999_2005,21CS031,1300,1
1999_2005,21CS032,745,3
1999_2005,21CS033,730,2
1999_2005,21CS034,444,1
1999_2005,21CS035,593,3
1999_2005,21CS036,639,5
1999_2005,21CS037,576,3
1999_2005,21CS038,739,1
1999_2005,21CS039,552,5
1999_2005,21CS040,802,1
1999_2005,21CS041,626,1
1999_2005,21CS042,379,2
1999_2005,21CS043,776,5
1999_2005,21CS044,742,7
1999_2005,22CS001,962,2
1999_2005,22CS002,2179,4
1999_2005,22CS003,511,1
1999_2005,22CS004,895,3
1999_2005,22CS005,678,2
1999_2005,22CS006,842,4
1999_2005,22CS007,1327,2
1999_2005,22CS008,2611,1
1999_2005,22CS009,1691,1
1999_2005,22CS010,610,2
1999_2005,22CS011,671,5
1999_2005,22CS012,3458,2
1999_2005,22CS013,557,3
1999_2005,22CS014,1248,2
1999_2005,22CS015,639,1
1999_2005,22CS016,1016,4
1999_2005,22CS017,4304,2
1999_2005,22CS018,1437,1
1999_2005,22CS019,773,1
1999_2005,22CS020,675,1
1999_2005,22CS021,663,2
1999_2005,22CS022,1338,6
1999_2005,22CS023,4818,1
1999_2005,22CS024,1334,1
1999_2005,22CS025,761,1
1999_2005,22CS026,868,3
1999_2005,22CS027,1624,3
1999_2005,22CS028,477,1
1999_2005,22CS029,1462,1
1999_2005,22CS030,833,1
1999_2005,23CS001,1044,1
1999_2005,23CS002,859,1
1999_2005,23CS003,2300,1
1999_2005,23CS004,848,2
1999_2005,23CS005,987,2
1999_2005,23CS006,1071,1
1999_2005,23CS007,789,2
1999_2005,23CS008,652,2
1999_2005,23CS009,1622,2
1999_2005,23CS010,523,1
1999_2005,23CS011,1606,1
1999_2005,24CS001,1240,2
1999_2005,24CS002,3486,1
1999_2005,24CS003,7427,1
1999_2005,24CS004,7941,1
1999_2005,24CS005,557,1
1999_2005,24CS006,1074,3
1999_2005,24CS007,1197,1
1999_2005,24CS008,689,1
1999_2005,24CS009,795,1
1999_2005,24CS010,1328,1
1999_2005,24CS011,1551,1
1999_2005,24CS012,1164,1
1999_2005,24CS013,570,2
1999_2005,24CS014,10402,1
1999_2005,24CS016,782,2
1999_2005,24CS017,616,1
1999_2005,24CS018,1225,1
1999_2005,24CS019,807,1
1999_2005,25CS001,2907,3
1999_2005,25CS002,1576,1
1999_2005,25CS003,4938,1
1999_2005,25CS004,6395,1
1999_2005,25CS005,638,1
1999_2005,25CS006,4455,1
1999_2005,25CS007,1124,1
1999_2005,25CS008,11083,1
1999_2005,25CS009,5703,1
1999_2005,25CS010,3927,1
1999_2005,25CS011,5370,1
1999_2005,25CS012,6626,1
1999_2005,26CS001,656,3
1999_2005,26CS002,650,3
1999_2005,26CS003,813,1
1999_2005,26CS004,851,4
1999_2005,26CS005,828,3
1999_2005,26CS006,461,1
1999_2005,26CS007,1036,1
1999_2005,26CS008,771,3
1999_2005,26CS009,1598,1
1999_2005,26CS010,823,2
1999_2005,26CS011,1414,1
1999_2005,26CS012,478,1
1999_2005,26CS013,552,2
1999_2005,26CS014,527,3
1999_2005,26CS015,623,2
1999_2005,26CS016,477,1
1999_2005,26CS017,700,4
1999_2005,26CS018,782,3
1999_2005,26CS019,757,1
1999_2005,26CS020,3857,1
1999_2005,26CS021,806,2
1999_2005,26CS022,815,2
1999_2005,26CS023,840,2
1999_2005,26CS024,1837,1
1999_2005,26CS025,439,1
1999_2005,26CS026,1427,1
1999_2005,26CS027,1908,1
1999_2005,26CS028,4029,1
1999_2005,26CS029,565,3
1999_2005,26CS030,582,1
1999_2005,26CS031,849,1
1999_2005,26CS032,984,1
1999_2005,26CS033,7107,1
1999_2005,26CS034,617,1
1999_2005,26CS035,540,2
1999_2005,26CS036,649,1
1999_2005,26CS037,1133,1
1999_2005,26CS038,517,1
1999_2005,26CS039,1525,1
1999_2005,26CS040,667,2
1999_2005,26CS041,880,5
1999_2005,26CS042,8747,1
1999_2005,26CS043,1435,1
1999_2005,26CS044,2014,1
1999_2005,26CS045,665,1
1999_2005,26CS046,1456,1
1999_2005,26CS047,557,1
1999_2005,26CS048,526,1
1999_2005,26CS049,671,1
1999_2005,26CS050,1836,1
1999_2005,26CS051,19377,1
1999_2005,27CS001,600,2
1999_2005,27CS002,1332,1
1999_2005,27CS003,1126,2
1999_2005,27CS004,1007,4
1999_2005,27CS005,654,3
1999_2005,27CS006,319,1
1999_2005,27CS007,827,2
1999_2005,27CS008,546,2
1999_2005,27CS009,390,1
1999_2005,27CS010,1098,6
1999_2005,27CS011,1728,1
1999_2005,27CS012,526,3
1999_2005,27CS013,863,3
1999_2005,27CS014,828,3
1999_2005,27CS015,786,2
1999_2005,27CS016,601,2
1999_2005,27CS017,7606,1
1999_2005,27CS018,608,3
1999_2005,27CS019,812,3
1999_2005,27CS020,578,4
1999_2005,27CS021,683,3
1999_2005,27CS022,932,7
1999_2005,27CS023,717,1
1999_2005,27CS024,948,3
1999_2005,27CS025,3741,1
1999_2005,27CS026,437,1
1999_2005,27CS027,411,1
1999_2005,27CS028,377,1
1999_2005,27CS029,814,6
1999_2005,27CS030,658,7
1999_2005,27CS031,2770,5
1999_2005,27CS032,1046,1
1999_2005,27CS033,507,1
1999_2005,28CS001,703,3
1999_2005,28CS002,956,3
1999_2005,28CS003,773,4
1999_2005,28CS004,718,3
1999_2005,28CS005,717,2
1999_2005,28CS006,680,3
1999_2005,28CS007,589,3
1999_2005,28CS008,720,3
1999_2005,28CS009,564,3
1999_2005,28CS010,488,2
1999_2005,28CS011,590,3
1999_2005,28CS012,781,3
1999_2005,28CS013,665,3
1999_2005,28CS014,965,2
1999_2005,28CS015,988,2
1999_2005,28CS016,2189,2
1999_2005,28CS017,2126,1
1999_2005,28CS018,638,2
1999_2005,28CS019,1118,1
1999_2005,28CS020,602,3
1999_2005,28CS021,666,1
1999_2005,28CS022,737,4
1999_2005,28CS023,450,2
1999_2005,28CS024,979,1
1999_2005,28CS025,743,1
1999_2005,28CS026,520,1
1999_2005,28CS027,831,1
1999_2005,28CS028,510,2
1999_2005,28CS029,606,2
1999_2005,28CS030,622,2
1999_2005,28CS031,507,2
1999_2005,28CS032,770,1
1999_2005,28CS033,1049,5
1999_2005,28CS034,596,1
1999_2005,28CS035,757,5
1999_2005,29CS001,1172,2
1999_2005,29CS002,557,2
1999_2005,29CS003,947,3
1999_2005,29CS004,960,4
1999_2005,29CS005,842,4
1999_2005,29CS006,844,1
1999_2005,29CS007,759,3
1999_2005,29CS008,639,2
1999_2005,29CS009,873,2
1999_2005,29CS010,1020,4
1999_2005,29CS011,726,1
1999_2005,29CS012,660,2
1999_2005,29CS013,1405,1
1999_2005,29CS014,585,1
1999_2005,29CS015,733,4
1999_2005,29CS016,917,4
1999_2005,29CS017,587,2
1999_2005,29CS018,785,4
1999_2005,29CS019,723,2
1999_2005,29CS020,830,1
1999_2005,29CS021,564,3
1999_2005,29CS022,1121,10
1999_2005,29CS023,2264,1
1999_2005,29CS024,727,6
1999_2005,29CS025,695,3
1999_2005,29CS026,5926,1
1999_2005,29CS027,1002,1
1999_2005,29CS028,1527,1
1999_2005,29CS029,518,2
1999_2005,29CS030,485,3
1999_2005,29CS031,625,4
1999_2005,29CS032,847,3
1999_2005,29CS033,813,3
1999_2005,29CS034,532,1
1999_2005,29CS035,465,1
1999_2005,29CS036,899,5
1999_2005,29CS037,578,6
1999_2005,29CS038,1798,1
1999_2005,29CS039,9329,1
1999_2005,29CS040,3929,1
1999_2005,29CS041,833,2
1999_2005,29CS042,739,2
1999_2005,29CS043,942,5
1999_2005,30CS001,475,3
1999_2005,30CS002,767,1
1999_2005,30CS003,958,5
1999_2005,30CS004,1012,18
1999_2005,30CS005,650,1
1999_2005,30CS006,545,2
1999_2005,30CS007,570,4
1999_2005,30CS008,698,1
1999_2005,30CS009,797,11
1999_2005,30CS010,495,9
1999_2005,30CS011,1133,1
1999_2005,31CS001,674,5
1999_2005,31CS002,464,4
1999_2005,31CS003,416,3
1999_2005,31CS004,599,4
1999_2005,31CS005,705,3
1999_2005,31CS006,3508,1
1999_2005,31CS007,535,8
1999_2005,31CS008,557,2
1999_2005,31CS009,638,9
1999_2005,31CS010,1737,1
1999_2005,31CS011,474,6
1999_2005,31CS012,696,16
1999_2005,31CS013,637,6
1999_2005,31CS014,773,6
1999_2005,31CS015,624,1
1999_2005,31CS016,780,7
1999_2005,31CS017,668,6
1999_2005,31CS018,474,5
1999_2005,32CS001,11581,2
1999_2005,32CS002,958,2
1999_2005,32CS003,669,5
1999_2005,32CS004,529,7
1999_2005,32CS005,2700,1
1999_2005,33CS001,988,2
1999_2005,33CS002,603,1
1999_2005,33CS003,1077,2
1999_2005,33CS004,2625,1
1999_2005,33CS005,1558,2
1999_2005,33CS006,1833,1
1999_2005,33CS007,846,1
1999_2005,34CS001,2625,1
1999_2005,34CS002,7385,1
1999_2005,34CS003,3562,1
1999_2005,34CS004,4698,1
1999_2005,34CS005,1365,1
1999_2005,34CS006,1574,1
1999_2005,34CS007,6697,1
1999_2005,34CS008,2220,1
1999_2005,34CS009,4490,1
1999_2005,34CS010,796,1
1999_2005,34CS011,2800,1
1999_2005,34CS012,5405,1
1999_2005,34CS013,5215,1
1999_2005,34CS014,3454,1
1999_2005,34CS015,6796,1
1999_2005,34CS016,3909,1
1999_2005,34CS017,713,1
1999_2005,34CS018,2035,1
1999_2005,34CS019,1018,1
1999_2005,34CS020,4455,1
1999_2005,34CS021,919,1
1999_2005,35CS001,4309,1
1999_2005,35CS002,1039,4
1999_2005,35CS003,612,1
1999_2005,35CS004,530,2
1999_2005,35CS005,1162,1
1999_2005,35CS006,522,1
1999_2005,35CS007,603,3
1999_2005,35CS008,491,5
1999_2005,35CS009,472,1
1999_2005,35CS010,954,2
1999_2005,35CS011,469,1
1999_2005,35CS012,497,5
1999_2005,35CS013,415,1
1999_2005,35CS014,587,2
1999_2005,35CS015,601,1
1999_2005,35CS016,740,1
1999_2005,36CS001,3351,2
1999_2005,36CS002,1506,2
1999_2005,36CS003,9941,1
1999_2005,36CS004,2111,1
1999_2005,36CS005,1199,2
1999_2005,36CS006,710,1
1999_2005,36CS007,1472,1
1999_2005,36CS008,907,1
1999_2005,36CS009,925,2
1999_2005,36CS010,628,1
1999_2005,36CS011,714,1
1999_2005,36CS012,863,2
1999_2005,36CS013,2183,1
1999_2005,36CS014,9673,1
1999_2005,36CS015,869,2
1999_2005,36CS016,1210,3
1999_2005,36CS017,925,2
1999_2005,36CS018,688,1
1999_2005,36CS019,1101,2
1999_2005,36CS020,17963,1
1999_2005,36CS021,474,1
1999_2005,36CS022,557,1
1999_2005,36CS023,6122,1
1999_2005,36CS024,10677,1
1999_2005,36CS025,11221,1
1999_2005,36CS026,2346,1
1999_2005,36CS027,2521,1
1999_2005,36CS028,4075,1
1999_2005,36CS029,886,1
1999_2005,36CS030,2536,1
1999_2005,36CS031,1024,1
1999_2005,36CS032,591,1
1999_2005,36CS033,571,1
1999_2005,36CS034,15507,1
1999_2005,36CS035,1450,1
1999_2005,36CS036,3560,1
1999_2005,36CS037,2140,1
1999_2005,36CS038,1442,1
1999_2005,36CS039,1507,1
1999_2005,36CS040,712,3
1999_2005,36CS041,1062,1
1999_2005,36CS042,11061,1
1999_2005,36CS043,713,1
1999_2005,36CS044,434,1
1999_2005,36CS045,537,1
1999_2005,36CS046,1554,1
1999_2005,36CS047,610,1
1999_2005,36CS048,589,1
1999_2005,36CS049,729,1
1999_2005,36CS050,7290,1
1999_2005,37CS001,1271,1
1999_2005,37CS002,1527,2
1999_2005,37CS003,844,4
1999_2005,37CS004,778,2
1999_2005,37CS005,1033,3
1999_2005,37CS006,1011,2
1999_2005,37CS007,753,1
1999_2005,37CS008,2456,2
1999_2005,37CS009,832,1
1999_2005,37CS010,1152,1
1999_2005,37CS011,756,1
1999_2005,37CS012,600,3
1999_2005,37CS013,666,1
1999_2005,37CS014,594,2
1999_2005,37CS015,988,2
1999_2005,37CS016,683,4
1999_2005,37CS017,951,1
1999_2005,37CS018,840,1
1999_2005,37CS019,1964,1
1999_2005,37CS020,495,4
1999_2005,37CS021,1388,1
1999_2005,37CS022,699,2
1999_2005,37CS023,849,2
1999_2005,37CS024,1662,1
1999_2005,37CS025,573,1
1999_2005,37CS026,3047,2
1999_2005,37CS027,664,2
1999_2005,37CS028,1972,1
1999_2005,37CS029,973,5
1999_2005,37CS030,873,2
1999_2005,37CS031,977,3
1999_2005,37CS032,3444,1
1999_2005,37CS033,888,2
1999_2005,37CS034,721,1
1999_2005,37CS035,642,1
1999_2005,37CS036,1083,1
1999_2005,37CS037,606,2
1999_2005,37CS038,1136,1
1999_2005,37CS039,1008,3
1999_2005,37CS040,962,1
1999_2005,37CS041,565,1
1999_2005,37CS042,762,3
1999_2005,37CS043,4496,1
1999_2005,37CS044,1118,2
1999_2005,37CS045,813,1
1999_2005,37CS046,1405,1
1999_2005,37CS047,778,1
1999_2005,37CS048,643,1
1999_2005,37CS049,1020,1
