garbage_bin,stratum,stage,total_candidates,kept_n,dropped_n,dropped_classes,kept_classes,support_json,note
g1,Q1|F,after_minpc,19,17,2,a3|a4,a1|a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":97,""a2"":187,""a3"":0,""a4"":6,""a5"":120,""b11"":72,""b12"":11,""b13"":91,""b14"":112,""b15"":226,""b16"":171,""b2"":207,""b31"":90,""b32"":63,""b33"":151,""b4"":142,""b5"":178,""b6"":127,""b7"":727}",AGE_Q×SEX
g1,Q1|F,after_support,19,16,3,a3|a4|b12,a1|a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":97,""a2"":187,""a3"":0,""a4"":6,""a5"":120,""b11"":72,""b12"":11,""b13"":91,""b14"":112,""b15"":226,""b16"":171,""b2"":207,""b31"":90,""b32"":63,""b33"":151,""b4"":142,""b5"":178,""b6"":127,""b7"":727}",AGE_Q×SEX
g1,Q1|M,after_minpc,19,16,3,a3|a4|b13,a1|a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":318,""a2"":209,""a3"":0,""a4"":7,""a5"":137,""b11"":124,""b12"":36,""b13"":0,""b14"":154,""b15"":302,""b16"":153,""b2"":165,""b31"":148,""b32"":87,""b33"":162,""b4"":192,""b5"":299,""b6"":121,""b7"":697}",AGE_Q×SEX
g1,Q1|M,after_support,19,16,3,a3|a4|b13,a1|a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":318,""a2"":209,""a3"":0,""a4"":7,""a5"":137,""b11"":124,""b12"":36,""b13"":0,""b14"":154,""b15"":302,""b16"":153,""b2"":165,""b31"":148,""b32"":87,""b33"":162,""b4"":192,""b5"":299,""b6"":121,""b7"":697}",AGE_Q×SEX
g1,Q2|F,after_minpc,19,16,3,a1|a3|a4,a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":5,""a2"":170,""a3"":0,""a4"":0,""a5"":72,""b11"":67,""b12"":14,""b13"":34,""b14"":109,""b15"":138,""b16"":104,""b2"":192,""b31"":170,""b32"":132,""b33"":141,""b4"":194,""b5"":36,""b6"":128,""b7"":684}",AGE_Q×SEX
g1,Q2|F,after_support,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":5,""a2"":170,""a3"":0,""a4"":0,""a5"":72,""b11"":67,""b12"":14,""b13"":34,""b14"":109,""b15"":138,""b16"":104,""b2"":192,""b31"":170,""b32"":132,""b33"":141,""b4"":194,""b5"":36,""b6"":128,""b7"":684}",AGE_Q×SEX
g1,Q2|M,after_minpc,19,16,3,a3|a4|b13,a1|a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":13,""a2"":200,""a3"":0,""a4"":0,""a5"":60,""b11"":121,""b12"":10,""b13"":0,""b14"":133,""b15"":207,""b16"":138,""b2"":129,""b31"":239,""b32"":122,""b33"":176,""b4"":224,""b5"":58,""b6"":136,""b7"":560}",AGE_Q×SEX
g1,Q2|M,after_support,19,14,5,a1|a3|a4|b12|b13,a2|a5|b11|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":13,""a2"":200,""a3"":0,""a4"":0,""a5"":60,""b11"":121,""b12"":10,""b13"":0,""b14"":133,""b15"":207,""b16"":138,""b2"":129,""b31"":239,""b32"":122,""b33"":176,""b4"":224,""b5"":58,""b6"":136,""b7"":560}",AGE_Q×SEX
g1,Q3|F,after_minpc,19,16,3,a1|a3|a4,a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":3,""a2"":242,""a3"":0,""a4"":0,""a5"":66,""b11"":32,""b12"":10,""b13"":18,""b14"":83,""b15"":89,""b16"":84,""b2"":174,""b31"":219,""b32"":154,""b33"":183,""b4"":154,""b5"":17,""b6"":114,""b7"":852}",AGE_Q×SEX
g1,Q3|F,after_support,19,13,6,a1|a3|a4|b12|b13|b5,a2|a5|b11|b14|b15|b16|b2|b31|b32|b33|b4|b6|b7,"{""a1"":3,""a2"":242,""a3"":0,""a4"":0,""a5"":66,""b11"":32,""b12"":10,""b13"":18,""b14"":83,""b15"":89,""b16"":84,""b2"":174,""b31"":219,""b32"":154,""b33"":183,""b4"":154,""b5"":17,""b6"":114,""b7"":852}",AGE_Q×SEX
g1,Q3|M,after_minpc,19,14,5,a1|a3|a4|b12|b13,a2|a5|b11|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":4,""a2"":251,""a3"":0,""a4"":0,""a5"":43,""b11"":42,""b12"":7,""b13"":0,""b14"":65,""b15"":102,""b16"":124,""b2"":97,""b31"":201,""b32"":132,""b33"":134,""b4"":194,""b5"":19,""b6"":96,""b7"":532}",AGE_Q×SEX
g1,Q3|M,after_support,19,13,6,a1|a3|a4|b12|b13|b5,a2|a5|b11|b14|b15|b16|b2|b31|b32|b33|b4|b6|b7,"{""a1"":4,""a2"":251,""a3"":0,""a4"":0,""a5"":43,""b11"":42,""b12"":7,""b13"":0,""b14"":65,""b15"":102,""b16"":124,""b2"":97,""b31"":201,""b32"":132,""b33"":134,""b4"":194,""b5"":19,""b6"":96,""b7"":532}",AGE_Q×SEX
