fips,cluster,period
36099,C1320,2011_2017
04003,C447,2011_2017
13319,C2426,2011_2017
20079,C1246,2011_2017
04025,C193,2011_2017
18003,C169,2011_2017
36055,C65,2011_2017
45019,C172,2011_2017
10003,C110,2011_2017
47051,C1007,2011_2017
28127,C1456,2011_2017
06037,C1,2011_2017
13153,C492,2011_2017
01073,C60,2011_2017
17201,C190,2011_2017
06099,C133,2011_2017
39035,C18,2011_2017
41005,C166,2011_2017
08001,C8,2011_2017
55085,C1037,2011_2017
48029,C22,2011_2017
18065,C847,2011_2017
51199,C286,2011_2017
36001,C200,2011_2017
12057,C31,2011_2017
42133,C135,2011_2017
36101,C527,2011_2017
12051,C1530,2011_2017
12099,C17,2011_2017
19087,C1832,2011_2017
26161,C248,2011_2017
24003,C124,2011_2017
06059,C7,2011_2017
25017,C27,2011_2017
29007,C1429,2011_2017
48135,C440,2011_2017
24510,C64,2011_2017
41047,C203,2011_2017
53033,C21,2011_2017
48439,C23,2011_2017
02100,C2000,2011_2017
41067,C165,2011_2017
09005,C293,2011_2017
40101,C582,2011_2017
42101,C16,2011_2017
12005,C301,2011_2017
12097,C257,2011_2017
41051,C87,2011_2017
36023,C1062,2011_2017
19041,C1965,2011_2017
21077,C2314,2011_2017
18081,C442,2011_2017
29189,C33,2011_2017
45063,C231,2011_2017
42107,C289,2011_2017
18085,C767,2011_2017
36103,C24,2011_2017
12083,C108,2011_2017
27139,C799,2011_2017
36061,C32,2011_2017
19127,C1098,2011_2017
13121,C70,2011_2017
12103,C25,2011_2017
05139,C944,2011_2017
42011,C141,2011_2017
55069,C1253,2011_2017
48339,C155,2011_2017
12071,C63,2011_2017
36081,C15,2011_2017
47037,C95,2011_2017
24005,C48,2011_2017
06067,C29,2011_2017
06019,C68,2011_2017
16069,C962,2011_2017
26091,C553,2011_2017
21019,C832,2011_2017
19045,C916,2011_2017
05007,C329,2011_2017
34003,C58,2011_2017
37119,C84,2011_2017
33013,C428,2011_2017
18097,C46,2011_2017
12095,C53,2011_2017
29175,C1506,2011_2017
22055,C311,2011_2017
28041,C2342,2011_2017
26139,C291,2011_2017
36067,C119,2011_2017
12031,C49,2011_2017
27027,C1011,2011_2017
53047,C1130,2011_2017
39169,C482,2011_2017
17045,C1657,2011_2017
36047,C10,2011_2017
06061,C181,2011_2017
48181,C398,2011_2017
17053,C1871,2011_2017
32003,C13,2011_2017
42043,C221,2011_2017
21117,C381,2011_2017
01101,C263,2011_2017
55025,C173,2011_2017
36059,C28,2011_2017
18011,C1005,2011_2017
17131,C2045,2011_2017
26125,C30,2011_2017
18051,C1353,2011_2017
42019,C283,2011_2017
13089,C114,2011_2017
42111,C577,2011_2017
49035,C72,2011_2017
36029,C34,2011_2017
32019,C869,2011_2017
42045,C89,2011_2017
06033,C633,2011_2017
39049,C37,2011_2017
18073,C1438,2011_2017
26017,C444,2011_2017
12127,C67,2011_2017
26163,C9,2011_2017
13283,C886,2011_2017
36007,C258,2011_2017
39025,C331,2011_2017
55079,C42,2011_2017
06073,C5,2011_2017
21111,C50,2011_2017
17081,C1109,2011_2017
23027,C1234,2011_2017
29149,C2204,2011_2017
55109,C875,2011_2017
29123,C2021,2011_2017
12017,C219,2011_2017
37081,C127,2011_2017
24013,C378,2011_2017
40067,C2328,2011_2017
01099,C1590,2011_2017
20175,C2394,2011_2017
25025,C104,2011_2017
48027,C255,2011_2017
37033,C1508,2011_2017
26049,C115,2011_2017
13223,C691,2011_2017
35039,C1168,2011_2017
17105,C1128,2011_2017
42083,C894,2011_2017
37171,C621,2011_2017
27119,C1315,2011_2017
17143,C302,2011_2017
20177,C299,2011_2017
13301,C1819,2011_2017
37071,C247,2011_2017
27123,C131,2011_2017
27097,C1373,2011_2017
09009,C47,2011_2017
17019,C436,2011_2017
26061,C1397,2011_2017
12053,C211,2011_2017
45085,C507,2011_2017
45003,C323,2011_2017
36009,C642,2011_2017
42073,C460,2011_2017
19113,C313,2011_2017
49053,C456,2011_2017
27053,C41,2011_2017
21037,C664,2011_2017
36119,C55,2011_2017
42017,C80,2011_2017
37021,C207,2011_2017
42003,C19,2011_2017
48113,C12,2011_2017
39053,C1342,2011_2017
06029,C86,2011_2017
37051,C229,2011_2017
29095,C71,2011_2017
26093,C403,2011_2017
20173,C122,2011_2017
25027,C59,2011_2017
06065,C11,2011_2017
26005,C584,2011_2017
54081,C520,2011_2017
24001,C594,2011_2017
08035,C464,2011_2017
39051,C1156,2011_2017
19139,C1249,2011_2017
26075,C330,2011_2017
30063,C616,2011_2017
27047,C1300,2011_2017
48201,C4,2011_2017
34015,C210,2011_2017
48451,C512,2011_2017
12091,C321,2011_2017
40109,C57,2011_2017
48389,C938,2011_2017
17031,C2,2011_2017
53063,C117,2011_2017
47093,C125,2011_2017
26077,C260,2011_2017
13279,C1340,2011_2017
29077,C202,2011_2017
17187,C2012,2011_2017
05033,C815,2011_2017
47087,C2057,2011_2017
06111,C91,2011_2017
36063,C232,2011_2017
12069,C140,2011_2017
04015,C176,2011_2017
01039,C904,2011_2017
29510,C180,2011_2017
42079,C134,2011_2017
39041,C546,2011_2017
49011,C314,2011_2017
23017,C793,2011_2017
36115,C785,2011_2017
06013,C51,2011_2017
48091,C502,2011_2017
04012,C315,2011_2017
31055,C138,2011_2017
25009,C66,2011_2017
34007,C106,2011_2017
39085,C222,2011_2017
24045,C588,2011_2017
06053,C215,2011_2017
33019,C1142,2011_2017
21097,C1671,2011_2017
37127,C533,2011_2017
12015,C223,2011_2017
45077,C477,2011_2017
31079,C961,2011_2017
12086,C6,2011_2017
01065,C2049,2011_2017
18123,C1791,2011_2017
13029,C1632,2011_2017
34005,C136,2011_2017
04013,C3,2011_2017
40027,C297,2011_2017
53061,C100,2011_2017
37195,C623,2011_2017
36085,C149,2011_2017
13261,C1355,2011_2017
39109,C509,2011_2017
37151,C359,2011_2017
36089,C569,2011_2017
13115,C518,2011_2017
50005,C1431,2011_2017
25013,C111,2011_2017
13067,C128,2011_2017
27147,C1484,2011_2017
34023,C77,2011_2017
17091,C493,2011_2017
20057,C1761,2011_2017
01059,C1257,2011_2017
42081,C434,2011_2017
01089,C188,2011_2017
51680,C685,2011_2017
51059,C96,2011_2017
40137,C905,2011_2017
48215,C129,2011_2017
53025,C823,2011_2017
47063,C700,2011_2017
39045,C454,2011_2017
06079,C233,2011_2017
55027,C615,2011_2017
44009,C475,2011_2017
37141,C947,2011_2017
12119,C340,2011_2017
51073,C1272,2011_2017
01133,C1369,2011_2017
18095,C355,2011_2017
18063,C491,2011_2017
29111,C2367,2011_2017
17089,C171,2011_2017
13199,C1662,2011_2017
21127,C1812,2011_2017
47045,C1079,2011_2017
45045,C126,2011_2017
48423,C264,2011_2017
06001,C36,2011_2017
26157,C922,2011_2017
26065,C254,2011_2017
12035,C448,2011_2017
54019,C802,2011_2017
28007,C1648,2011_2017
37027,C568,2011_2017
29143,C1727,2011_2017
12011,C14,2011_2017
20015,C821,2011_2017
54049,C754,2011_2017
47079,C1053,2011_2017
23029,C1078,2011_2017
21157,C1178,2011_2017
37135,C696,2011_2017
18001,C1444,2011_2017
06115,C857,2011_2017
41019,C406,2011_2017
48371,C2332,2011_2017
21071,C1031,2011_2017
27037,C224,2011_2017
37067,C156,2011_2017
39017,C164,2011_2017
16043,C2432,2011_2017
21003,C1748,2011_2017
55039,C578,2011_2017
38015,C769,2011_2017
39095,C116,2011_2017
12009,C61,2011_2017
27003,C269,2011_2017
38035,C1012,2011_2017
29159,C1179,2011_2017
20155,C713,2011_2017
48485,C423,2011_2017
55139,C384,2011_2017
21091,C534,2011_2017
48319,C1022,2011_2017
42041,C240,2011_2017
19193,C618,2011_2017
12003,C1719,2011_2017
10005,C228,2011_2017
08125,C2375,2011_2017
30055,C2458,2011_2017
39033,C910,2011_2017
47123,C989,2011_2017
21045,C1904,2011_2017
18091,C466,2011_2017
41071,C632,2011_2017
53027,C647,2011_2017
22033,C145,2011_2017
49021,C1457,2011_2017
48441,C435,2011_2017
48061,C218,2011_2017
12115,C93,2011_2017
18057,C371,2011_2017
16001,C195,2011_2017
17183,C516,2011_2017
34011,C372,2011_2017
06039,C515,2011_2017
53053,C73,2011_2017
26033,C1459,2011_2017
51041,C243,2011_2017
17197,C118,2011_2017
49039,C1934,2011_2017
26059,C1057,2011_2017
20091,C150,2011_2017
17097,C113,2011_2017
30035,C2182,2011_2017
31151,C2327,2011_2017
51510,C735,2011_2017
48409,C855,2011_2017
05065,C1985,2011_2017
06093,C885,2011_2017
42055,C374,2011_2017
18083,C1144,2011_2017
28051,C1959,2011_2017
12117,C163,2011_2017
31109,C271,2011_2017
34017,C143,2011_2017
21153,C2161,2011_2017
12101,C78,2011_2017
39107,C1186,2011_2017
28081,C591,2011_2017
25001,C191,2011_2017
39123,C1036,2011_2017
22071,C174,2011_2017
36065,C216,2011_2017
17051,C1747,2011_2017
25021,C82,2011_2017
45083,C186,2011_2017
48355,C189,2011_2017
12021,C168,2011_2017
22037,C1593,2011_2017
42091,C54,2011_2017
40143,C83,2011_2017
24031,C26,2011_2017
37163,C764,2011_2017
21195,C682,2011_2017
06047,C322,2011_2017
09003,C45,2011_2017
39151,C123,2011_2017
51015,C429,2011_2017
28033,C405,2011_2017
26099,C40,2011_2017
34035,C244,2011_2017
39113,C74,2011_2017
42095,C187,2011_2017
34025,C88,2011_2017
55009,C290,2011_2017
37101,C407,2011_2017
48453,C97,2011_2017
06025,C541,2011_2017
19181,C1232,2011_2017
47089,C840,2011_2017
09007,C367,2011_2017
06107,C185,2011_2017
27171,C719,2011_2017
17043,C76,2011_2017
48347,C895,2011_2017
39093,C175,2011_2017
37147,C453,2011_2017
29103,C2367,2011_2017
01103,C419,2011_2017
12081,C146,2011_2017
48481,C1105,2011_2017
55105,C358,2011_2017
39099,C179,2011_2017
19101,C2073,2011_2017
17119,C197,2011_2017
36093,C353,2011_2017
48183,C445,2011_2017
36117,C617,2011_2017
37087,C705,2011_2017
47009,C415,2011_2017
18041,C1388,2011_2017
36087,C249,2011_2017
48467,C814,2011_2017
01115,C586,2011_2017
06087,C312,2011_2017
18061,C1273,2011_2017
24043,C385,2011_2017
51083,C1065,2011_2017
36031,C1143,2011_2017
06017,C360,2011_2017
27071,C2194,2011_2017
17099,C416,2011_2017
48479,C433,2011_2017
22079,C377,2011_2017
30029,C649,2011_2017
05035,C997,2011_2017
06085,C35,2011_2017
47011,C517,2011_2017
34039,C137,2011_2017
26023,C1063,2011_2017
39141,C678,2011_2017
36037,C851,2011_2017
48157,C194,2011_2017
21015,C671,2011_2017
37025,C369,2011_2017
37173,C2039,2011_2017
51550,C332,2011_2017
05145,C654,2011_2017
30111,C379,2011_2017
39021,C1226,2011_2017
51087,C214,2011_2017
13033,C1777,2011_2017
06007,C238,2011_2017
06083,C178,2011_2017
08041,C121,2011_2017
06045,C641,2011_2017
54069,C903,2011_2017
53009,C574,2011_2017
13063,C347,2011_2017
48161,C1801,2011_2017
37019,C417,2011_2017
28043,C1536,2011_2017
29059,C1977,2011_2017
51165,C540,2011_2017
26081,C105,2011_2017
41039,C153,2011_2017
47157,C43,2011_2017
46083,C1861,2011_2017
53071,C917,2011_2017
54061,C791,2011_2017
53057,C471,2011_2017
06081,C107,2011_2017
06023,C426,2011_2017
39173,C478,2011_2017
27137,C259,2011_2017
47155,C542,2011_2017
34031,C147,2011_2017
40123,C1169,2011_2017
27163,C373,2011_2017
37013,C888,2011_2017
51650,C439,2011_2017
29019,C529,2011_2017
42129,C109,2011_2017
28083,C1329,2011_2017
54039,C226,2011_2017
44007,C85,2011_2017
45075,C510,2011_2017
51153,C287,2011_2017
48049,C1022,2011_2017
33017,C531,2011_2017
48121,C160,2011_2017
39165,C344,2011_2017
13321,C1810,2011_2017
18163,C272,2011_2017
13129,C958,2011_2017
20125,C1197,2011_2017
26147,C306,2011_2017
35043,C506,2011_2017
18089,C102,2011_2017
22113,C879,2011_2017
55017,C868,2011_2017
08029,C1293,2011_2017
37155,C411,2011_2017
05131,C425,2011_2017
51191,C856,2011_2017
20095,C2308,2011_2017
05009,C1182,2011_2017
36021,C763,2011_2017
51720,C1004,2011_2017
29047,C333,2011_2017
17113,C483,2011_2017
54067,C1394,2011_2017
18133,C1284,2011_2017
48141,C98,2011_2017
40019,C808,2011_2017
06089,C250,2011_2017
01107,C1757,2011_2017
47113,C550,2011_2017
42125,C217,2011_2017
55061,C1962,2011_2017
17007,C1230,2011_2017
15003,C52,2011_2017
45051,C167,2011_2017
19145,C1845,2011_2017
13229,C1899,2011_2017
04001,C834,2011_2017
13021,C309,2011_2017
28085,C1183,2011_2017
11001,C103,2011_2017
26103,C787,2011_2017
42027,C581,2011_2017
42093,C1772,2011_2017
30013,C652,2011_2017
47149,C305,2011_2017
18103,C1242,2011_2017
26121,C328,2011_2017
37159,C343,2011_2017
42007,C245,2011_2017
18127,C392,2011_2017
19011,C1753,2011_2017
23003,C628,2011_2017
39007,C462,2011_2017
39137,C1451,2011_2017
34013,C75,2011_2017
18027,C1375,2011_2017
19089,C2250,2011_2017
34029,C56,2011_2017
13091,C1802,2011_2017
04019,C39,2011_2017
23031,C285,2011_2017
56021,C695,2011_2017
22007,C1828,2011_2017
06069,C1371,2011_2017
19017,C1890,2011_2017
19013,C441,2011_2017
21119,C1796,2011_2017
39155,C204,2011_2017
01003,C282,2011_2017
48277,C826,2011_2017
22051,C130,2011_2017
17073,C945,2011_2017
37183,C99,2011_2017
01019,C1358,2011_2017
22045,C731,2011_2017
56013,C1152,2011_2017
48265,C741,2011_2017
29141,C1576,2011_2017
05107,C1499,2011_2017
28047,C268,2011_2017
33001,C780,2011_2017
55063,C524,2011_2017
08083,C1581,2011_2017
26051,C1362,2011_2017
20001,C2071,2011_2017
21161,C1839,2011_2017
08101,C337,2011_2017
46099,C410,2011_2017
37001,C339,2011_2017
18179,C1621,2011_2017
42029,C144,2011_2017
19155,C605,2011_2017
45031,C658,2011_2017
26001,C1992,2011_2017
18141,C205,2011_2017
06071,C20,2011_2017
36083,C354,2011_2017
51161,C560,2011_2017
47107,C756,2011_2017
37137,C2172,2011_2017
48147,C1154,2011_2017
48039,C246,2011_2017
36027,C227,2011_2017
12105,C69,2011_2017
36091,C319,2011_2017
42127,C788,2011_2017
29099,C281,2011_2017
26155,C757,2011_2017
55021,C925,2011_2017
01097,C120,2011_2017
53011,C170,2011_2017
18117,C1859,2011_2017
37165,C1259,2011_2017
48497,C932,2011_2017
34001,C212,2011_2017
45079,C184,2011_2017
38023,C2580,2011_2017
27095,C1489,2011_2017
32031,C152,2011_2017
51710,C288,2011_2017
30091,C2613,2011_2017
45007,C261,2011_2017
17145,C1659,2011_2017
22063,C489,2011_2017
09001,C62,2011_2017
20121,C1501,2011_2017
54075,C2337,2011_2017
21011,C2202,2011_2017
45033,C1212,2011_2017
18035,C446,2011_2017
51053,C1627,2011_2017
19169,C985,2011_2017
40121,C844,2011_2017
