garbage_bin,stratum,stage,total_candidates,kept_n,dropped_n,dropped_classes,kept_classes,support_json,note
g1,Q1|F,after_minpc,19,17,2,a3|a4,a1|a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":15,""a2"":168,""a3"":0,""a4"":5,""a5"":97,""b11"":85,""b12"":15,""b13"":91,""b14"":99,""b15"":191,""b16"":179,""b2"":143,""b31"":67,""b32"":54,""b33"":127,""b4"":157,""b5"":219,""b6"":160,""b7"":818}",AGE_Q×SEX
g1,Q1|F,after_support,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":15,""a2"":168,""a3"":0,""a4"":5,""a5"":97,""b11"":85,""b12"":15,""b13"":91,""b14"":99,""b15"":191,""b16"":179,""b2"":143,""b31"":67,""b32"":54,""b33"":127,""b4"":157,""b5"":219,""b6"":160,""b7"":818}",AGE_Q×SEX
g1,Q1|M,after_minpc,19,17,2,a3|b13,a1|a2|a4|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":32,""a2"":236,""a3"":0,""a4"":16,""a5"":83,""b11"":113,""b12"":46,""b13"":0,""b14"":160,""b15"":255,""b16"":140,""b2"":167,""b31"":102,""b32"":76,""b33"":193,""b4"":186,""b5"":426,""b6"":165,""b7"":746}",AGE_Q×SEX
g1,Q1|M,after_support,19,16,3,a3|a4|b13,a1|a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":32,""a2"":236,""a3"":0,""a4"":16,""a5"":83,""b11"":113,""b12"":46,""b13"":0,""b14"":160,""b15"":255,""b16"":140,""b2"":167,""b31"":102,""b32"":76,""b33"":193,""b4"":186,""b5"":426,""b6"":165,""b7"":746}",AGE_Q×SEX
g1,Q2|F,after_minpc,19,16,3,a1|a3|a4,a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":2,""a2"":183,""a3"":0,""a4"":0,""a5"":116,""b11"":90,""b12"":12,""b13"":50,""b14"":106,""b15"":147,""b16"":111,""b2"":143,""b31"":129,""b32"":80,""b33"":157,""b4"":214,""b5"":65,""b6"":145,""b7"":809}",AGE_Q×SEX
g1,Q2|F,after_support,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":2,""a2"":183,""a3"":0,""a4"":0,""a5"":116,""b11"":90,""b12"":12,""b13"":50,""b14"":106,""b15"":147,""b16"":111,""b2"":143,""b31"":129,""b32"":80,""b33"":157,""b4"":214,""b5"":65,""b6"":145,""b7"":809}",AGE_Q×SEX
g1,Q2|M,after_minpc,19,15,4,a1|a3|a4|b13,a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":4,""a2"":207,""a3"":0,""a4"":0,""a5"":103,""b11"":132,""b12"":28,""b13"":1,""b14"":157,""b15"":203,""b16"":153,""b2"":149,""b31"":186,""b32"":102,""b33"":168,""b4"":253,""b5"":90,""b6"":149,""b7"":597}",AGE_Q×SEX
g1,Q2|M,after_support,19,15,4,a1|a3|a4|b13,a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":4,""a2"":207,""a3"":0,""a4"":0,""a5"":103,""b11"":132,""b12"":28,""b13"":1,""b14"":157,""b15"":203,""b16"":153,""b2"":149,""b31"":186,""b32"":102,""b33"":168,""b4"":253,""b5"":90,""b6"":149,""b7"":597}",AGE_Q×SEX
g1,Q3|F,after_minpc,19,16,3,a1|a3|a4,a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":1,""a2"":272,""a3"":0,""a4"":0,""a5"":155,""b11"":45,""b12"":10,""b13"":28,""b14"":77,""b15"":93,""b16"":80,""b2"":141,""b31"":192,""b32"":98,""b33"":155,""b4"":196,""b5"":32,""b6"":137,""b7"":901}",AGE_Q×SEX
g1,Q3|F,after_support,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":1,""a2"":272,""a3"":0,""a4"":0,""a5"":155,""b11"":45,""b12"":10,""b13"":28,""b14"":77,""b15"":93,""b16"":80,""b2"":141,""b31"":192,""b32"":98,""b33"":155,""b4"":196,""b5"":32,""b6"":137,""b7"":901}",AGE_Q×SEX
g1,Q3|M,after_minpc,19,15,4,a1|a3|a4|b13,a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":2,""a2"":258,""a3"":0,""a4"":0,""a5"":109,""b11"":56,""b12"":11,""b13"":2,""b14"":98,""b15"":127,""b16"":140,""b2"":99,""b31"":196,""b32"":115,""b33"":159,""b4"":216,""b5"":22,""b6"":123,""b7"":643}",AGE_Q×SEX
g1,Q3|M,after_support,19,14,5,a1|a3|a4|b12|b13,a2|a5|b11|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":2,""a2"":258,""a3"":0,""a4"":0,""a5"":109,""b11"":56,""b12"":11,""b13"":2,""b14"":98,""b15"":127,""b16"":140,""b2"":99,""b31"":196,""b32"":115,""b33"":159,""b4"":216,""b5"":22,""b6"":123,""b7"":643}",AGE_Q×SEX
g1,Q4|F,after_minpc,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":0,""a2"":338,""a3"":0,""a4"":0,""a5"":179,""b11"":12,""b12"":3,""b13"":13,""b14"":61,""b15"":43,""b16"":65,""b2"":109,""b31"":235,""b32"":138,""b33"":222,""b4"":190,""b5"":16,""b6"":164,""b7"":1231}",AGE_Q×SEX
g1,Q4|F,after_support,19,12,7,a1|a3|a4|b11|b12|b13|b5,a2|a5|b14|b15|b16|b2|b31|b32|b33|b4|b6|b7,"{""a1"":0,""a2"":338,""a3"":0,""a4"":0,""a5"":179,""b11"":12,""b12"":3,""b13"":13,""b14"":61,""b15"":43,""b16"":65,""b2"":109,""b31"":235,""b32"":138,""b33"":222,""b4"":190,""b5"":16,""b6"":164,""b7"":1231}",AGE_Q×SEX
g1,Q4|M,after_minpc,19,13,6,a1|a3|a4|b12|b13|b5,a2|a5|b11|b14|b15|b16|b2|b31|b32|b33|b4|b6|b7,"{""a1"":2,""a2"":266,""a3"":0,""a4"":0,""a5"":90,""b11"":20,""b12"":4,""b13"":1,""b14"":47,""b15"":53,""b16"":90,""b2"":73,""b31"":179,""b32"":74,""b33"":125,""b4"":158,""b5"":6,""b6"":99,""b7"":578}",AGE_Q×SEX
g1,Q4|M,after_support,19,13,6,a1|a3|a4|b12|b13|b5,a2|a5|b11|b14|b15|b16|b2|b31|b32|b33|b4|b6|b7,"{""a1"":2,""a2"":266,""a3"":0,""a4"":0,""a5"":90,""b11"":20,""b12"":4,""b13"":1,""b14"":47,""b15"":53,""b16"":90,""b2"":73,""b31"":179,""b32"":74,""b33"":125,""b4"":158,""b5"":6,""b6"":99,""b7"":578}",AGE_Q×SEX
g2,Q1|F,after_minpc,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":526,""b31"":1482,""b32"":114,""b33"":911,""b4"":682,""b5"":84,""b6"":199,""b7"":411}",AGE_Q×SEX
g2,Q1|F,after_support,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":526,""b31"":1482,""b32"":114,""b33"":911,""b4"":682,""b5"":84,""b6"":199,""b7"":411}",AGE_Q×SEX
g2,Q1|M,after_minpc,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":577,""b31"":2569,""b32"":128,""b33"":1139,""b4"":693,""b5"":142,""b6"":214,""b7"":403}",AGE_Q×SEX
g2,Q1|M,after_support,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":577,""b31"":2569,""b32"":128,""b33"":1139,""b4"":693,""b5"":142,""b6"":214,""b7"":403}",AGE_Q×SEX
g2,Q2|F,after_minpc,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":322,""b31"":1764,""b32"":171,""b33"":1033,""b4"":638,""b5"":33,""b6"":182,""b7"":262}",AGE_Q×SEX
g2,Q2|F,after_support,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":322,""b31"":1764,""b32"":171,""b33"":1033,""b4"":638,""b5"":33,""b6"":182,""b7"":262}",AGE_Q×SEX
g2,Q2|M,after_minpc,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":255,""b31"":2062,""b32"":116,""b33"":749,""b4"":552,""b5"":27,""b6"":183,""b7"":203}",AGE_Q×SEX
g2,Q2|M,after_support,8,8,0,,b2|b31|b32|b33|b4|b5|b6|b7,"{""b2"":255,""b31"":2062,""b32"":116,""b33"":749,""b4"":552,""b5"":27,""b6"":183,""b7"":203}",AGE_Q×SEX
g2,Q3|F,after_minpc,8,7,1,b5,b2|b31|b32|b33|b4|b6|b7,"{""b2"":304,""b31"":2431,""b32"":219,""b33"":1509,""b4"":518,""b5"":9,""b6"":194,""b7"":307}",AGE_Q×SEX
g2,Q3|F,after_support,8,7,1,b5,b2|b31|b32|b33|b4|b6|b7,"{""b2"":304,""b31"":2431,""b32"":219,""b33"":1509,""b4"":518,""b5"":9,""b6"":194,""b7"":307}",AGE_Q×SEX
g2,Q3|M,after_minpc,8,7,1,b5,b2|b31|b32|b33|b4|b6|b7,"{""b2"":178,""b31"":1941,""b32"":102,""b33"":792,""b4"":424,""b5"":8,""b6"":185,""b7"":147}",AGE_Q×SEX
g2,Q3|M,after_support,8,7,1,b5,b2|b31|b32|b33|b4|b6|b7,"{""b2"":178,""b31"":1941,""b32"":102,""b33"":792,""b4"":424,""b5"":8,""b6"":185,""b7"":147}",AGE_Q×SEX
g2,Q4|F,after_minpc,8,7,1,b5,b2|b31|b32|b33|b4|b6|b7,"{""b2"":155,""b31"":2466,""b32"":210,""b33"":1515,""b4"":343,""b5"":8,""b6"":168,""b7"":306}",AGE_Q×SEX
g2,Q4|F,after_support,8,7,1,b5,b2|b31|b32|b33|b4|b6|b7,"{""b2"":155,""b31"":2466,""b32"":210,""b33"":1515,""b4"":343,""b5"":8,""b6"":168,""b7"":306}",AGE_Q×SEX
g2,Q4|M,after_minpc,8,7,1,b5,b2|b31|b32|b33|b4|b6|b7,"{""b2"":72,""b31"":1139,""b32"":64,""b33"":521,""b4"":191,""b5"":0,""b6"":99,""b7"":123}",AGE_Q×SEX
g2,Q4|M,after_support,8,7,1,b5,b2|b31|b32|b33|b4|b6|b7,"{""b2"":72,""b31"":1139,""b32"":64,""b33"":521,""b4"":191,""b5"":0,""b6"":99,""b7"":123}",AGE_Q×SEX
g4,Q1|F,after_minpc,22,16,6,a1|a2|a3|b12|c21|c22,a4|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7|c12,"{""a1"":5,""a2"":8,""a3"":0,""a4"":10,""a5"":26,""b11"":32,""b12"":4,""b13"":27,""b14"":32,""b15"":22,""b16"":67,""b2"":46,""b31"":42,""b32"":21,""b33"":51,""b4"":53,""b5"":49,""b6"":69,""b7"":147,""c12"":16,""c21"":4,""c22"":2}",AGE_Q×SEX
g4,Q1|F,after_support,22,14,8,a1|a2|a3|a4|b12|c12|c21|c22,a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":5,""a2"":8,""a3"":0,""a4"":10,""a5"":26,""b11"":32,""b12"":4,""b13"":27,""b14"":32,""b15"":22,""b16"":67,""b2"":46,""b31"":42,""b32"":21,""b33"":51,""b4"":53,""b5"":49,""b6"":69,""b7"":147,""c12"":16,""c21"":4,""c22"":2}",AGE_Q×SEX
g4,Q1|M,after_minpc,22,18,4,a3|b13|c21|c22,a1|a2|a4|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7|c12,"{""a1"":13,""a2"":18,""a3"":0,""a4"":13,""a5"":18,""b11"":54,""b12"":13,""b13"":0,""b14"":65,""b15"":38,""b16"":60,""b2"":40,""b31"":51,""b32"":28,""b33"":65,""b4"":48,""b5"":107,""b6"":96,""b7"":130,""c12"":21,""c21"":0,""c22"":0}",AGE_Q×SEX
g4,Q1|M,after_support,22,13,9,a1|a2|a3|a4|a5|b12|b13|c21|c22,b11|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7|c12,"{""a1"":13,""a2"":18,""a3"":0,""a4"":13,""a5"":18,""b11"":54,""b12"":13,""b13"":0,""b14"":65,""b15"":38,""b16"":60,""b2"":40,""b31"":51,""b32"":28,""b33"":65,""b4"":48,""b5"":107,""b6"":96,""b7"":130,""c12"":21,""c21"":0,""c22"":0}",AGE_Q×SEX
g4,Q2|F,after_minpc,22,15,7,a1|a3|a4|b12|b5|c21|c22,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b6|b7|c12,"{""a1"":0,""a2"":14,""a3"":0,""a4"":0,""a5"":41,""b11"":29,""b12"":2,""b13"":12,""b14"":35,""b15"":17,""b16"":54,""b2"":32,""b31"":73,""b32"":62,""b33"":48,""b4"":54,""b5"":8,""b6"":65,""b7"":127,""c12"":14,""c21"":0,""c22"":0}",AGE_Q×SEX
