stable_fips,DQ_prop_garbage,prop_light,pct_overd_miss,prop_all_comp,n_cert,iso_score,lof_score,km_cluster,iso_rank,lof_rank,anomaly_flag
20115,0.20491729374710418,0.33390394329183404,0.15384615384615383,0.795799053741605,68.66666666666667,0.5858810647426319,1.8508367547706213,2,1692,116,TRUE
20117,0.231321639908105,0.30382324071590616,0.31818181818181823,0.7973310680017962,42.625,0.5848513331008491,1.1577072954692365,2,1984,1919,FALSE
20119,0.24822329684462582,0.28121080626321937,0.11904761904761904,0.7971819362553265,98.41666666666664,0.5912969715133121,1.468116122130899,2,1015,409,FALSE
20121,0.2177546376071483,0.3104976338192575,0.08823529411764705,0.7912072549780987,68.33333333333333,0.5826395924185535,1.0062664211586194,2,3214,3878,FALSE
20123,0.2843536643329229,0.3251094594143181,0.2,0.791741542213068,20.208333333333336,0.5910569821809154,1.2414759063012577,2,1032,1180,FALSE
20125,0.22522552961527098,0.29574802315798443,0.15392156862745102,0.7907415970884415,83.95833333333333,0.5824819313741509,1.1885669396293677,2,3401,1592,FALSE
20127,0.23743203503188998,0.33265032699508335,0.125,0.7971367909682756,19.833333333333336,0.5854847997267503,1.4026180095507104,2,1802,551,FALSE
20129,0.2213815335736054,0.30177572909110284,0.25,0.8061066942316942,11.208333333333332,0.5862775979567023,2.1949751227373873,2,1608,48,TRUE
20131,0.27130940563488753,0.32539908402021683,0.10714285714285714,0.7939436763303971,30.708333333333332,0.5851679806948373,1.2242073604192398,2,1885,1287,FALSE
20133,0.25572479242224927,0.30641994461026056,0.15151515151515152,0.7954466680435126,42.666666666666664,0.5831128316437283,1.1768569238670903,2,2814,1704,FALSE
20135,0.19092936777012467,0.313708785694966,0,0.798994552985205,21.5,0.5881846964340494,1.4427141565216894,2,1311,460,FALSE
20137,0.2790970989323308,0.29354510470862943,0.25,0.7956476615024409,23.416666666666668,0.5915370582895786,1.397451891806796,2,1001,560,FALSE
20139,0.19771194453471216,0.3137331452508337,0.15555555555555556,0.7925927625109869,41.083333333333336,0.5829550425417899,1.221578551112738,2,2925,1304,FALSE
20141,0.2645499447239733,0.32487529584830876,0,0.7957380798356807,25.833333333333332,0.5846930735640845,1.14861912719011,2,2038,1999,FALSE
20143,0.2317951875129321,0.2977852447191958,0.05555555555555556,0.7984791557931175,70.79166666666667,0.5857225265626577,1.264739614863352,2,1733,1030,FALSE
20145,0.2313268177720568,0.3151254068894369,0.08333333333333334,0.7859844712722839,22.666666666666664,0.5837444152566484,1.1242046441669142,2,2420,2271,FALSE
20147,0.22214655381946083,0.3254356305708572,0.125,0.795208332495081,17.333333333333336,0.5826395924185535,1.2584633926693518,2,3215,1064,FALSE
20149,0.23714258514977699,0.3130709867552045,0.125,0.7939643176640745,37.333333333333336,0.5823243129924944,1.099931281194336,2,3665,2593,FALSE
20151,0.28455134979356567,0.318239254110673,0.03333333333333333,0.7882768343631721,22.5,0.5939432941774639,1.1017250284416022,2,869,2565,FALSE
20153,0.2758852483345016,0.3816646298208395,0.33333333333333337,0.7800013318319955,10.25,0.6344881878357608,2.3928647576531894,2,226,27,TRUE
20155,0.22884292268469772,0.3116512313401172,0.07769423558897243,0.7945413169850638,121.625,0.582718438942893,1.0568323862496285,2,3133,3165,FALSE
20157,0.23172897040009055,0.2853150765092459,0.375,0.7989039771083061,26.875,0.5987851698011657,1.5157090108800815,2,698,333,FALSE
20159,0.23148365391503342,0.3082291223874972,0,0.7896297081786431,28.5,0.5831917422098332,1.0031654926315459,2,2739,3920,FALSE
20161,0.21883787002023183,0.3165278162252509,0.24074074074074073,0.792918781357054,107.375,0.5823243129924944,1.0403039741432125,2,3666,3405,FALSE
20163,0.21881779277573965,0.30893903398068334,0.13571428571428573,0.7921197319596194,98.875,0.582403116851201,0.9737105506181388,2,3528,4222,FALSE
20165,0.335926844912759,0.3205557525806013,0.14285714285714288,0.7925569855696212,24.208333333333332,0.6030949820607975,1.3246270263114364,2,584,779,FALSE
20167,0.21993241361442148,0.3174661379022555,0.14814814814814814,0.7866203440931511,78.54166666666667,0.5829550425417899,1.1694564572337895,2,2926,1789,FALSE
20169,0.21534133805073988,0.32769650632844005,0.184375,0.7913104005794741,95.625,0.5851679806948373,1.4193036146019247,2,1886,518,FALSE
20171,0.29693221908406164,0.3302406643012717,0,0.7953641266141266,11.5,0.5939432941774639,1.1750978759822488,2,870,1718,FALSE
20173,0.22056124584561887,0.31080083101290973,0.2072244914025599,0.7909536306206382,733.75,0.5821667372620394,0.9800416522034522,2,4021,4169,FALSE
20175,0.26804444079645195,0.30554853386267156,0.25,0.7912291185240748,26.416666666666668,0.5867537920907855,1.2128417588377833,2,1525,1369,FALSE
20177,0.2125927201396275,0.315847210432773,0.09775304061018347,0.7908153351259534,321.45833333333337,0.5824819313741509,1.042994268085186,2,3402,3359,FALSE
20179,0.27083564205164845,0.3156423352952197,0,0.8030158107067523,47.91666666666667,0.5868331953749965,1.1585809267379266,2,1516,1916,FALSE
20181,0.2694808352663067,0.33454234877036965,0.125,0.7917779353210928,20.083333333333336,0.5889811505630641,1.3520153374379729,2,1216,693,FALSE
20183,0.24428767088386047,0.3011457230784389,0.2857142857142857,0.806146825742714,43.291666666666664,0.5878664164271266,1.7609939991952843,2,1352,152,TRUE
20185,0.19699196004357608,0.3140640271334696,0,0.798884760245209,14.5,0.5870714697056145,1.3556918872012462,2,1473,675,FALSE
20187,0.19932561713654687,0.3172304839182606,0.16666666666666666,0.8016372943849494,10.166666666666666,0.5845348568520167,1.9343544320759845,2,2089,95,TRUE
20189,0.24695868793831438,0.33730301439972504,0.2,0.798128727052375,14.291666666666666,0.5862775979567023,1.5483007826944855,2,1609,298,FALSE
20191,0.2181998730241064,0.30556645944658933,0.06944444444444445,0.7916252001773466,50.666666666666664,0.5829550425417899,1.0550344022417213,2,2927,3188,FALSE
20193,0.24212394910166085,0.32372129904130126,0.14285714285714288,0.7895467909125987,21.583333333333336,0.5830339317548621,1.2066063856140243,2,2875,1414,FALSE
20195,0.21865981129239048,0.32945704683434507,0.16666666666666666,0.7930072536104112,27.166666666666664,0.5831917422098332,1.409203442120458,2,2740,537,FALSE
20197,0.21107741083308945,0.3184766313407252,0.12222222222222222,0.7987567128305135,112.83333333333334,0.5843766829530572,1.444227488381765,2,2160,454,FALSE
