garbage_bin,stratum,stage,total_candidates,kept_n,dropped_n,dropped_classes,kept_classes,support_json,note
g1,Q1|F,after_minpc,19,17,2,a3|a4,a1|a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":17,""a2"":172,""a3"":0,""a4"":7,""a5"":114,""b11"":68,""b12"":11,""b13"":89,""b14"":102,""b15"":183,""b16"":147,""b2"":170,""b31"":81,""b32"":58,""b33"":138,""b4"":134,""b5"":189,""b6"":154,""b7"":741}",AGE_Q×SEX
g1,Q1|F,after_support,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":17,""a2"":172,""a3"":0,""a4"":7,""a5"":114,""b11"":68,""b12"":11,""b13"":89,""b14"":102,""b15"":183,""b16"":147,""b2"":170,""b31"":81,""b32"":58,""b33"":138,""b4"":134,""b5"":189,""b6"":154,""b7"":741}",AGE_Q×SEX
g1,Q1|M,after_minpc,19,16,3,a3|a4|b13,a1|a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":36,""a2"":225,""a3"":0,""a4"":8,""a5"":154,""b11"":111,""b12"":25,""b13"":1,""b14"":149,""b15"":283,""b16"":151,""b2"":181,""b31"":117,""b32"":72,""b33"":184,""b4"":151,""b5"":292,""b6"":187,""b7"":731}",AGE_Q×SEX
g1,Q1|M,after_support,19,16,3,a3|a4|b13,a1|a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":36,""a2"":225,""a3"":0,""a4"":8,""a5"":154,""b11"":111,""b12"":25,""b13"":1,""b14"":149,""b15"":283,""b16"":151,""b2"":181,""b31"":117,""b32"":72,""b33"":184,""b4"":151,""b5"":292,""b6"":187,""b7"":731}",AGE_Q×SEX
g1,Q2|F,after_minpc,19,16,3,a1|a3|a4,a2|a5|b11|b12|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":4,""a2"":175,""a3"":0,""a4"":0,""a5"":92,""b11"":78,""b12"":12,""b13"":47,""b14"":111,""b15"":149,""b16"":110,""b2"":206,""b31"":169,""b32"":99,""b33"":141,""b4"":185,""b5"":64,""b6"":161,""b7"":830}",AGE_Q×SEX
g1,Q2|F,after_support,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":4,""a2"":175,""a3"":0,""a4"":0,""a5"":92,""b11"":78,""b12"":12,""b13"":47,""b14"":111,""b15"":149,""b16"":110,""b2"":206,""b31"":169,""b32"":99,""b33"":141,""b4"":185,""b5"":64,""b6"":161,""b7"":830}",AGE_Q×SEX
g1,Q2|M,after_minpc,19,15,4,a1|a3|a4|b13,a2|a5|b11|b12|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":3,""a2"":249,""a3"":0,""a4"":0,""a5"":74,""b11"":125,""b12"":13,""b13"":1,""b14"":130,""b15"":206,""b16"":159,""b2"":170,""b31"":238,""b32"":113,""b33"":196,""b4"":253,""b5"":69,""b6"":167,""b7"":613}",AGE_Q×SEX
g1,Q2|M,after_support,19,14,5,a1|a3|a4|b12|b13,a2|a5|b11|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":3,""a2"":249,""a3"":0,""a4"":0,""a5"":74,""b11"":125,""b12"":13,""b13"":1,""b14"":130,""b15"":206,""b16"":159,""b2"":170,""b31"":238,""b32"":113,""b33"":196,""b4"":253,""b5"":69,""b6"":167,""b7"":613}",AGE_Q×SEX
g1,Q3|F,after_minpc,19,15,4,a1|a3|a4|b12,a2|a5|b11|b13|b14|b15|b16|b2|b31|b32|b33|b4|b5|b6|b7,"{""a1"":2,""a2"":221,""a3"":0,""a4"":0,""a5"":106,""b11"":35,""b12"":6,""b13"":17,""b14"":85,""b15"":83,""b16"":75,""b2"":153,""b31"":197,""b32"":126,""b33"":162,""b4"":179,""b5"":15,""b6"":138,""b7"":888}",AGE_Q×SEX
g1,Q3|F,after_support,19,13,6,a1|a3|a4|b12|b13|b5,a2|a5|b11|b14|b15|b16|b2|b31|b32|b33|b4|b6|b7,"{""a1"":2,""a2"":221,""a3"":0,""a4"":0,""a5"":106,""b11"":35,""b12"":6,""b13"":17,""b14"":85,""b15"":83,""b16"":75,""b2"":153,""b31"":197,""b32"":126,""b33"":162,""b4"":179,""b5"":15,""b6"":138,""b7"":888}",AGE_Q×SEX
