cluster,deaths_no_garbage,S,f1,f2,H_raw,detail_phillips_raw,detail_phillips_refsize,D1_mref,D1_eff_used,m_ref,m_max,eff_m_used,used_extrapolation,fallback_reason,period,unit,unit_id
C128,4076,295,117,45,3.86478771333947,56.88977670477777,56.194302674410565,NA,45.4922017257769,2000,8152,2000,FALSE,ok,1999_2006,cluster,C128
C129,4067,295,117,45,3.859877941071412,56.81750472796595,56.12437207860219,NA,45.27659395768404,2000,8134,2000,FALSE,ok,1999_2006,cluster,C129
C13,18059,452,109,71,3.9223365817093114,57.73689755953334,56.40178805862393,NA,46.137975291413404,2000,36118,2000,FALSE,ok,1999_2006,cluster,C13
C130,4052,272,96,39,3.8381235672993976,56.49727977434934,55.86639096232572,NA,44.48999576020938,2000,8104,2000,FALSE,ok,1999_2006,cluster,C130
C131,4520,293,104,47,3.866210784345023,56.91072434737701,56.17681416616768,NA,45.43818563193334,2000,9040,2000,FALSE,ok,1999_2006,cluster,C131
C132,4034,291,112,46,3.8545082359700453,56.73846252776104,56.0572814536939,NA,45.07070281350237,2000,8068,2000,FALSE,ok,1999_2006,cluster,C132
C133,4021,282,94,50,3.9251358327047283,57.7781026077486,57.12573740036435,NA,48.46382402731558,2000,8042,2000,FALSE,ok,1999_2006,cluster,C133
C134,4431,278,100,37,3.830417607794584,56.38384784793025,55.698099613032824,NA,43.98424641133735,2000,8862,2000,FALSE,ok,1999_2006,cluster,C134
C135,4737,299,109,47,3.8780963217099096,57.0856797697333,56.31623934018551,NA,45.87061182314571,2000,9474,2000,FALSE,ok,1999_2006,cluster,C135
C136,5052,301,104,41,3.8718297847624763,56.993436181186055,56.19870631932792,NA,45.50581321448572,2000,10104,2000,FALSE,ok,1999_2006,cluster,C136
C137,3946,278,103,47,3.8081572528126064,56.056174837606086,55.41782421061214,NA,43.1546907303277,2000,7892,2000,FALSE,ok,1999_2006,cluster,C137
C138,3907,272,101,43,3.814613572996826,56.15121204038621,55.534061654488816,NA,43.49681297829257,2000,7814,2000,FALSE,ok,1999_2006,cluster,C138
C139,3883,285,97,51,3.8906342500135422,57.27023840385239,56.626306298827636,NA,46.847092197763175,2000,7766,2000,FALSE,ok,1999_2006,cluster,C139
C14,16639,436,94,71,3.9248441931212414,57.77380966541555,56.455555263144895,NA,46.30680964122016,2000,33278,2000,FALSE,ok,1999_2006,cluster,C14
C140,4412,292,103,46,3.8431655985877198,56.57149860741515,55.848340986431595,NA,44.435474716330646,2000,8824,2000,FALSE,ok,1999_2006,cluster,C140
C141,3723,276,111,37,3.817228591089424,56.18970517543045,55.58696151521819,NA,43.65341017513531,2000,7446,2000,FALSE,ok,1999_2006,cluster,C141
C142,4495,319,133,43,3.9181051087890433,57.674610166946294,56.872961004295036,NA,47.63869467879211,2000,8990,2000,FALSE,ok,1999_2006,cluster,C142
C143,3710,269,100,34,3.837762166246136,56.49195994134791,55.910520351933194,NA,44.623573118714894,2000,7420,2000,FALSE,ok,1999_2006,cluster,C143
C144,5792,315,115,41,3.87142764192231,56.987516628010724,56.11465681760635,NA,45.24672113056839,2000,11584,2000,FALSE,ok,1999_2006,cluster,C144
C145,3688,280,113,36,3.8593510378988256,56.80974869941875,56.2022690220934,NA,45.516828365176956,2000,7376,2000,FALSE,ok,1999_2006,cluster,C145
C146,4215,286,104,50,3.7918656577803334,55.816362130597184,55.12500528609588,NA,42.30471580939212,2000,8430,2000,FALSE,ok,1999_2006,cluster,C146
C147,3632,287,112,48,3.8947629040676874,57.33101230002808,56.71707527311432,NA,47.13686070125882,2000,7264,2000,FALSE,ok,1999_2006,cluster,C147
C148,3569,258,78,54,3.837930465501012,56.494437310802496,55.96126622257993,NA,44.777674053911966,2000,7138,2000,FALSE,ok,1999_2006,cluster,C148
C149,3512,273,100,47,3.8821108886576927,57.1447743007052,56.58493747953894,NA,46.71561905115364,2000,7024,2000,FALSE,ok,1999_2006,cluster,C149
C15,16502,438,115,58,3.882045229036256,57.14380778935215,55.84024123342015,NA,44.411030645459356,2000,33004,2000,FALSE,ok,1999_2006,cluster,C15
C150,3510,264,102,45,3.813134037444037,56.129433238167806,55.58568970767476,NA,43.649638691513715,2000,7020,2000,FALSE,ok,1999_2006,cluster,C150
C151,3438,261,98,41,3.885821620221459,57.19939636683975,56.677887257822356,NA,47.011538685327835,2000,6876,2000,FALSE,ok,1999_2006,cluster,C151
C152,3343,258,81,48,3.9004171248049557,57.414242577870375,56.92180168893799,NA,47.797021210918096,2000,6686,2000,FALSE,ok,1999_2006,cluster,C152
C153,3612,271,95,42,3.8845445122813347,57.18059730439945,56.61092023822253,NA,46.798151006056685,2000,7224,2000,FALSE,ok,1999_2006,cluster,C153
C154,3296,253,89,44,3.8796861261407476,57.10908173273439,56.63169666124924,NA,46.864250390429774,2000,6592,2000,FALSE,ok,1999_2006,cluster,C154
C155,5571,323,111,53,3.9153782152511325,57.63447022240704,56.74620841973534,NA,47.230244019618816,2000,11142,2000,FALSE,ok,1999_2006,cluster,C155
C156,5157,297,105,45,3.831331279701314,56.39729712240809,55.6068277204952,NA,43.712364762671626,2000,10314,2000,FALSE,ok,1999_2006,cluster,C156
C157,4997,289,93,45,3.879495435416954,57.1062747602689,56.346185290538244,NA,45.964024513440016,2000,9994,2000,FALSE,ok,1999_2006,cluster,C157
C158,3204,245,96,35,3.82098540418156,56.245005562873594,55.79747501855407,NA,44.282190159781294,2000,6408,2000,FALSE,ok,1999_2006,cluster,C158
