period,cluster,mcod_age_0-44,mcod_age_45-64,mcod_age_65-79,mcod_age_80+
1999_2006,C1,61.84675532193439,64.75913646784929,59.047740043170016,60.96850498570246
1999_2006,C10,59.85210353143059,63.164847654199264,57.74143246267264,58.7310834620033
1999_2006,C100,52.37774356383134,62.602538551133605,59.38946591999082,61.43854011234328
1999_2006,C1000,53.97496296912956,53.5100631651219,53.537509857626674,59.500272180378076
1999_2006,C1001,50.18465373716258,58.08755802123449,55.59632594518344,58.23888479791819
1999_2006,C1002,50.86642278015953,57.032694417104395,52.743260331582746,57.32302243639906
1999_2006,C1003,43.33407300489628,51.86081022886423,55.04341143853624,56.76454930011497
1999_2006,C1004,48.45660100724074,52.98022341225091,55.10873682575044,56.49726773302794
1999_2006,C1005,54.21858334347495,56.294136863546036,55.268439136126524,57.77635995943691
1999_2006,C1006,52.695652654438696,55.87461233450617,55.33952343166637,57.31437321498669
1999_2006,C1007,51.55053126890834,54.52226350571792,52.28073365256058,60.72808354460335
1999_2006,C1008,49.55739162495005,55.76222239792394,55.21846079036277,58.934057179070564
1999_2006,C1009,49.09957269205758,56.70222024129518,58.85191839680707,62.34606340548026
1999_2006,C101,59.49014136655998,61.711088370258516,59.05988698395079,62.7036301988511
1999_2006,C1010,50.17775803315901,52.728816173064416,55.997452753837884,56.23666636653285
1999_2006,C1011,55.46636686110277,59.33314155149576,55.27105026568904,60.608317545621745
1999_2006,C1012,45.50193981349631,56.266946604162726,57.3515872764601,57.35481182037498
1999_2006,C1013,50.35487728188493,56.28793947839233,53.30948216117638,59.93605190574668
1999_2006,C1014,56.140441998870784,57.95087462484879,58.61184543811878,60.193160252937396
1999_2006,C1015,48.766603139403415,54.49528716076786,53.31072926500416,59.215361509450496
1999_2006,C1016,42.05422204492709,58.33992680015096,52.85034339072878,56.75723472843527
1999_2006,C1017,48.501635583499244,53.492698223133495,53.9421361097426,58.34203033013768
1999_2006,C1018,44.72794306311612,53.26578883185033,54.470894720540244,56.4352346228112
1999_2006,C1019,50.72572880397387,53.60591223299291,56.1631663202663,59.34718198480745
1999_2006,C102,52.81267735984255,61.20476984444146,61.80197806595235,61.860349779392394
1999_2006,C1020,51.988343044027346,55.17201419595591,52.464920156306874,60.083247869069965
1999_2006,C1021,40.54691625103895,57.749569185245434,55.500496921238664,56.68860103827552
1999_2006,C1022,49.74068250196417,55.48411476690008,50.03529209114666,55.3973349770485
1999_2006,C1023,47.20012459472354,53.69255515273192,53.102571325580335,57.503518182083354
1999_2006,C1024,49.05552844089933,53.245377531876784,52.89624634664113,55.22717562804836
1999_2006,C1025,48.11667561286543,50.44698472284612,56.19813577446835,57.33860141990824
1999_2006,C1026,46.96696463811894,51.08262233756213,51.6977003364615,55.443291121542686
1999_2006,C1027,48.54345676128923,54.53857827408537,55.22559612892317,58.16631998895676
1999_2006,C1028,48.28864532427843,54.0208559168702,50.12677343877496,57.31810291543889
1999_2006,C1029,44.47214242855819,53.24799431937298,54.61484500398189,59.25480608022517
1999_2006,C103,59.42510553134389,62.07651849611803,56.17171912000952,58.03422194923458
1999_2006,C1030,56.54963527951391,59.315422249025374,57.76564455015633,59.74734068424677
1999_2006,C1031,52.68357827039115,55.96235033306765,57.10369652330234,58.78601763164594
1999_2006,C1032,51.2124622309803,56.344731950989626,57.1561718491936,59.8733511454297
1999_2006,C1033,47.09242950719308,55.917548351483646,53.60508991023937,58.07491631619138
1999_2006,C1034,51.01482265414069,59.5406747858639,60.63278509429851,60.81497285801834
1999_2006,C1035,55.23065978318316,54.62153074528398,53.00393453194658,57.01064950144379
1999_2006,C1036,47.07076980710479,50.96959257556947,55.02848125578422,56.42428820188709
1999_2006,C1037,49.36607489020019,58.106834019928165,54.119666487342045,58.78897094046247
1999_2006,C1038,51.32108529195708,58.06425226623126,55.79508992455787,58.40535544152415
1999_2006,C1039,47.64838706006139,55.28258073294644,56.08814503139484,57.57656004182051
1999_2006,C104,61.381457016949575,64.17137609761348,57.70062586591312,58.3747233081761
1999_2006,C1040,52.92794473103413,58.311901260777255,55.25902191258309,58.065050757930045
1999_2006,C1041,45.59666233909572,52.8764015119279,53.478703228867836,56.56415783699522
1999_2006,C1042,50.44742529839726,50.12706203634573,52.89104240872347,56.61042227235999
1999_2006,C1043,56.410164964054665,56.2805561625159,54.50465895431502,57.8635907192105
1999_2006,C1044,49.9726575676032,56.893767005948014,55.20520925362697,56.16703167543945
1999_2006,C1045,48.811696827387635,55.20270876593642,49.40062895209014,57.02962500178844
1999_2006,C1046,47.60606489671132,53.44919884983967,53.111570448074154,55.58438599928275
1999_2006,C1047,49.67385677589393,56.50596504590077,55.773000855359136,59.41516174414824
1999_2006,C1048,47.363639139930314,49.7275208701411,52.08860160879511,56.65220764254726
1999_2006,C1049,50.94272045454116,54.187782783106734,53.48832857510567,57.91760669151082
1999_2006,C105,55.09783108258341,64.87495296538958,60.291125678942414,62.01704658411253
1999_2006,C1050,49.9482869432494,53.37180411311308,51.84160124019674,56.102405169970076
1999_2006,C1051,48.37927525362216,54.743604037389495,54.965763960749555,55.28587800652199
1999_2006,C1052,53.96051174406089,56.89612002327997,52.291646452264885,60.507993664852044
1999_2006,C1053,49.02170933463645,54.20884835682053,54.99224366501673,56.12418601871356
1999_2006,C1054,45.20326047059307,54.39352581295967,50.87881129384245,55.62208041836475
1999_2006,C1055,49.08497666398569,54.03678581971846,54.022587857532166,56.69194668194289
1999_2006,C1056,45.22082467689414,54.174289571439274,54.221576017679986,58.07917016191561
1999_2006,C1057,48.234009876736,56.047808828695324,53.46719628123484,57.59465953439106
1999_2006,C1058,49.99461491531843,57.21211360741199,54.647523276102596,57.63005708536853
1999_2006,C1059,49.9937309158911,53.86875105854076,54.60308827076716,58.80607083523839
1999_2006,C106,57.46042507134166,62.662579883085954,58.449300498636575,59.92853304855749
1999_2006,C1060,49.76976860947158,56.84883113996944,53.283390251827164,58.39177336422429
1999_2006,C1061,47.00539458248952,54.38974678113035,57.239009877276494,55.57238483821406
1999_2006,C1062,49.38160289238463,54.95936494342997,55.895049511919,59.548543167963025
1999_2006,C1063,52.25917534765252,52.85331608692062,50.68111414162157,57.50928854438349
1999_2006,C1064,49.97298976728436,58.43634710606386,54.30520233313028,59.69229421954824
1999_2006,C1065,48.78931394088457,51.870486332250394,53.23840376049992,55.851890962924294
1999_2006,C1066,47.43542890667794,51.54365193811375,55.28870547132078,57.2022748985796
1999_2006,C1067,50.88071208133483,53.94698631035319,48.898807020944474,59.18220867062091
1999_2006,C1068,53.883490284667865,56.06076822039395,52.647922924262765,59.22999456827141
1999_2006,C1069,51.99666033140196,54.75647611298184,54.35518922297486,55.12505330793159
1999_2006,C107,55.14128056774278,61.618191174364206,55.68393801351446,56.26113133958434
1999_2006,C1070,49.24947732309905,53.856557843428774,54.24746163667195,58.74372851402951
1999_2006,C1071,48.26383500636144,55.53478373397527,50.587396372271364,58.70963416960128
